date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe
2017-08-18,1718,bundesliga,Bayern Munich,Leverkusen,3,1,H,8.0,4.0,1.28,6.7,11.3,,,2.77906,1.8866,2.02128,13.090909090909092,13.0,1.8866,11.846153846153848,14.0,587975000.0,226750000.0,4.0,52500000.0,2.0,14500000.0,1.26,6.75,12.3,1.41,2.88,14.0,14.0,0,0
2017-08-19,1718,bundesliga,Hamburg,Augsburg,1,0,H,5.0,1.0,2.32,3.32,3.47,,,0.55238,0.573987,0.55238,10.68,4.0,0.573987,4.583333333333333,11.0,69400000.0,53225000.0,0.0,0.0,3.0,3750000.0,2.19,3.35,3.7,2.18,1.68,14.0,14.0,0,0
2017-08-19,1718,bundesliga,Hertha,Stuttgart,2,0,H,3.0,2.0,2.02,3.6,4.07,,,0.436556,0.879388,0.436556,8.545454545454545,1.0,0.879388,12.62962962962963,6.0,89800000.0,67700000.0,3.0,6000000.0,5.0,12000000.0,2.07,3.58,3.82,1.94,1.87,14.0,14.0,0,0
2017-08-19,1718,bundesliga,Hoffenheim,Werder Bremen,1,0,H,3.0,2.0,1.85,4.19,4.12,,,0.97427,0.806833,0.97427,7.541666666666667,8.0,0.806833,15.227272727272728,2.0,121025000.0,75700000.0,3.0,8950000.0,2.0,8500000.0,1.81,4.12,4.38,1.52,2.5,14.0,14.0,0,0
2017-08-19,1718,bundesliga,Mainz,Hannover,0,1,A,6.0,2.0,1.85,3.75,4.65,,,0.526663,0.610149,0.526663,4.914285714285715,6.0,0.610149,14.91304347826087,1.0,72075000.0,46650000.0,2.0,6500000.0,1.0,1500000.0,1.99,3.53,4.2,2.06,1.76,14.0,14.0,0,0
2017-08-19,1718,bundesliga,Schalke 04,RB Leipzig,2,0,H,5.0,3.0,2.85,3.48,2.62,,,1.91233,0.791215,1.15456,9.558823529411764,3.0,0.791215,4.476190476190476,5.0,175900000.0,193550000.0,4.0,33000000.0,1.0,5000000.0,2.91,3.43,2.57,1.88,1.92,14.0,14.0,0,0
2017-08-19,1718,bundesliga,Wolfsburg,Dortmund,0,3,A,0.0,5.0,4.07,3.81,1.95,,,0.495065,1.12424,0.495065,19.11111111111111,2.0,1.12424,3.09375,10.0,150950000.0,411125000.0,2.0,16000000.0,5.0,54250000.0,4.24,4.12,1.83,1.54,2.46,14.0,14.0,0,0
2017-08-20,1718,bundesliga,M'gladbach,FC Koln,1,0,H,8.0,2.0,1.8,3.85,4.89,,,1.62503,0.837903,1.62503,14.181818181818182,10.0,0.837903,15.727272727272728,4.0,149750000.0,118975000.0,3.0,16000000.0,1.0,5500000.0,1.94,3.65,4.32,1.91,1.91,14.0,14.0,0,0
2017-08-20,1718,bundesliga,Freiburg,Ein Frankfurt,0,0,D,1.0,2.0,2.94,3.17,2.74,,,0.231368,1.54296,0.231368,10.823529411764708,3.0,1.54296,10.566666666666666,5.0,67925000.0,81550000.0,2.0,2850000.0,6.0,21000000.0,2.56,3.3,3.02,2.15,1.7,14.0,14.0,0,0
2017-08-25,1718,bundesliga,FC Koln,Hamburg,1,3,A,6.0,4.0,2.04,3.47,4.11,,,1.88741,1.64554,1.88741,8.636363636363637,10.0,1.64554,20.125,4.0,118975000.0,69400000.0,1.0,2000000.0,1.0,300000.0,2.03,3.52,4.12,2.06,1.76,5.0,6.0,0,0
