season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,FC Koln,2017-09-14,Europa League,A,Arsenal,canonical_team,2017–18 UEFA Europa League group stage
1718,Hertha,2017-09-14,Europa League,H,Athletic Bilbao,canonical_team,2017–18 UEFA Europa League group stage
1718,Hoffenheim,2017-09-14,Europa League,H,Braga,canonical_team,2017–18 UEFA Europa League group stage
1718,FC Koln,2017-09-28,Europa League,H,Red Star Belgrade,canonical_team,2017–18 UEFA Europa League group stage
1718,Hertha,2017-09-28,Europa League,A,Östersunds FK,canonical_team,2017–18 UEFA Europa League group stage
1718,Hoffenheim,2017-09-28,Europa League,A,Ludogorets Razgrad,canonical_team,2017–18 UEFA Europa League group stage
1718,FC Koln,2017-10-19,Europa League,A,BATE Borisov,canonical_team,2017–18 UEFA Europa League group stage
1718,Hertha,2017-10-19,Europa League,A,Zorya Luhansk,canonical_team,2017–18 UEFA Europa League group stage
1718,Hoffenheim,2017-10-19,Europa League,H,İstanbul Başakşehir,canonical_team,2017–18 UEFA Europa League group stage
1718,FC Koln,2017-11-02,Europa League,H,BATE Borisov,canonical_team,2017–18 UEFA Europa League group stage
1718,Hertha,2017-11-02,Europa League,H,Zorya Luhansk,canonical_team,2017–18 UEFA Europa League group stage
1718,Hoffenheim,2017-11-02,Europa League,A,İstanbul Başakşehir,canonical_team,2017–18 UEFA Europa League group stage
1718,FC Koln,2017-11-23,Europa League,H,Arsenal,canonical_team,2017–18 UEFA Europa League group stage
1718,Hertha,2017-11-23,Europa League,A,Athletic Bilbao,canonical_team,2017–18 UEFA Europa League group stage
1718,Hoffenheim,2017-11-23,Europa League,A,Braga,canonical_team,2017–18 UEFA Europa League group stage
1718,FC Koln,2017-12-07,Europa League,A,Red Star Belgrade,canonical_team,2017–18 UEFA Europa League group stage
1718,Hertha,2017-12-07,Europa League,H,Östersunds FK,canonical_team,2017–18 UEFA Europa League group stage
1718,Hoffenheim,2017-12-07,Europa League,H,Ludogorets Razgrad,canonical_team,2017–18 UEFA Europa League group stage
