season,team,date,competition,home_away,opponent,metodo_nome,pagina
2425,Bayern Munich,2025-06-15,FIFA Club World Cup,H,Auckland City,canonical_team,2025 FIFA Club World Cup Group C
2425,Dortmund,2025-06-17,FIFA Club World Cup,A,Fluminense,canonical_team,2025 FIFA Club World Cup Group F
2425,Bayern Munich,2025-06-20,FIFA Club World Cup,H,Boca Juniors,canonical_team,2025 FIFA Club World Cup Group C
2425,Dortmund,2025-06-21,FIFA Club World Cup,A,Mamelodi Sundowns,canonical_team,2025 FIFA Club World Cup Group F
2425,Bayern Munich,2025-06-24,FIFA Club World Cup,A,Benfica,canonical_team,2025 FIFA Club World Cup Group C
2425,Dortmund,2025-06-25,FIFA Club World Cup,H,Ulsan HD,canonical_team,2025 FIFA Club World Cup Group F
2425,Bayern Munich,2025-06-29,FIFA Club World Cup,A,Flamengo,canonical_team,2025 FIFA Club World Cup
2425,Dortmund,2025-07-01,FIFA Club World Cup,H,Monterrey,canonical_team,2025 FIFA Club World Cup
2526,Bayern Munich,2025-07-05,FIFA Club World Cup,A,Paris Saint-Germain,canonical_team,2025 FIFA Club World Cup
2526,Dortmund,2025-07-05,FIFA Club World Cup,A,Real Madrid,canonical_team,2025 FIFA Club World Cup
