season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Elche,2017-08-30,Copa del Rey,A,Badalona,canonical_team,2017–18 Copa del Rey
1718,Almeria,2017-09-05,Copa del Rey,A,Cadiz,proposta,2017–18 Copa del Rey
1718,Cadiz,2017-09-05,Copa del Rey,H,Almeria,proposta,2017–18 Copa del Rey
1718,Elche,2017-09-06,Copa del Rey,H,Cultural Durango,canonical_team,2017–18 Copa del Rey
1718,Granada,2017-09-06,Copa del Rey,A,Zaragoza,canonical_team,2017–18 Copa del Rey
1718,Huesca,2017-09-06,Copa del Rey,H,Valladolid,canonical_team,2017–18 Copa del Rey
1718,Mallorca,2017-09-06,Copa del Rey,H,Lleida Esportiu,canonical_team,2017–18 Copa del Rey
1718,Oviedo,2017-09-06,Copa del Rey,H,Numancia,canonical_team,2017–18 Copa del Rey
1718,Valladolid,2017-09-06,Copa del Rey,A,Huesca,canonical_team,2017–18 Copa del Rey
1718,Vallecano,2017-09-06,Copa del Rey,H,Tenerife,canonical_team,2017–18 Copa del Rey
1718,Osasuna,2017-09-07,Copa del Rey,H,Albacete,canonical_team,2017–18 Copa del Rey
1718,Cadiz,2017-09-20,Copa del Rey,H,Osasuna,proposta,2017–18 Copa del Rey
1718,Elche,2017-09-20,Copa del Rey,A,Hércules,canonical_team,2017–18 Copa del Rey
1718,Osasuna,2017-09-20,Copa del Rey,A,Cadiz,canonical_team,2017–18 Copa del Rey
1718,Valladolid,2017-09-20,Copa del Rey,A,Cultural Leonesa,canonical_team,2017–18 Copa del Rey
1718,Alaves,2017-10-24,Copa del Rey,A,Getafe,proposta,2017–18 Copa del Rey
1718,Barcelona,2017-10-24,Copa del Rey,A,Murcia,canonical_team,2017–18 Copa del Rey
1718,Betis,2017-10-24,Copa del Rey,A,Cadiz,canonical_team,2017–18 Copa del Rey
1718,Cadiz,2017-10-24,Copa del Rey,H,Betis,proposta,2017–18 Copa del Rey
1718,Getafe,2017-10-24,Copa del Rey,H,Alaves,canonical_team,2017–18 Copa del Rey
1718,Malaga,2017-10-24,Copa del Rey,A,Numancia,proposta,2017–18 Copa del Rey
1718,Sevilla,2017-10-24,Copa del Rey,A,Cartagena,canonical_team,2017–18 Copa del Rey
1718,Valencia,2017-10-24,Copa del Rey,A,Zaragoza,canonical_team,2017–18 Copa del Rey
1718,Ath Bilbao,2017-10-25,Copa del Rey,A,Formentera,canonical_team,2017–18 Copa del Rey
