season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Ath Bilbao,2017-07-27,Europa League (qual.),A,Dinamo București,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Ath Bilbao,2017-08-03,Europa League (qual.),H,Dinamo București,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Ath Bilbao,2017-08-17,Europa League (qual.),A,Panathinaikos,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Ath Bilbao,2017-08-24,Europa League (qual.),H,Panathinaikos,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1819,Sevilla,2018-07-26,Europa League (qual.),H,Újpest,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Sevilla,2018-08-02,Europa League (qual.),A,Újpest,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Sevilla,2018-08-09,Europa League (qual.),H,Žalgiris,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Sevilla,2018-08-16,Europa League (qual.),A,Žalgiris,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Sevilla,2018-08-23,Europa League (qual.),A,Sigma Olomouc,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Sevilla,2018-08-30,Europa League (qual.),H,Sigma Olomouc,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1920,Espanol,2019-07-25,Europa League (qual.),H,Stjarnan,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Espanol,2019-08-01,Europa League (qual.),A,Stjarnan,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Espanol,2019-08-08,Europa League (qual.),A,Luzern,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Espanol,2019-08-15,Europa League (qual.),H,Luzern,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Espanol,2019-08-22,Europa League (qual.),H,Zorya Luhansk,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Espanol,2019-08-29,Europa League (qual.),A,Zorya Luhansk,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
2021,Granada,2020-09-17,Europa League (qual.),A,Teuta,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Granada,2020-09-24,Europa League (qual.),H,Locomotive Tbilisi,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Granada,2020-10-01,Europa League (qual.),A,Malmö FF,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
