season,team,date,competition,home_away,opponent,metodo_nome,pagina
2021,Paris SG,2020-12-08,Champions League,H,İstanbul Başakşehir,canonical_team,2020–21 UEFA Champions League group stage
2425,Monaco,2024-09-19,Champions League,H,Barcelona,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2024-10-02,Champions League,A,Dinamo Zagreb,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2024-10-22,Champions League,H,Red Star Belgrade,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2024-11-05,Champions League,A,Bologna,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2024-11-27,Champions League,H,Benfica,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2024-12-11,Champions League,A,Arsenal,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2025-01-21,Champions League,H,Aston Villa,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2025-01-29,Champions League,A,Inter Milan,canonical_team,2024–25 UEFA Champions League league phase
2425,Monaco,2025-02-12,Champions League,H,Benfica,canonical_team,2024–25 UEFA Champions League knockout phase
2425,Monaco,2025-02-18,Champions League,A,Benfica,canonical_team,2024–25 UEFA Champions League knockout phase
2526,Monaco,2025-09-18,Champions League,A,Club Brugge,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2025-10-01,Champions League,H,Manchester City,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2025-10-22,Champions League,H,Tottenham Hotspur,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2025-11-04,Champions League,A,Bodø/Glimt,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2025-11-26,Champions League,A,Pafos,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2025-12-09,Champions League,H,Galatasaray,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2026-01-20,Champions League,A,Real Madrid,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2026-01-28,Champions League,H,Juventus,canonical_team,2025–26 UEFA Champions League league phase
2526,Monaco,2026-02-17,Champions League,H,Paris SG,canonical_team,2025–26 UEFA Champions League knockout phase
2526,Monaco,2026-02-25,Champions League,A,Paris SG,canonical_team,2025–26 UEFA Champions League knockout phase
