season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Lyon,2017-09-14,Europa League,A,Apollon Limassol,canonical_team,2017–18 UEFA Europa League group stage
1718,Marseille,2017-09-14,Europa League,H,Konyaspor,canonical_team,2017–18 UEFA Europa League group stage
1718,Nice,2017-09-14,Europa League,A,Zulte Waregem,canonical_team,2017–18 UEFA Europa League group stage
1718,Lyon,2017-09-28,Europa League,H,Atalanta,canonical_team,2017–18 UEFA Europa League group stage
1718,Marseille,2017-09-28,Europa League,A,Red Bull Salzburg,canonical_team,2017–18 UEFA Europa League group stage
1718,Nice,2017-09-28,Europa League,H,Vitesse,canonical_team,2017–18 UEFA Europa League group stage
1718,Lyon,2017-10-19,Europa League,A,Everton,canonical_team,2017–18 UEFA Europa League group stage
1718,Marseille,2017-10-19,Europa League,H,Vitória de Guimarães,canonical_team,2017–18 UEFA Europa League group stage
1718,Nice,2017-10-19,Europa League,H,Lazio,canonical_team,2017–18 UEFA Europa League group stage
1718,Lyon,2017-11-02,Europa League,H,Everton,canonical_team,2017–18 UEFA Europa League group stage
1718,Marseille,2017-11-02,Europa League,A,Vitória de Guimarães,canonical_team,2017–18 UEFA Europa League group stage
1718,Nice,2017-11-02,Europa League,A,Lazio,canonical_team,2017–18 UEFA Europa League group stage
1718,Lyon,2017-11-23,Europa League,H,Apollon Limassol,canonical_team,2017–18 UEFA Europa League group stage
1718,Marseille,2017-11-23,Europa League,A,Konyaspor,canonical_team,2017–18 UEFA Europa League group stage
1718,Nice,2017-11-23,Europa League,H,Zulte Waregem,canonical_team,2017–18 UEFA Europa League group stage
1718,Lyon,2017-12-07,Europa League,A,Atalanta,canonical_team,2017–18 UEFA Europa League group stage
1718,Marseille,2017-12-07,Europa League,H,Red Bull Salzburg,canonical_team,2017–18 UEFA Europa League group stage
1718,Nice,2017-12-07,Europa League,A,Vitesse,canonical_team,2017–18 UEFA Europa League group stage
1718,Lyon,2018-02-15,Europa League,H,Villarreal,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Marseille,2018-02-15,Europa League,H,Braga,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Nice,2018-02-15,Europa League,H,Lokomotiv Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lyon,2018-02-22,Europa League,A,Villarreal,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Marseille,2018-02-22,Europa League,A,Braga,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Nice,2018-02-22,Europa League,A,Lokomotiv Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lyon,2018-03-08,Europa League,A,CSKA Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Marseille,2018-03-08,Europa League,H,Athletic Bilbao,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lyon,2018-03-15,Europa League,H,CSKA Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Marseille,2018-03-15,Europa League,A,Athletic Bilbao,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Marseille,2018-04-05,Europa League,A,RB Leipzig,canonical_team,2017–18 UEFA Europa League knockout phase
