season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Bordeaux,2017-07-27,Europa League (qual.),H,Videoton,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Marseille,2017-07-27,Europa League (qual.),H,Oostende,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Bordeaux,2017-08-03,Europa League (qual.),A,Videoton,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Marseille,2017-08-03,Europa League (qual.),A,Oostende,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Marseille,2017-08-17,Europa League (qual.),A,Domžale,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Marseille,2017-08-24,Europa League (qual.),H,Domžale,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1819,Bordeaux,2018-07-26,Europa League (qual.),A,Ventspils,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Bordeaux,2018-08-02,Europa League (qual.),H,Ventspils,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Bordeaux,2018-08-09,Europa League (qual.),A,Mariupol,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Bordeaux,2018-08-16,Europa League (qual.),H,Mariupol,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Bordeaux,2018-08-23,Europa League (qual.),A,Gent,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Bordeaux,2018-08-30,Europa League (qual.),H,Gent,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1920,Strasbourg,2019-07-25,Europa League (qual.),H,Maccabi Haifa,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Strasbourg,2019-08-01,Europa League (qual.),A,Maccabi Haifa,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Strasbourg,2019-08-08,Europa League (qual.),A,Lokomotiv Plovdiv,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Strasbourg,2019-08-15,Europa League (qual.),H,Lokomotiv Plovdiv,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Strasbourg,2019-08-22,Europa League (qual.),H,Eintracht Frankfurt,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Strasbourg,2019-08-29,Europa League (qual.),A,Eintracht Frankfurt,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
2021,Reims,2020-09-17,Europa League (qual.),A,Servette,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Reims,2020-09-24,Europa League (qual.),A,MOL Fehérvár,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
