season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Brentford,2017-08-08,EFL Cup,A,AFC Wimbledon,canonical_team,2017–18 EFL Cup
1718,Cardiff,2017-08-08,EFL Cup,H,Portsmouth,canonical_team,2017–18 EFL Cup
1718,Fulham,2017-08-08,EFL Cup,A,Wycombe Wanderers,canonical_team,2017–18 EFL Cup
1718,Ipswich,2017-08-08,EFL Cup,A,Luton,canonical_team,2017–18 EFL Cup
1718,Luton,2017-08-08,EFL Cup,H,Ipswich,canonical_team,2017–18 EFL Cup
1718,Norwich,2017-08-08,EFL Cup,H,Swindon Town,canonical_team,2017–18 EFL Cup
1718,Nott'm Forest,2017-08-08,EFL Cup,H,Shrewsbury Town,canonical_team,2017–18 EFL Cup
1718,Wolves,2017-08-08,EFL Cup,H,Yeovil Town,canonical_team,2017–18 EFL Cup
1718,Aston Villa,2017-08-09,EFL Cup,A,Colchester United,canonical_team,2017–18 EFL Cup
1718,Leeds,2017-08-09,EFL Cup,H,Port Vale,canonical_team,2017–18 EFL Cup
1718,Sheffield United,2017-08-09,EFL Cup,H,Walsall,canonical_team,2017–18 EFL Cup
1718,Sunderland,2017-08-10,EFL Cup,A,Bury,canonical_team,2017–18 EFL Cup
1718,Aston Villa,2017-08-22,EFL Cup,H,Wigan Athletic,canonical_team,2017–18 EFL Cup
1718,Bournemouth,2017-08-22,EFL Cup,A,Birmingham,canonical_team,2017–18 EFL Cup
1718,Brentford,2017-08-22,EFL Cup,A,Queens Park Rangers,canonical_team,2017–18 EFL Cup
1718,Brighton,2017-08-22,EFL Cup,H,Barnet,canonical_team,2017–18 EFL Cup
1718,Cardiff,2017-08-22,EFL Cup,H,Burton Albion,canonical_team,2017–18 EFL Cup
1718,Crystal Palace,2017-08-22,EFL Cup,H,Ipswich,canonical_team,2017–18 EFL Cup
1718,Fulham,2017-08-22,EFL Cup,H,Bristol Rovers,canonical_team,2017–18 EFL Cup
1718,Ipswich,2017-08-22,EFL Cup,A,Crystal Palace,canonical_team,2017–18 EFL Cup
1718,Leeds,2017-08-22,EFL Cup,H,Newport County,canonical_team,2017–18 EFL Cup
1718,Leicester,2017-08-22,EFL Cup,A,Sheffield United,canonical_team,2017–18 EFL Cup
1718,Norwich,2017-08-22,EFL Cup,H,Charlton Athletic,canonical_team,2017–18 EFL Cup
1718,Sheffield United,2017-08-22,EFL Cup,H,Leicester,canonical_team,2017–18 EFL Cup
1718,Sunderland,2017-08-22,EFL Cup,A,Carlisle United,canonical_team,2017–18 EFL Cup
1718,Swansea,2017-08-22,EFL Cup,A,Milton Keynes Dons,canonical_team,2017–18 EFL Cup
1718,Watford,2017-08-22,EFL Cup,H,Bristol City,canonical_team,2017–18 EFL Cup
1718,West Brom,2017-08-22,EFL Cup,A,Accrington Stanley,canonical_team,2017–18 EFL Cup
1718,Burnley,2017-08-23,EFL Cup,A,Blackburn Rovers,canonical_team,2017–18 EFL Cup
1718,Huddersfield,2017-08-23,EFL Cup,H,Rotherham United,canonical_team,2017–18 EFL Cup
1718,Newcastle,2017-08-23,EFL Cup,H,Nott'm Forest,canonical_team,2017–18 EFL Cup
1718,Nott'm Forest,2017-08-23,EFL Cup,A,Newcastle,canonical_team,2017–18 EFL Cup
1718,Southampton,2017-08-23,EFL Cup,H,Wolves,canonical_team,2017–18 EFL Cup
1718,Stoke,2017-08-23,EFL Cup,H,Rochdale,canonical_team,2017–18 EFL Cup
1718,West Ham,2017-08-23,EFL Cup,A,Cheltenham Town,canonical_team,2017–18 EFL Cup
1718,Wolves,2017-08-23,EFL Cup,A,Southampton,canonical_team,2017–18 EFL Cup
1718,Aston Villa,2017-09-19,EFL Cup,H,Middlesbrough,canonical_team,2017–18 EFL Cup
1718,Bournemouth,2017-09-19,EFL Cup,H,Brighton,canonical_team,2017–18 EFL Cup
1718,Brentford,2017-09-19,EFL Cup,H,Norwich,canonical_team,2017–18 EFL Cup
1718,Brighton,2017-09-19,EFL Cup,A,Bournemouth,canonical_team,2017–18 EFL Cup
1718,Burnley,2017-09-19,EFL Cup,H,Leeds,canonical_team,2017–18 EFL Cup
1718,Crystal Palace,2017-09-19,EFL Cup,H,Huddersfield,canonical_team,2017–18 EFL Cup
1718,Huddersfield,2017-09-19,EFL Cup,A,Crystal Palace,canonical_team,2017–18 EFL Cup
1718,Leeds,2017-09-19,EFL Cup,A,Burnley,canonical_team,2017–18 EFL Cup
1718,Leicester,2017-09-19,EFL Cup,H,Liverpool,canonical_team,2017–18 EFL Cup
1718,Liverpool,2017-09-19,EFL Cup,A,Leicester,canonical_team,2017–18 EFL Cup
1718,Norwich,2017-09-19,EFL Cup,A,Brentford,canonical_team,2017–18 EFL Cup
1718,Stoke,2017-09-19,EFL Cup,A,Bristol City,canonical_team,2017–18 EFL Cup
1718,Swansea,2017-09-19,EFL Cup,A,Reading,canonical_team,2017–18 EFL Cup
1718,Tottenham,2017-09-19,EFL Cup,H,Barnsley,canonical_team,2017–18 EFL Cup
1718,West Ham,2017-09-19,EFL Cup,H,Bolton Wanderers,canonical_team,2017–18 EFL Cup
1718,Wolves,2017-09-19,EFL Cup,H,Bristol Rovers,canonical_team,2017–18 EFL Cup
1718,Arsenal,2017-09-20,EFL Cup,H,Doncaster Rovers,canonical_team,2017–18 EFL Cup
1718,Chelsea,2017-09-20,EFL Cup,H,Nott'm Forest,canonical_team,2017–18 EFL Cup
1718,Everton,2017-09-20,EFL Cup,H,Sunderland,canonical_team,2017–18 EFL Cup
1718,Man City,2017-09-20,EFL Cup,A,West Brom,canonical_team,2017–18 EFL Cup
1718,Man United,2017-09-20,EFL Cup,H,Burton Albion,canonical_team,2017–18 EFL Cup
1718,Nott'm Forest,2017-09-20,EFL Cup,A,Chelsea,canonical_team,2017–18 EFL Cup
