season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Arsenal,2017-09-14,Europa League,H,1. FC Köln,canonical_team,2017–18 UEFA Europa League group stage
1718,Everton,2017-09-14,Europa League,A,Atalanta,canonical_team,2017–18 UEFA Europa League group stage
1718,Arsenal,2017-09-28,Europa League,A,BATE Borisov,canonical_team,2017–18 UEFA Europa League group stage
1718,Everton,2017-09-28,Europa League,H,Apollon Limassol,canonical_team,2017–18 UEFA Europa League group stage
1718,Arsenal,2017-10-19,Europa League,A,Red Star Belgrade,canonical_team,2017–18 UEFA Europa League group stage
1718,Everton,2017-10-19,Europa League,H,Lyon,canonical_team,2017–18 UEFA Europa League group stage
1718,Arsenal,2017-11-02,Europa League,H,Red Star Belgrade,canonical_team,2017–18 UEFA Europa League group stage
1718,Everton,2017-11-02,Europa League,A,Lyon,canonical_team,2017–18 UEFA Europa League group stage
1718,Arsenal,2017-11-23,Europa League,A,1. FC Köln,canonical_team,2017–18 UEFA Europa League group stage
1718,Everton,2017-11-23,Europa League,H,Atalanta,canonical_team,2017–18 UEFA Europa League group stage
1718,Arsenal,2017-12-07,Europa League,H,BATE Borisov,canonical_team,2017–18 UEFA Europa League group stage
1718,Everton,2017-12-07,Europa League,A,Apollon Limassol,canonical_team,2017–18 UEFA Europa League group stage
1718,Arsenal,2018-02-15,Europa League,A,Östersunds FK,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-02-22,Europa League,H,Östersunds FK,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-03-08,Europa League,A,Milan,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-03-15,Europa League,H,Milan,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-04-05,Europa League,H,CSKA Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-04-12,Europa League,A,CSKA Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-04-26,Europa League,H,Atlético Madrid,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Arsenal,2018-05-03,Europa League,A,Atlético Madrid,canonical_team,2017–18 UEFA Europa League knockout phase
1819,Arsenal,2018-09-20,Europa League,H,Vorskla Poltava,canonical_team,2018–19 UEFA Europa League group stage
1819,Chelsea,2018-09-20,Europa League,A,PAOK,canonical_team,2018–19 UEFA Europa League group stage
1819,Arsenal,2018-10-04,Europa League,A,Qarabağ,canonical_team,2018–19 UEFA Europa League group stage
1819,Chelsea,2018-10-04,Europa League,H,Vidi,canonical_team,2018–19 UEFA Europa League group stage
1819,Arsenal,2018-10-25,Europa League,A,Sporting CP,canonical_team,2018–19 UEFA Europa League group stage
1819,Chelsea,2018-10-25,Europa League,H,BATE Borisov,canonical_team,2018–19 UEFA Europa League group stage
1819,Arsenal,2018-11-08,Europa League,H,Sporting CP,canonical_team,2018–19 UEFA Europa League group stage
1819,Chelsea,2018-11-08,Europa League,A,BATE Borisov,canonical_team,2018–19 UEFA Europa League group stage
1819,Arsenal,2018-11-29,Europa League,A,Vorskla Poltava,canonical_team,2018–19 UEFA Europa League group stage
1819,Chelsea,2018-11-29,Europa League,H,PAOK,canonical_team,2018–19 UEFA Europa League group stage
1819,Arsenal,2018-12-13,Europa League,H,Qarabağ,canonical_team,2018–19 UEFA Europa League group stage
1819,Chelsea,2018-12-13,Europa League,A,Vidi,canonical_team,2018–19 UEFA Europa League group stage
1819,Arsenal,2019-02-14,Europa League,A,BATE Borisov,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-02-14,Europa League,A,Malmö FF,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-02-21,Europa League,H,BATE Borisov,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-02-21,Europa League,H,Malmö FF,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-03-07,Europa League,A,Rennes,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-03-07,Europa League,H,Dynamo Kyiv,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-03-14,Europa League,H,Rennes,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-03-14,Europa League,A,Dynamo Kyiv,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-04-11,Europa League,H,Napoli,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-04-11,Europa League,A,Slavia Prague,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-04-18,Europa League,A,Napoli,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-04-18,Europa League,H,Slavia Prague,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-05-02,Europa League,H,Valencia,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-05-02,Europa League,A,Eintracht Frankfurt,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-05-09,Europa League,A,Valencia,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Chelsea,2019-05-09,Europa League,H,Eintracht Frankfurt,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Arsenal,2019-05-29,Europa League,A,Chelsea,canonical_team,2019 UEFA Europa League final
1819,Chelsea,2019-05-29,Europa League,H,Arsenal,canonical_team,2019 UEFA Europa League final
1920,Arsenal,2019-09-19,Europa League,A,Eintracht Frankfurt,canonical_team,2019–20 UEFA Europa League group stage
1920,Man United,2019-09-19,Europa League,H,Astana,canonical_team,2019–20 UEFA Europa League group stage
1920,Wolves,2019-09-19,Europa League,H,Braga,canonical_team,2019–20 UEFA Europa League group stage
1920,Arsenal,2019-10-03,Europa League,H,Standard Liège,canonical_team,2019–20 UEFA Europa League group stage
1920,Man United,2019-10-03,Europa League,A,AZ,canonical_team,2019–20 UEFA Europa League group stage
1920,Wolves,2019-10-03,Europa League,A,Beşiktaş,canonical_team,2019–20 UEFA Europa League group stage
1920,Arsenal,2019-10-24,Europa League,H,Vitória de Guimarães,canonical_team,2019–20 UEFA Europa League group stage
1920,Man United,2019-10-24,Europa League,A,Partizan,canonical_team,2019–20 UEFA Europa League group stage
1920,Wolves,2019-10-24,Europa League,A,Slovan Bratislava,canonical_team,2019–20 UEFA Europa League group stage
1920,Arsenal,2019-11-06,Europa League,A,Vitória de Guimarães,canonical_team,2019–20 UEFA Europa League group stage
1920,Man United,2019-11-07,Europa League,H,Partizan,canonical_team,2019–20 UEFA Europa League group stage
1920,Wolves,2019-11-07,Europa League,H,Slovan Bratislava,canonical_team,2019–20 UEFA Europa League group stage
1920,Arsenal,2019-11-28,Europa League,H,Eintracht Frankfurt,canonical_team,2019–20 UEFA Europa League group stage
1920,Man United,2019-11-28,Europa League,A,Astana,canonical_team,2019–20 UEFA Europa League group stage
1920,Wolves,2019-11-28,Europa League,A,Braga,canonical_team,2019–20 UEFA Europa League group stage
1920,Arsenal,2019-12-12,Europa League,A,Standard Liège,canonical_team,2019–20 UEFA Europa League group stage
1920,Man United,2019-12-12,Europa League,H,AZ,canonical_team,2019–20 UEFA Europa League group stage
