season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Luton,2017-11-04,FA Cup,H,Portsmouth,canonical_team,2017–18 FA Cup
1718,Luton,2017-12-03,FA Cup,A,Gateshead,canonical_team,2017–18 FA Cup
1718,Everton,2018-01-05,FA Cup,A,Liverpool,canonical_team,2017–18 FA Cup
1718,Liverpool,2018-01-05,FA Cup,H,Everton,canonical_team,2017–18 FA Cup
1718,Man United,2018-01-05,FA Cup,H,Derby County,canonical_team,2017–18 FA Cup
1718,Aston Villa,2018-01-06,FA Cup,H,Peterborough United,canonical_team,2017–18 FA Cup
1718,Bournemouth,2018-01-06,FA Cup,H,Wigan Athletic,canonical_team,2017–18 FA Cup
1718,Brentford,2018-01-06,FA Cup,H,Notts County,canonical_team,2017–18 FA Cup
1718,Burnley,2018-01-06,FA Cup,A,Man City,canonical_team,2017–18 FA Cup
1718,Cardiff,2018-01-06,FA Cup,H,Mansfield Town,canonical_team,2017–18 FA Cup
1718,Chelsea,2018-01-06,FA Cup,A,Norwich,canonical_team,2017–18 FA Cup
1718,Fulham,2018-01-06,FA Cup,H,Southampton,canonical_team,2017–18 FA Cup
1718,Huddersfield,2018-01-06,FA Cup,A,Bolton Wanderers,canonical_team,2017–18 FA Cup
1718,Ipswich,2018-01-06,FA Cup,H,Sheffield United,canonical_team,2017–18 FA Cup
1718,Leicester,2018-01-06,FA Cup,A,Fleetwood Town,canonical_team,2017–18 FA Cup
1718,Luton,2018-01-06,FA Cup,A,Newcastle,canonical_team,2017–18 FA Cup
1718,Man City,2018-01-06,FA Cup,H,Burnley,canonical_team,2017–18 FA Cup
1718,Newcastle,2018-01-06,FA Cup,H,Luton,canonical_team,2017–18 FA Cup
1718,Norwich,2018-01-06,FA Cup,H,Chelsea,canonical_team,2017–18 FA Cup
1718,Sheffield United,2018-01-06,FA Cup,A,Ipswich,canonical_team,2017–18 FA Cup
1718,Southampton,2018-01-06,FA Cup,A,Fulham,canonical_team,2017–18 FA Cup
1718,Stoke,2018-01-06,FA Cup,A,Coventry City,canonical_team,2017–18 FA Cup
1718,Sunderland,2018-01-06,FA Cup,A,Middlesbrough,canonical_team,2017–18 FA Cup
1718,Swansea,2018-01-06,FA Cup,A,Wolves,canonical_team,2017–18 FA Cup
1718,Watford,2018-01-06,FA Cup,H,Bristol City,canonical_team,2017–18 FA Cup
1718,West Brom,2018-01-06,FA Cup,A,Exeter City,canonical_team,2017–18 FA Cup
1718,Wolves,2018-01-06,FA Cup,H,Swansea,canonical_team,2017–18 FA Cup
1718,Arsenal,2018-01-07,FA Cup,A,Nott'm Forest,canonical_team,2017–18 FA Cup
1718,Leeds,2018-01-07,FA Cup,A,Newport County,canonical_team,2017–18 FA Cup
1718,Nott'm Forest,2018-01-07,FA Cup,H,Arsenal,canonical_team,2017–18 FA Cup
1718,Tottenham,2018-01-07,FA Cup,H,AFC Wimbledon,canonical_team,2017–18 FA Cup
1718,West Ham,2018-01-07,FA Cup,A,Shrewsbury Town,canonical_team,2017–18 FA Cup
1718,Brighton,2018-01-08,FA Cup,H,Crystal Palace,canonical_team,2017–18 FA Cup
1718,Crystal Palace,2018-01-08,FA Cup,A,Brighton,canonical_team,2017–18 FA Cup
1718,Cardiff,2018-01-16,FA Cup,A,Mansfield Town,canonical_team,2017–18 FA Cup
1718,Leicester,2018-01-16,FA Cup,H,Fleetwood Town,canonical_team,2017–18 FA Cup
1718,West Ham,2018-01-16,FA Cup,H,Shrewsbury Town,canonical_team,2017–18 FA Cup
1718,Bournemouth,2018-01-17,FA Cup,A,Wigan Athletic,canonical_team,2017–18 FA Cup
1718,Chelsea,2018-01-17,FA Cup,H,Norwich,canonical_team,2017–18 FA Cup
1718,Norwich,2018-01-17,FA Cup,A,Chelsea,canonical_team,2017–18 FA Cup
1718,Swansea,2018-01-17,FA Cup,H,Wolves,canonical_team,2017–18 FA Cup
1718,Wolves,2018-01-17,FA Cup,A,Swansea,canonical_team,2017–18 FA Cup
1718,Man United,2018-01-26,FA Cup,A,Yeovil Town,canonical_team,2017–18 FA Cup
1718,Brighton,2018-01-27,FA Cup,A,Middlesbrough,canonical_team,2017–18 FA Cup
1718,Huddersfield,2018-01-27,FA Cup,H,Birmingham City,canonical_team,2017–18 FA Cup
1718,Leicester,2018-01-27,FA Cup,A,Peterborough United,canonical_team,2017–18 FA Cup
1718,Liverpool,2018-01-27,FA Cup,H,West Brom,canonical_team,2017–18 FA Cup
1718,Nott'm Forest,2018-01-27,FA Cup,A,Hull City,canonical_team,2017–18 FA Cup
1718,Sheffield United,2018-01-27,FA Cup,H,Preston North End,canonical_team,2017–18 FA Cup
1718,Southampton,2018-01-27,FA Cup,H,Watford,canonical_team,2017–18 FA Cup
1718,Swansea,2018-01-27,FA Cup,A,Notts County,canonical_team,2017–18 FA Cup
1718,Tottenham,2018-01-27,FA Cup,A,Newport County,canonical_team,2017–18 FA Cup
1718,Watford,2018-01-27,FA Cup,A,Southampton,canonical_team,2017–18 FA Cup
1718,West Brom,2018-01-27,FA Cup,A,Liverpool,canonical_team,2017–18 FA Cup
1718,West Ham,2018-01-27,FA Cup,A,Wigan Athletic,canonical_team,2017–18 FA Cup
1718,Cardiff,2018-01-28,FA Cup,H,Man City,canonical_team,2017–18 FA Cup
1718,Chelsea,2018-01-28,FA Cup,H,Newcastle,canonical_team,2017–18 FA Cup
1718,Man City,2018-01-28,FA Cup,A,Cardiff,canonical_team,2017–18 FA Cup
1718,Newcastle,2018-01-28,FA Cup,A,Chelsea,canonical_team,2017–18 FA Cup
1718,Huddersfield,2018-02-06,FA Cup,A,Birmingham City,canonical_team,2017–18 FA Cup
1718,Swansea,2018-02-06,FA Cup,H,Notts County,canonical_team,2017–18 FA Cup
1718,Tottenham,2018-02-07,FA Cup,H,Newport County,canonical_team,2017–18 FA Cup
1718,Chelsea,2018-02-16,FA Cup,H,Hull City,canonical_team,2017–18 FA Cup
1718,Leicester,2018-02-16,FA Cup,H,Sheffield United,canonical_team,2017–18 FA Cup
1718,Sheffield United,2018-02-16,FA Cup,A,Leicester,canonical_team,2017–18 FA Cup
1718,Brighton,2018-02-17,FA Cup,H,Coventry City,canonical_team,2017–18 FA Cup
1718,Huddersfield,2018-02-17,FA Cup,H,Man United,canonical_team,2017–18 FA Cup
1718,Man United,2018-02-17,FA Cup,A,Huddersfield,canonical_team,2017–18 FA Cup
1718,Southampton,2018-02-17,FA Cup,A,West Brom,canonical_team,2017–18 FA Cup
1718,Swansea,2018-02-17,FA Cup,A,Sheffield Wednesday,canonical_team,2017–18 FA Cup
1718,West Brom,2018-02-17,FA Cup,H,Southampton,canonical_team,2017–18 FA Cup
1718,Tottenham,2018-02-18,FA Cup,A,Rochdale,canonical_team,2017–18 FA Cup
1718,Man City,2018-02-19,FA Cup,A,Wigan Athletic,canonical_team,2017–18 FA Cup
1718,Swansea,2018-02-27,FA Cup,H,Sheffield Wednesday,canonical_team,2017–18 FA Cup
1718,Tottenham,2018-02-28,FA Cup,H,Rochdale,canonical_team,2017–18 FA Cup
1718,Brighton,2018-03-17,FA Cup,A,Man United,canonical_team,2017–18 FA Cup
1718,Man United,2018-03-17,FA Cup,H,Brighton,canonical_team,2017–18 FA Cup
1718,Swansea,2018-03-17,FA Cup,H,Tottenham,canonical_team,2017–18 FA Cup
1718,Tottenham,2018-03-17,FA Cup,A,Swansea,canonical_team,2017–18 FA Cup
1718,Chelsea,2018-03-18,FA Cup,A,Leicester,canonical_team,2017–18 FA Cup
1718,Leicester,2018-03-18,FA Cup,H,Chelsea,canonical_team,2017–18 FA Cup
1718,Southampton,2018-03-18,FA Cup,A,Wigan Athletic,canonical_team,2017–18 FA Cup
1718,Chelsea,2018-05-19,FA Cup,H,Man United,canonical_team,2018 FA Cup Final
1718,Man United,2018-05-19,FA Cup,A,Chelsea,canonical_team,2018 FA Cup Final
2526,Luton,2025-10-31,FA Cup,H,Forest Green Rovers,canonical_team,2025–26 FA Cup
2526,Cardiff,2025-11-01,FA Cup,A,Peterborough United,canonical_team,2025–26 FA Cup
2526,Huddersfield,2025-11-01,FA Cup,A,Bolton Wanderers,canonical_team,2025–26 FA Cup
2526,Luton,2025-12-06,FA Cup,A,Fleetwood Town,canonical_team,2025–26 FA Cup
2526,Nott'm Forest,2026-01-09,FA Cup,A,Wrexham,canonical_team,2025–26 FA Cup
2526,Aston Villa,2026-01-10,FA Cup,A,Tottenham,canonical_team,2025–26 FA Cup
