season,team,date,competition,home_away,opponent,metodo_nome,pagina
2526,Fiorentina,2025-10-02,Conference League,H,Sigma Olomouc,canonical_team,2025–26 UEFA Conference League league phase
2526,Fiorentina,2025-10-23,Conference League,A,Rapid Wien,canonical_team,2025–26 UEFA Conference League league phase
2526,Fiorentina,2025-11-06,Conference League,A,Mainz 05,canonical_team,2025–26 UEFA Conference League league phase
2526,Fiorentina,2025-11-27,Conference League,H,AEK Athens,canonical_team,2025–26 UEFA Conference League league phase
2526,Fiorentina,2025-12-11,Conference League,H,Dynamo Kyiv,canonical_team,2025–26 UEFA Conference League league phase
2526,Fiorentina,2025-12-18,Conference League,A,Lausanne-Sport,canonical_team,2025–26 UEFA Conference League league phase
2526,Fiorentina,2026-02-19,Conference League,A,Jagiellonia Białystok,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Fiorentina,2026-02-26,Conference League,H,Jagiellonia Białystok,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Fiorentina,2026-03-12,Conference League,H,Raków Częstochowa,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Fiorentina,2026-03-19,Conference League,A,Raków Częstochowa,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Fiorentina,2026-04-09,Conference League,A,Crystal Palace,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Fiorentina,2026-04-16,Conference League,H,Crystal Palace,canonical_team,2025–26 UEFA Conference League knockout phase
