season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Juventus,2017-08-13,Supercoppa Italiana,H,Lazio,canonical_team,2017 Supercoppa Italiana
1718,Lazio,2017-08-13,Supercoppa Italiana,A,Juventus,canonical_team,2017 Supercoppa Italiana
1819,Juventus,2019-01-16,Supercoppa Italiana,H,Milan,canonical_team,2018 Supercoppa Italiana
1819,Milan,2019-01-16,Supercoppa Italiana,A,Juventus,canonical_team,2018 Supercoppa Italiana
1920,Juventus,2019-12-22,Supercoppa Italiana,H,Lazio,canonical_team,2019 Supercoppa Italiana
1920,Lazio,2019-12-22,Supercoppa Italiana,A,Juventus,canonical_team,2019 Supercoppa Italiana
2021,Juventus,2021-01-20,Supercoppa Italiana,H,Napoli,canonical_team,2020 Supercoppa Italiana
2021,Napoli,2021-01-20,Supercoppa Italiana,A,Juventus,canonical_team,2020 Supercoppa Italiana
2122,Inter,2022-01-12,Supercoppa Italiana,H,Juventus,canonical_team,2021 Supercoppa Italiana
2122,Juventus,2022-01-12,Supercoppa Italiana,A,Inter,canonical_team,2021 Supercoppa Italiana
2223,Inter,2023-01-18,Supercoppa Italiana,A,Milan,canonical_team,2022 Supercoppa Italiana
2223,Milan,2023-01-18,Supercoppa Italiana,H,Inter,canonical_team,2022 Supercoppa Italiana
2324,Fiorentina,2024-01-18,Supercoppa Italiana,A,Napoli,canonical_team,2023 Supercoppa Italiana
2324,Napoli,2024-01-18,Supercoppa Italiana,H,Fiorentina,canonical_team,2023 Supercoppa Italiana
2324,Inter,2024-01-19,Supercoppa Italiana,H,Lazio,canonical_team,2023 Supercoppa Italiana
2324,Lazio,2024-01-19,Supercoppa Italiana,A,Inter,canonical_team,2023 Supercoppa Italiana
2425,Atalanta,2025-01-02,Supercoppa Italiana,A,Inter,canonical_team,2024 Supercoppa Italiana
2425,Inter,2025-01-02,Supercoppa Italiana,H,Atalanta,canonical_team,2024 Supercoppa Italiana
2425,Juventus,2025-01-03,Supercoppa Italiana,H,Milan,canonical_team,2024 Supercoppa Italiana
2425,Milan,2025-01-03,Supercoppa Italiana,A,Juventus,canonical_team,2024 Supercoppa Italiana
2526,Milan,2025-12-18,Supercoppa Italiana,A,Napoli,canonical_team,2025–26 Supercoppa Italiana
2526,Napoli,2025-12-18,Supercoppa Italiana,H,Milan,canonical_team,2025–26 Supercoppa Italiana
2526,Bologna,2025-12-19,Supercoppa Italiana,H,Inter,canonical_team,2025–26 Supercoppa Italiana
2526,Inter,2025-12-19,Supercoppa Italiana,A,Bologna,canonical_team,2025–26 Supercoppa Italiana
