league,season,date,home_team,away_team,p_over25_close_est,metodo,mae_atteso,mae_interpolazione,note
bundesliga,1718,2017-08-18,Bayern Munich,Leverkusen,0.685,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-19,Hamburg,Augsburg,0.4392,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-19,Hertha,Stuttgart,0.4904,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-19,Hoffenheim,Werder Bremen,0.6415,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-19,Mainz,Hannover,0.4927,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-19,Schalke 04,RB Leipzig,0.5192,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-19,Wolfsburg,Dortmund,0.5749,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-20,Freiburg,Ein Frankfurt,0.4169,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-20,M'gladbach,FC Koln,0.5223,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-25,FC Koln,Hamburg,0.4595,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-26,Augsburg,M'gladbach,0.4639,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-26,Dortmund,Hertha,0.6298,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-26,Ein Frankfurt,Wolfsburg,0.4287,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-26,Leverkusen,Hoffenheim,0.621,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-26,Stuttgart,Mainz,0.5381,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-26,Werder Bremen,Bayern Munich,0.7075,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-27,Hannover,Schalke 04,0.4969,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-08-27,RB Leipzig,Freiburg,0.5698,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-09-08,Hamburg,RB Leipzig,0.5433,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-09-09,Augsburg,FC Koln,0.4561,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-09-09,Freiburg,Dortmund,0.647,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-09-09,Hoffenheim,Bayern Munich,0.6676,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-09-09,M'gladbach,Ein Frankfurt,0.4828,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
bundesliga,1718,2017-09-09,Mainz,Leverkusen,0.5523,"E3 (E3_pooled5): logit(close) ~ 1 + logit(open O/U) + Dlogit(H,D,A) 1X2, fit su 12457 partite 2019-20+",0.0143,0.0124,"coefficienti fittati su stagioni SUCCESSIVE (l'unico dato possibile: la chiusura O/U 2017-19 non esiste). mae_atteso e' misurato in quello STESSO regime (fit sul tardi -> stima sul 2017-19); mae_interpolazione e' il valore piu' ottimistico che si otterrebbe se il fit vedesse anche stagioni precedenti, e NON si applica qui. Input O/U 2017-19 = BbAv (Betbrain), movimento 1X2 = Pinnacle."
