priorita,club,allenatore,nostro_da,nostro_a,partite,ruolo,in_carica,confidenza,refutazione,verdetto,nota_breve,fonte
1,1.FC Köln,Stefan Ruthenbeck,2017-12-07,2018-05-12,22,traghettatore,Stefan Ruthenbeck,alta,non_controllato,assente_da_wikidata,"Subentra il 03/12/2017 a Peter Stoeger esonerato, dapprima ad interim fino alla sosta invernale, poi (20/12/20",https://de.wikipedia.org/wiki/Stefan_Ruthenbeck
1,Real Sociedad,Imanol Alguacil,2018-04-01,2018-05-20,9,traghettatore,Imanol Alguacil,alta,non_controllato,date_diverse,Promosso dal filiale dopo l'esonero di Eusebio Sacristán (18/3/2018) e in panchina fino a fine stagione: 9 par,https://es.wikipedia.org/wiki/Imanol_Alguacil | https://es.wikipedia.org/wiki/Eusebio_Sacrist%C3%A1n
1,Burnley FC,Mike Jackson,2022-04-17,2022-05-22,8,traghettatore,Mike Jackson,alta,non_controllato,date_diverse,"Caretaker manager del Burnley dopo l'esonero di Sean Dyche (15/4/2022) fino al 22/5/2022, 8 partite - esattame","https://en.wikipedia.org/wiki/Mike_Jackson_(footballer,_born_1973)"
1,AS Saint-Étienne,Julien Sablé,2017-11-17,2017-12-20,7,traghettatore,Julien Sablé,alta,non_controllato,assente_da_wikidata,Allenatore dell'U19/riserve promosso ad interim il 15/11/2017 dopo le dimissioni di Oscar Garcia; nessun titol,https://en.wikipedia.org/wiki/Julien_Sabl%C3%A9 | https://fr.wikipedia.org/wiki/Julien_Sabl%C3%A9 | https://en.wikipedia.org/wiki/Jean-Louis_Gasset
1,RCD Espanyol Barcelona,David Gallego,2018-04-22,2018-05-20,5,traghettatore,David Gallego,alta,non_controllato,date_diverse,Tecnico interino dell'Espanyol per le ultime 5 giornate del 2017-18 (13 punti su 15) dopo la rescissione con Q,https://es.wikipedia.org/wiki/David_Gallego | https://es.wikipedia.org/wiki/Quique_S%C3%A1nchez_Flores
1,Sevilla FC,Joaquín Caparrós,2018-05-04,2018-05-19,4,traghettatore,Joaquín Caparrós,alta,non_controllato,date_diverse,Subentrato il 28/4/2018 a Vincenzo Montella «hasta el final de la Liga 2017-18»: incarico interino di 4 partit,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Caparr%C3%B3s
1,Leeds United,Michael Skubala,2023-02-08,2023-02-18,3,traghettatore,Michael Skubala,alta,non_controllato,nome_diverso,Skubala (all. U21) fu traghettatore dopo l'esonero di Marsch (06/02) e prima dell'arrivo di Gracia (21/02): gu,https://en.wikipedia.org/wiki/Michael_Skubala | https://www.espn.com/soccer/leeds-united-engleeds/story/4883438/leeds-united-appoint-javi-gracia-as-new-manager-to-replace-jesse-marsch
1,Newcastle United,Graeme Jones,2021-10-23,2021-11-06,3,traghettatore,Graeme Jones (interim head coach),alta,non_controllato,date_diverse,"Dopo l'esonero di Steve Bruce (20/10/2021) Jones guido' ad interim 3 gare (Crystal Palace, Chelsea, Brighton) ",https://en.wikipedia.org/wiki/Graeme_Jones | https://en.wikipedia.org/wiki/2021%E2%80%9322_Newcastle_United_F.C._season
1,Valencia CF,Voro,2023-02-02,2023-02-11,3,traghettatore,Voro (Salvador González Marco),alta,non_controllato,nome_diverso,"Stessa persona: ""Voro"" è il soprannome di Salvador González Marco; ottavo incarico da traghettatore del Valenc",https://en.wikipedia.org/wiki/Voro_(footballer) | https://www.dazn.com/es-ES/news/primera-divisi%C3%B3n/voro-gonzalez-entrenador-valencia-despido-gennaro-gattuso/v5nbjlgue7as1vy37o8makv2x
1,CD Leganés,Luis Cembranos,2019-10-26,2019-11-03,3,traghettatore,Luis Cembranos,alta,non_controllato,assente_da_wikidata,"Allenatore del Leganés B, prende la prima squadra il 21/10/2019 dopo l'esonero di Pellegrino e la lascia il 04",https://es.wikipedia.org/wiki/Luis_Cembranos | https://es.wikipedia.org/wiki/Club_Deportivo_Legan%C3%A9s
1,FC Girondins Bordeaux,Eric Bedouet,2018-11-11,2018-11-24,2,vice,Ricardo Gomes (manager); Bedouet in panchina in Ligue 1 per la licenza,media,non_controllato,nome_diverso,"Ricardo Gomes fu manager del Bordeaux dal 05/09/2018 al 26/02/2019 ma senza il diploma BEPF, quindi in Ligue 1",https://fr.wikipedia.org/wiki/%C3%89ric_Bedouet | https://en.wikipedia.org/wiki/2018%E2%80%9319_FC_Girondins_de_Bordeaux_season
1,West Bromwich Albion,Gary Megson,2017-11-25,2017-11-28,2,traghettatore,Gary Megson,alta,non_controllato,assente_da_wikidata,Megson (vice di Pulis) è caretaker manager dopo l'esonero di Tony Pulis del 20/11/2017 e lascia il 29/11 con l,https://en.wikipedia.org/wiki/Gary_Megson
1,1.FC Nuremberg,Dieter Hecking,2023-04-05,2023-04-05,1,traghettatore,Dieter Hecking (Interimstrainer),alta,non_controllato,date_diverse,"Hecking, allora direttore sportivo del Norimberga, prese la squadra ad interim dopo l'esonero di Markus Weinzi",https://de.wikipedia.org/wiki/Dieter_Hecking | https://en.wikipedia.org/wiki/Dieter_Hecking | https://de.wikipedia.org/wiki/Markus_Weinzierl
1,Arminia Bielefeld,Ilia Gruev,2022-03-13,2022-03-13,1,vice,Frank Kramer,alta,non_controllato,nome_diverso,"Gruev era il Co-Trainer: il 13/03/2022 a Dortmund sostituì Kramer, positivo al Covid insieme a sei giocatori; ",https://www.spox.com/de/sport/fussball/bundesliga/2203/News/corona-ausbruch-arminia-bielefeld-gegen-bvb-ohne-trainer-frank-kramer.html | https://www.t-online.de/sport/fussball/id_91817640/bundesliga-corona-in-bielefeld-kramer-und-sechs-spieler-betroffen.html | https://www.arminia.de/neues/schlagzeilen/detail/ilia-gruev-ist-neuer-co-trainer
