manager_key,manager_qid,club_qid,prec_da,prec_a,wd_da,wd_a
gian piero gasperini,Q367846,Q2739,9.0,,2025-01-01,
diego simeone,Q258115,Q8701,11.0,11.0,2011-12-23,2024-01-06
diego simeone,Q258115,Q276533,11.0,11.0,2011-06-23,2011-12-22
diego simeone,Q258115,Q2018,11.0,11.0,2011-01-19,2011-06-01
diego simeone,Q258115,Q218282,11.0,11.0,2009-04-20,2010-04-03
diego simeone,Q258115,Q15799,11.0,11.0,2008-01-01,2008-11-08
diego simeone,Q258115,Q214940,11.0,11.0,2006-05-18,2007-12-09
diego simeone,Q258115,Q276533,11.0,11.0,2006-02-19,2006-05-17
diego simeone,Q258115,Q2641,11.0,,2024-01-06,
pep guardiola,Q164038,Q10467,11.0,11.0,2007-07-01,2008-06-30
pep guardiola,Q164038,Q7156,11.0,11.0,2008-07-01,2012-06-30
pep guardiola,Q164038,Q15789,11.0,11.0,2013-07-01,2016-06-30
pep guardiola,Q164038,Q50602,11.0,11.0,2016-07-01,2026-06-30
pep guardiola,Q164038,Q140228534,,,,
unai emery,Q295610,Q483020,9.0,9.0,2016-01-01,2018-01-01
unai emery,Q295610,Q9617,9.0,9.0,2018-01-01,2019-01-01
unai emery,Q295610,Q239049,11.0,11.0,2004-12-21,2006-06-22
unai emery,Q295610,Q10407,11.0,11.0,2006-06-22,2008-05-22
unai emery,Q295610,Q10333,11.0,11.0,2008-05-22,2012-05-14
unai emery,Q295610,Q29112,11.0,11.0,2012-05-14,2012-11-25
unai emery,Q295610,Q10329,11.0,11.0,2013-01-14,2016-06-12
unai emery,Q295610,Q12297,11.0,11.0,2020-07-23,2022-10-25
unai emery,Q295610,Q18711,11.0,,2022-11-01,
simone inzaghi,Q314670,Q631,11.0,11.0,2021-05-28,2025-06-03
simone inzaghi,Q314670,Q2609,11.0,11.0,2016-04-03,2021-05-27
simone inzaghi,Q314670,Q73965,11.0,,2025-06-04,
eddie howe,Q5336135,Q19568,,,,
manuel pellegrini,Q296036,Q18747,9.0,9.0,2018-01-01,2019-01-01
manuel pellegrini,Q296036,Q8723,9.0,,2020-01-01,
manuel pellegrini,Q296036,Q8682,11.0,11.0,2009-06-01,2010-05-26
manuel pellegrini,Q296036,Q50602,11.0,11.0,2013-06-14,2016-06-30
roberto de zerbi,Q2032119,Q4005113,11.0,11.0,2013-11-19,2014-06-30
