club_id,club_name,club_qid,manager_qid,prec_da,prec_a,manager_nome,manager_nascita,wd_da,wd_a,rank
3,1.FC Köln,Q104770,Q1568284,11.0,11.0,Markus Anfang,1974-06-12,2018-07-01,2019-04-27,normal
3,1.FC Köln,Q104770,Q19257969,11.0,11.0,Achim Beierlorzer,1967-11-20,2019-07-01,2019-11-09,normal
3,1.FC Köln,Q104770,Q63382856,11.0,11.0,André Pawlak,1971-02-12,2019-11-09,2019-11-18,normal
3,1.FC Köln,Q104770,Q9318057,11.0,11.0,Markus Gisdol,1969-08-17,2019-11-18,2021-04-11,normal
3,1.FC Köln,Q104770,Q679901,11.0,11.0,Friedhelm Funkel,1953-12-10,2021-04-11,2021-06-30,normal
3,1.FC Köln,Q104770,Q2338559,11.0,11.0,Steffen Baumgart,1972-01-05,2021-07-01,2023-12-31,normal
3,1.FC Köln,Q104770,Q487074,11.0,11.0,Timo Schultz,1977-08-26,2024-01-04,2024-06-30,normal
3,1.FC Köln,Q104770,Q5550774,11.0,11.0,Gerhard Struber,1977-01-24,2024-07-01,2025-05-04,normal
3,1.FC Köln,Q104770,Q679901,11.0,11.0,Friedhelm Funkel,1953-12-10,2025-05-05,2025-06-30,normal
3,1.FC Köln,Q104770,Q27960236,11.0,11.0,Lukas Kwasniok,1981-06-12,2025-07-01,2026-03-22,normal
3,1.FC Köln,Q104770,Q138763771,11.0,,René Wagner,1988-07-17,2026-03-23,,preferred
4,1.FC Nuremberg,Q15786,Q21055706,10.0,10.0,Michael Köllner,1969-12-29,2017-03-01,2019-02-01,normal
4,1.FC Nuremberg,Q15786,Q16765990,10.0,11.0,Damir Canadi,1970-05-06,2019-05-01,2019-11-05,normal
4,1.FC Nuremberg,Q15786,Q63028,11.0,11.0,Jens Keller,1970-11-24,2019-11-13,2020-06-29,normal
4,1.FC Nuremberg,Q15786,Q651506,11.0,11.0,Michael Wiesinger,1972-12-27,2020-06-29,2020-07-11,normal
4,1.FC Nuremberg,Q15786,Q55443134,11.0,11.0,Robert Klauß,1984-12-01,2020-07-30,2022-10-03,normal
4,1.FC Nuremberg,Q15786,Q80471,11.0,,Miroslav Klose,1978-06-09,2024-06-11,,preferred
5,AC Milan,Q1543,Q297768,11.0,11.0,Vincenzo Montella,1974-06-18,2016-07-01,2017-11-27,normal
5,AC Milan,Q1543,Q116980,11.0,11.0,Gennaro Gattuso,1978-01-09,2017-11-27,2019-05-28,normal
5,AC Milan,Q1543,Q2704759,11.0,11.0,Marco Giampaolo,1967-08-02,2019-06-19,2019-10-08,normal
5,AC Milan,Q1543,Q923088,11.0,11.0,Stefano Pioli,1965-10-20,2019-10-09,2024-05-26,normal
5,AC Milan,Q1543,Q10346582,11.0,11.0,Paulo Fonseca,1973-03-05,2024-07-01,2024-12-30,normal
5,AC Milan,Q1543,Q317298,11.0,11.0,Sérgio Conceição,1974-11-15,2024-12-30,2025-05-29,normal
5,AC Milan,Q1543,Q354529,11.0,11.0,Massimiliano Allegri,1967-08-11,2025-05-30,2026-05-25,normal
5,AC Milan,Q1543,Q368682,11.0,,Rúben Amorim,1985-01-27,2026-06-16,,preferred
10,Arminia Bielefeld,Q105844,Q535093,11.0,11.0,Jeff Saibene,1968-09-13,2017-03-19,2018-12-10,normal
