manager_key,grafia,qid,nome_wd,nascita,titolo,club_confermati,stato
gian piero gasperini,Gian Piero Gasperini,Q367846,Gian Piero Gasperini,1958-01-26,Gian Piero Gasperini,1,risolto
diego simeone,Diego Simeone,Q258115,Diego Simeone,1970-04-28,Diego Simeone,1,risolto
pep guardiola,Pep Guardiola,Q164038,Josep Guardiola,1971-01-18,Pep Guardiola,1,risolto
unai emery,Unai Emery,Q295610,Unai Emery,1971-11-03,Unai Emery,4,risolto
simone inzaghi,Simone Inzaghi,Q314670,Simone Inzaghi,1976-04-05,Simone Inzaghi,2,risolto
eddie howe,Eddie Howe,Q5336135,Eddie Howe,1977-11-29,Eddie Howe,1,risolto
manuel pellegrini,Manuel Pellegrini,Q296036,Manuel Pellegrini,1953-09-16,Manuel Pellegrini,2,risolto
roberto de zerbi,Roberto De Zerbi,Q2032119,Roberto De Zerbi,1979-06-06,Roberto De Zerbi,5,risolto
sean dyche,Sean Dyche,Q10599,Sean Dyche,1971-06-28,Sean Dyche,3,risolto
carlo ancelotti,Carlo Ancelotti,Q174614,Carlo Ancelotti,1959-06-10,Carlo Ancelotti,4,risolto
jurgen klopp,Jürgen Klopp,Q83106,Jürgen Klopp,1967-06-16,Jürgen Klopp,1,risolto
stefano pioli,Stefano Pioli,Q923088,Stefano Pioli,1965-10-20,Stefano Pioli,2,risolto
imanol alguacil,Imanol Alguacil,,,,,0,nome_trovato_club_no
maurizio sarri,Maurizio Sarri,Q3852721,Maurizio Sarri,1959-01-10,Maurizio Sarri,4,risolto
david moyes,David Moyes,Q297252,David Moyes,1963-04-25,David Moyes,2,risolto
jagoba arrasate,Jagoba Arrasate,,,,,0,nome_trovato_club_no
michel der zakarian,Michel Der Zakarian,Q965558,Michel Der Zakarian,1963-02-18,Michel Der Zakarian,2,risolto
mikel arteta,Mikel Arteta,Q185572,Mikel Arteta,1982-03-26,Mikel Arteta,1,risolto
ernesto valverde,Ernesto Valverde,Q359118,Ernesto Valverde,1964-02-09,Ernesto Valverde,2,risolto
christophe pelissier,Christophe Pélissier,,,,,0,nome_trovato_club_no
antonio conte,Antonio Conte,Q26580,Antonio Conte,1969-07-31,Antonio Conte,4,risolto
marcelino,Marcelino,,,,,0,nome_trovato_club_no
niko kovac,Niko Kovac,Q154305,Niko Kovač,1971-10-15,Niko Kovac,5,risolto
bruno genesio,Bruno Génésio,Q2926833,Bruno Gènèsio,1966-09-01,Bruno Génésio,2,risolto
ivan juric,Ivan Juric,Q556688,Ivan Jurić,1975-08-25,Ivan Juric,2,risolto
christian streich,Christian Streich,Q129121,Christian Streich,1965-06-11,Christian Streich,1,risolto
pepe bordalas,Pepe Bordalás,Q3323802,José Bordalás,1964-03-05,Pepe Bordalás,1,risolto
marco silva,Marco Silva,Q6757714,Marco Silva,1977-07-12,Marco Silva,3,risolto
vincenzo italiano,Vincenzo Italiano,Q1091404,Vincenzo Italiano,1977-12-10,Vincenzo Italiano,1,risolto
massimiliano allegri,Massimiliano Allegri,Q354529,Massimiliano Allegri,1967-08-11,Massimiliano Allegri,2,risolto
ralph hasenhuttl,Ralph Hasenhüttl,Q874628,Ralph Hasenhüttl,1967-08-09,Ralph Hasenhüttl,3,risolto
oliver glasner,Oliver Glasner,Q874777,Oliver Glasner,1974-08-28,Oliver Glasner,3,risolto
michel,Míchel,,,,,0,residuo
antoine kombouare,Antoine Kombouaré,Q586555,Antoine Kombouaré,1963-11-16,Antoine Kombouaré,2,risolto
nuno espirito santo,Nuno Espírito Santo,Q372372,Nuno Espírito Santo,1974-01-25,Nuno Espírito Santo,4,risolto
paulo fonseca,Paulo Fonseca,Q10346582,Paulo Fonseca,1973-03-05,Paulo Fonseca,4,risolto
claudio ranieri,Claudio Ranieri,Q235068,Claudio Ranieri,1951-10-20,Claudio Ranieri,6,risolto
adi hutter,Adi Hütter,,,,,0,nome_trovato_club_no
patrick vieira,Patrick Vieira,Q46347,Patrick Vieira,1976-06-23,Patrick Vieira,4,risolto
eusebio di francesco,Eusebio Di Francesco,Q396154,Eusebio Di Francesco,1969-09-08,Eusebio Di Francesco,7,risolto
franck haise,Franck Haise,Q3082153,Franck Haise,1971-04-15,Franck Haise,2,risolto
jose mourinho,José Mourinho,Q79983,José Mourinho,1963-01-26,José Mourinho,3,risolto
roy hodgson,Roy Hodgson,Q203781,Roy Hodgson,1947-08-09,Roy Hodgson,2,risolto
christophe galtier,Christophe Galtier,Q129023,Christophe Galtier,1966-08-23,Christophe Galtier,3,risolto
roberto d aversa,Roberto D'Aversa,,,,,0,nome_trovato_club_no
