campionato,paese,stagione,giornata,data,giorno,ora_italiana,ora_locale,squadra_casa,squadra_trasferta,data_ora_provvisoria,casa_nome_ufficiale,trasferta_nome_ufficiale,kickoff_utc
Bundesliga,Germania,2026-27,1,2026-08-28,Venerdì,20:30,20:30,Bayern Monaco,Stoccarda,no,FC Bayern München,VfB Stuttgart,2026-08-28T18:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Augsburg,Schalke 04,no,FC Augsburg,FC Schalke 04,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Borussia Dortmund,Amburgo,no,Borussia Dortmund,Hamburger SV,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Colonia,Hoffenheim,no,1. FC Köln,TSG 1899 Hoffenheim,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Elversberg,Leverkusen,no,SV 07 Elversberg,Bayer 04 Leverkusen,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Friburgo,Werder Brema,no,SC Freiburg,SV Werder Bremen,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Mainz,Paderborn,no,1. FSV Mainz 05,SC Paderborn 07,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,RB Lipsia,Borussia M'gladbach,no,RB Leipzig,Borussia Mönchengladbach,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,1,2026-08-29,Sabato,15:30,15:30,Union Berlino,Eintracht Francoforte,no,1. FC Union Berlin,Eintracht Frankfurt,2026-08-29T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Amburgo,Mainz,sì,Hamburger SV,1. FSV Mainz 05,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Borussia M'gladbach,Elversberg,sì,Borussia Mönchengladbach,SV 07 Elversberg,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Eintracht Francoforte,Augsburg,sì,Eintracht Frankfurt,FC Augsburg,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Hoffenheim,Borussia Dortmund,sì,TSG 1899 Hoffenheim,Borussia Dortmund,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Leverkusen,Union Berlino,sì,Bayer 04 Leverkusen,1. FC Union Berlin,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Paderborn,Friburgo,sì,SC Paderborn 07,SC Freiburg,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Schalke 04,Bayern Monaco,sì,FC Schalke 04,FC Bayern München,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Stoccarda,Colonia,sì,VfB Stuttgart,1. FC Köln,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,2,2026-09-05,Sabato,15:30,15:30,Werder Brema,RB Lipsia,sì,SV Werder Bremen,RB Leipzig,2026-09-05T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Augsburg,Leverkusen,sì,FC Augsburg,Bayer 04 Leverkusen,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Borussia Dortmund,Paderborn,sì,Borussia Dortmund,SC Paderborn 07,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Colonia,Werder Brema,sì,1. FC Köln,SV Werder Bremen,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Elversberg,Bayern Monaco,sì,SV 07 Elversberg,FC Bayern München,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Friburgo,Borussia M'gladbach,sì,SC Freiburg,Borussia Mönchengladbach,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Hoffenheim,Stoccarda,sì,TSG 1899 Hoffenheim,VfB Stuttgart,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Mainz,Eintracht Francoforte,sì,1. FSV Mainz 05,Eintracht Frankfurt,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,RB Lipsia,Amburgo,sì,RB Leipzig,Hamburger SV,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,3,2026-09-12,Sabato,15:30,15:30,Union Berlino,Schalke 04,sì,1. FC Union Berlin,FC Schalke 04,2026-09-12T13:30Z
Bundesliga,Germania,2026-27,4,2026-09-19,Sabato,15:30,15:30,Amburgo,Colonia,sì,Hamburger SV,1. FC Köln,2026-09-19T13:30Z
Bundesliga,Germania,2026-27,4,2026-09-19,Sabato,15:30,15:30,Bayern Monaco,Union Berlino,sì,FC Bayern München,1. FC Union Berlin,2026-09-19T13:30Z
Bundesliga,Germania,2026-27,4,2026-09-19,Sabato,15:30,15:30,Borussia M'gladbach,Mainz,sì,Borussia Mönchengladbach,1. FSV Mainz 05,2026-09-19T13:30Z
Bundesliga,Germania,2026-27,4,2026-09-19,Sabato,15:30,15:30,Eintracht Francoforte,Friburgo,sì,Eintracht Frankfurt,SC Freiburg,2026-09-19T13:30Z
Bundesliga,Germania,2026-27,4,2026-09-19,Sabato,15:30,15:30,Leverkusen,RB Lipsia,sì,Bayer 04 Leverkusen,RB Leipzig,2026-09-19T13:30Z
Bundesliga,Germania,2026-27,4,2026-09-19,Sabato,15:30,15:30,Paderborn,Hoffenheim,sì,SC Paderborn 07,TSG 1899 Hoffenheim,2026-09-19T13:30Z
