campionato,paese,stagione,giornata,data,giorno,ora_italiana,ora_locale,squadra_casa,squadra_trasferta,data_ora_provvisoria,casa_nome_ufficiale,trasferta_nome_ufficiale,kickoff_utc
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Atalanta,Sassuolo,sì,Atalanta BC,US Sassuolo Calcio,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Bologna,Lazio,sì,Bologna FC 1909,SS Lazio,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Frosinone,Juventus,sì,Frosinone Calcio,Juventus FC,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Genoa,Napoli,sì,Genoa CFC,SSC Napoli,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Inter,Monza,sì,FC Internazionale Milano,AC Monza,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Parma,Cagliari,sì,Parma Calcio 1913,Cagliari Calcio,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Roma,Fiorentina,sì,AS Roma,ACF Fiorentina,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Torino,Milan,sì,Torino FC,AC Milan,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Udinese,Como,sì,Udinese Calcio,Como 1907,2026-08-23T16:30Z
Serie A,Italia,2026-27,1,2026-08-23,Domenica,18:30,18:30,Venezia,Lecce,sì,Venezia FC,US Lecce,2026-08-23T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Atalanta,Bologna,sì,Atalanta BC,Bologna FC 1909,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Cagliari,Inter,sì,Cagliari Calcio,FC Internazionale Milano,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Fiorentina,Frosinone,sì,ACF Fiorentina,Frosinone Calcio,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Juventus,Parma,sì,Juventus FC,Parma Calcio 1913,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Lazio,Genoa,sì,SS Lazio,Genoa CFC,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Lecce,Roma,sì,US Lecce,AS Roma,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Milan,Venezia,sì,AC Milan,Venezia FC,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Monza,Udinese,sì,AC Monza,Udinese Calcio,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Napoli,Como,sì,SSC Napoli,Como 1907,2026-08-30T16:30Z
Serie A,Italia,2026-27,2,2026-08-30,Domenica,18:30,18:30,Sassuolo,Torino,sì,US Sassuolo Calcio,Torino FC,2026-08-30T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Bologna,Sassuolo,sì,Bologna FC 1909,US Sassuolo Calcio,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Cagliari,Lecce,sì,Cagliari Calcio,US Lecce,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Fiorentina,Torino,sì,ACF Fiorentina,Torino FC,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Frosinone,Venezia,sì,Frosinone Calcio,Venezia FC,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Genoa,Como,sì,Genoa CFC,Como 1907,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Inter,Napoli,sì,FC Internazionale Milano,SSC Napoli,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Juventus,Milan,sì,Juventus FC,AC Milan,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Parma,Monza,sì,Parma Calcio 1913,AC Monza,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Roma,Atalanta,sì,AS Roma,Atalanta BC,2026-09-06T16:30Z
Serie A,Italia,2026-27,3,2026-09-06,Domenica,18:30,18:30,Udinese,Lazio,sì,Udinese Calcio,SS Lazio,2026-09-06T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Atalanta,Cagliari,sì,Atalanta BC,Cagliari Calcio,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Como,Parma,sì,Como 1907,Parma Calcio 1913,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Genoa,Frosinone,sì,Genoa CFC,Frosinone Calcio,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Inter,Udinese,sì,FC Internazionale Milano,Udinese Calcio,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Lazio,Milan,sì,SS Lazio,AC Milan,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Lecce,Monza,sì,US Lecce,AC Monza,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Napoli,Bologna,sì,SSC Napoli,Bologna FC 1909,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Sassuolo,Juventus,sì,US Sassuolo Calcio,Juventus FC,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Torino,Roma,sì,Torino FC,AS Roma,2026-09-13T16:30Z
Serie A,Italia,2026-27,4,2026-09-13,Domenica,18:30,18:30,Venezia,Fiorentina,sì,Venezia FC,ACF Fiorentina,2026-09-13T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Bologna,Torino,sì,Bologna FC 1909,Torino FC,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Fiorentina,Napoli,sì,ACF Fiorentina,SSC Napoli,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Frosinone,Como,sì,Frosinone Calcio,Como 1907,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Juventus,Atalanta,sì,Juventus FC,Atalanta BC,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Milan,Lecce,sì,AC Milan,US Lecce,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Monza,Sassuolo,sì,AC Monza,US Sassuolo Calcio,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Parma,Genoa,sì,Parma Calcio 1913,Genoa CFC,2026-09-20T16:30Z
Serie A,Italia,2026-27,5,2026-09-20,Domenica,18:30,18:30,Roma,Inter,sì,AS Roma,FC Internazionale Milano,2026-09-20T16:30Z
