giocatori in elenco: 29,530 | gia' fatti: 0 | da fare ora: 29,530
  25/29,530 | 0.41s/giocatore | ok 23 | senza pagina 0 | senza blocco 1
  50/29,530 | 0.34s/giocatore | ok 48 | senza pagina 0 | senza blocco 1
  75/29,530 | 0.31s/giocatore | ok 71 | senza pagina 0 | senza blocco 1
  100/29,530 | 0.28s/giocatore | ok 95 | senza pagina 0 | senza blocco 1
  125/29,530 | 0.26s/giocatore | ok 120 | senza pagina 0 | senza blocco 1
  150/29,530 | 0.25s/giocatore | ok 144 | senza pagina 0 | senza blocco 1
  175/29,530 | 0.25s/giocatore | ok 165 | senza pagina 0 | senza blocco 3
  200/29,530 | 0.24s/giocatore | ok 188 | senza pagina 0 | senza blocco 4
  225/29,530 | 0.24s/giocatore | ok 209 | senza pagina 0 | senza blocco 5
  250/29,530 | 0.26s/giocatore | ok 232 | senza pagina 0 | senza blocco 6
  275/29,530 | 0.33s/giocatore | ok 254 | senza pagina 0 | senza blocco 9
  300/29,530 | 0.40s/giocatore | ok 279 | senza pagina 0 | senza blocco 9
  325/29,530 | 0.46s/giocatore | ok 301 | senza pagina 0 | senza blocco 9
  350/29,530 | 0.50s/giocatore | ok 326 | senza pagina 0 | senza blocco 9
  375/29,530 | 0.55s/giocatore | ok 349 | senza pagina 0 | senza blocco 9
  400/29,530 | 0.60s/giocatore | ok 371 | senza pagina 1 | senza blocco 9
  425/29,530 | 0.63s/giocatore | ok 394 | senza pagina 1 | senza blocco 10
