season,team,date,competition,home_away,opponent
1718,Alaves,2017-08-18,La Liga,A,Leganes
1718,Las Palmas,2017-08-18,La Liga,A,Valencia
1718,Leganes,2017-08-18,La Liga,H,Alaves
1718,Valencia,2017-08-18,La Liga,H,Las Palmas
1718,Ath Madrid,2017-08-19,La Liga,A,Girona
1718,Celta,2017-08-19,La Liga,H,Sociedad
1718,Espanol,2017-08-19,La Liga,A,Sevilla
1718,Girona,2017-08-19,La Liga,H,Ath Madrid
1718,Sevilla,2017-08-19,La Liga,H,Espanol
1718,Sociedad,2017-08-19,La Liga,A,Celta
1718,Ath Bilbao,2017-08-20,La Liga,H,Getafe
1718,Barcelona,2017-08-20,La Liga,H,Betis
1718,Betis,2017-08-20,La Liga,A,Barcelona
1718,Getafe,2017-08-20,La Liga,A,Ath Bilbao
1718,La Coruna,2017-08-20,La Liga,H,Real Madrid
1718,Real Madrid,2017-08-20,La Liga,A,La Coruna
1718,Eibar,2017-08-21,La Liga,A,Malaga
1718,Levante,2017-08-21,La Liga,H,Villarreal
1718,Malaga,2017-08-21,La Liga,H,Eibar
1718,Villarreal,2017-08-21,La Liga,A,Levante
1718,Betis,2017-08-25,La Liga,H,Celta
1718,Celta,2017-08-25,La Liga,A,Betis
1718,Sociedad,2017-08-25,La Liga,H,Villarreal
1718,Villarreal,2017-08-25,La Liga,A,Sociedad
1718,Alaves,2017-08-26,La Liga,H,Barcelona
1718,Ath Madrid,2017-08-26,La Liga,A,Las Palmas
1718,Barcelona,2017-08-26,La Liga,A,Alaves
1718,Girona,2017-08-26,La Liga,H,Malaga
1718,La Coruna,2017-08-26,La Liga,A,Levante
1718,Las Palmas,2017-08-26,La Liga,H,Ath Madrid
1718,Levante,2017-08-26,La Liga,H,La Coruna
1718,Malaga,2017-08-26,La Liga,A,Girona
1718,Ath Bilbao,2017-08-27,La Liga,A,Eibar
1718,Eibar,2017-08-27,La Liga,H,Ath Bilbao
1718,Espanol,2017-08-27,La Liga,H,Leganes
1718,Getafe,2017-08-27,La Liga,H,Sevilla
1718,Leganes,2017-08-27,La Liga,A,Espanol
1718,Real Madrid,2017-08-27,La Liga,H,Valencia
1718,Sevilla,2017-08-27,La Liga,A,Getafe
1718,Valencia,2017-08-27,La Liga,A,Real Madrid
1718,Getafe,2017-09-08,La Liga,A,Leganes
1718,Leganes,2017-09-08,La Liga,H,Getafe
1718,Ath Madrid,2017-09-09,La Liga,A,Valencia
1718,Barcelona,2017-09-09,La Liga,H,Espanol
1718,Eibar,2017-09-09,La Liga,A,Sevilla
1718,Espanol,2017-09-09,La Liga,A,Barcelona
1718,Levante,2017-09-09,La Liga,A,Real Madrid
1718,Real Madrid,2017-09-09,La Liga,H,Levante
1718,Sevilla,2017-09-09,La Liga,H,Eibar
1718,Valencia,2017-09-09,La Liga,H,Ath Madrid
1718,Alaves,2017-09-10,La Liga,A,Celta
1718,Ath Bilbao,2017-09-10,La Liga,H,Girona
1718,Betis,2017-09-10,La Liga,A,Villarreal
1718,Celta,2017-09-10,La Liga,H,Alaves
1718,Girona,2017-09-10,La Liga,A,Ath Bilbao
1718,La Coruna,2017-09-10,La Liga,H,Sociedad
1718,Sociedad,2017-09-10,La Liga,A,La Coruna
1718,Villarreal,2017-09-10,La Liga,H,Betis
1718,Las Palmas,2017-09-11,La Liga,A,Malaga
1718,Malaga,2017-09-11,La Liga,H,Las Palmas
1718,Ath Madrid,2017-09-12,Champions League,A,Roma
1718,Barcelona,2017-09-12,Champions League,H,Juventus
1718,Real Madrid,2017-09-13,Champions League,H,APOEL Nikosia
1718,Sevilla,2017-09-13,Champions League,A,Liverpool
1718,Eibar,2017-09-15,La Liga,H,Leganes
1718,Leganes,2017-09-15,La Liga,A,Eibar
1718,Ath Madrid,2017-09-16,La Liga,H,Malaga
1718,Barcelona,2017-09-16,La Liga,A,Getafe
1718,Betis,2017-09-16,La Liga,H,La Coruna
1718,Getafe,2017-09-16,La Liga,H,Barcelona
1718,La Coruna,2017-09-16,La Liga,A,Betis
1718,Levante,2017-09-16,La Liga,H,Valencia
1718,Malaga,2017-09-16,La Liga,A,Ath Madrid
1718,Valencia,2017-09-16,La Liga,A,Levante
1718,Alaves,2017-09-17,La Liga,H,Villarreal
1718,Ath Bilbao,2017-09-17,La Liga,A,Las Palmas
1718,Girona,2017-09-17,La Liga,H,Sevilla
1718,Las Palmas,2017-09-17,La Liga,H,Ath Bilbao
1718,Real Madrid,2017-09-17,La Liga,A,Sociedad
1718,Sevilla,2017-09-17,La Liga,A,Girona
1718,Sociedad,2017-09-17,La Liga,H,Real Madrid
1718,Villarreal,2017-09-17,La Liga,A,Alaves
1718,Celta,2017-09-18,La Liga,A,Espanol
1718,Espanol,2017-09-18,La Liga,H,Celta
1718,Barcelona,2017-09-19,La Liga,H,Eibar
1718,Eibar,2017-09-19,La Liga,A,Barcelona
1718,Malaga,2017-09-19,La Liga,A,Valencia
1718,Valencia,2017-09-19,La Liga,H,Malaga
1718,Alaves,2017-09-20,La Liga,A,La Coruna
1718,Ath Bilbao,2017-09-20,La Liga,H,Ath Madrid
1718,Ath Madrid,2017-09-20,La Liga,A,Ath Bilbao
1718,Betis,2017-09-20,La Liga,A,Real Madrid
1718,Girona,2017-09-20,La Liga,A,Leganes
1718,La Coruna,2017-09-20,La Liga,H,Alaves
1718,Las Palmas,2017-09-20,La Liga,A,Sevilla
1718,Leganes,2017-09-20,La Liga,H,Girona
1718,Real Madrid,2017-09-20,La Liga,H,Betis
1718,Sevilla,2017-09-20,La Liga,H,Las Palmas
1718,Celta,2017-09-21,La Liga,H,Getafe
1718,Espanol,2017-09-21,La Liga,A,Villarreal
1718,Getafe,2017-09-21,La Liga,A,Celta
1718,Levante,2017-09-21,La Liga,H,Sociedad
1718,Sociedad,2017-09-21,La Liga,A,Levante
1718,Villarreal,2017-09-21,La Liga,H,Espanol
1718,Alaves,2017-09-23,La Liga,H,Real Madrid
1718,Ath Bilbao,2017-09-23,La Liga,A,Malaga
1718,Ath Madrid,2017-09-23,La Liga,H,Sevilla
1718,Barcelona,2017-09-23,La Liga,A,Girona
1718,Girona,2017-09-23,La Liga,H,Barcelona
1718,Malaga,2017-09-23,La Liga,H,Ath Bilbao
1718,Real Madrid,2017-09-23,La Liga,A,Alaves
1718,Sevilla,2017-09-23,La Liga,A,Ath Madrid
1718,Celta,2017-09-24,La Liga,A,Eibar
1718,Eibar,2017-09-24,La Liga,H,Celta
1718,Espanol,2017-09-24,La Liga,H,La Coruna
1718,Getafe,2017-09-24,La Liga,H,Villarreal
1718,La Coruna,2017-09-24,La Liga,A,Espanol
1718,Las Palmas,2017-09-24,La Liga,H,Leganes
1718,Leganes,2017-09-24,La Liga,A,Las Palmas
1718,Sociedad,2017-09-24,La Liga,H,Valencia
1718,Valencia,2017-09-24,La Liga,A,Sociedad
1718,Villarreal,2017-09-24,La Liga,A,Getafe
1718,Betis,2017-09-25,La Liga,H,Levante
1718,Levante,2017-09-25,La Liga,A,Betis
1718,Real Madrid,2017-09-26,Champions League,A,Borussia Dortmund
1718,Sevilla,2017-09-26,Champions League,H,NK Maribor
1718,Ath Madrid,2017-09-27,Champions League,H,Chelsea
1718,Barcelona,2017-09-27,Champions League,A,Sporting CP
1718,Celta,2017-09-29,La Liga,H,Girona
1718,Girona,2017-09-29,La Liga,A,Celta
1718,Alaves,2017-09-30,La Liga,A,Levante
1718,Ath Madrid,2017-09-30,La Liga,A,Leganes
1718,Getafe,2017-09-30,La Liga,A,La Coruna
1718,La Coruna,2017-09-30,La Liga,H,Getafe
1718,Leganes,2017-09-30,La Liga,H,Ath Madrid
1718,Levante,2017-09-30,La Liga,H,Alaves
1718,Malaga,2017-09-30,La Liga,A,Sevilla
1718,Sevilla,2017-09-30,La Liga,H,Malaga
1718,Ath Bilbao,2017-10-01,La Liga,A,Valencia
1718,Barcelona,2017-10-01,La Liga,H,Las Palmas
1718,Betis,2017-10-01,La Liga,A,Sociedad
1718,Eibar,2017-10-01,La Liga,A,Villarreal
1718,Espanol,2017-10-01,La Liga,A,Real Madrid
1718,Las Palmas,2017-10-01,La Liga,A,Barcelona
1718,Real Madrid,2017-10-01,La Liga,H,Espanol
1718,Sociedad,2017-10-01,La Liga,H,Betis
1718,Valencia,2017-10-01,La Liga,H,Ath Bilbao
1718,Villarreal,2017-10-01,La Liga,H,Eibar
1718,Espanol,2017-10-13,La Liga,H,Levante
1718,Levante,2017-10-13,La Liga,A,Espanol
1718,Alaves,2017-10-14,La Liga,H,Sociedad
1718,Ath Bilbao,2017-10-14,La Liga,H,Sevilla
1718,Ath Madrid,2017-10-14,La Liga,H,Barcelona
1718,Barcelona,2017-10-14,La Liga,A,Ath Madrid
1718,Getafe,2017-10-14,La Liga,H,Real Madrid
1718,Real Madrid,2017-10-14,La Liga,A,Getafe
1718,Sevilla,2017-10-14,La Liga,A,Ath Bilbao
1718,Sociedad,2017-10-14,La Liga,A,Alaves
1718,Betis,2017-10-15,La Liga,H,Valencia
1718,Eibar,2017-10-15,La Liga,H,La Coruna
1718,Girona,2017-10-15,La Liga,H,Villarreal
1718,La Coruna,2017-10-15,La Liga,A,Eibar
1718,Leganes,2017-10-15,La Liga,A,Malaga
1718,Malaga,2017-10-15,La Liga,H,Leganes
1718,Valencia,2017-10-15,La Liga,A,Betis
1718,Villarreal,2017-10-15,La Liga,A,Girona
1718,Celta,2017-10-16,La Liga,A,Las Palmas
1718,Las Palmas,2017-10-16,La Liga,H,Celta
1718,Real Madrid,2017-10-17,Champions League,H,Tottenham
1718,Sevilla,2017-10-17,Champions League,A,Spartak Moskva
1718,Ath Madrid,2017-10-18,Champions League,A,Qarabağ FK
1718,Barcelona,2017-10-18,Champions League,H,Olympiakos Piraeus
1718,Alaves,2017-10-21,La Liga,A,Betis
1718,Barcelona,2017-10-21,La Liga,H,Malaga
1718,Betis,2017-10-21,La Liga,H,Alaves
1718,Getafe,2017-10-21,La Liga,A,Levante
1718,Levante,2017-10-21,La Liga,H,Getafe
1718,Malaga,2017-10-21,La Liga,A,Barcelona
1718,Sevilla,2017-10-21,La Liga,A,Valencia
1718,Valencia,2017-10-21,La Liga,H,Sevilla
1718,Ath Bilbao,2017-10-22,La Liga,A,Leganes
1718,Ath Madrid,2017-10-22,La Liga,A,Celta
1718,Celta,2017-10-22,La Liga,H,Ath Madrid
1718,Eibar,2017-10-22,La Liga,A,Real Madrid
1718,Las Palmas,2017-10-22,La Liga,A,Villarreal
1718,Leganes,2017-10-22,La Liga,H,Ath Bilbao
1718,Real Madrid,2017-10-22,La Liga,H,Eibar
1718,Villarreal,2017-10-22,La Liga,H,Las Palmas
1718,Espanol,2017-10-23,La Liga,A,Sociedad
1718,Girona,2017-10-23,La Liga,A,La Coruna
1718,La Coruna,2017-10-23,La Liga,H,Girona
1718,Sociedad,2017-10-23,La Liga,H,Espanol
1718,Alaves,2017-10-28,La Liga,H,Valencia
1718,Ath Bilbao,2017-10-28,La Liga,H,Barcelona
1718,Ath Madrid,2017-10-28,La Liga,H,Villarreal
1718,Barcelona,2017-10-28,La Liga,A,Ath Bilbao
1718,Leganes,2017-10-28,La Liga,A,Sevilla
1718,Sevilla,2017-10-28,La Liga,H,Leganes
1718,Valencia,2017-10-28,La Liga,A,Alaves
1718,Villarreal,2017-10-28,La Liga,A,Ath Madrid
1718,Celta,2017-10-29,La Liga,A,Malaga
1718,Eibar,2017-10-29,La Liga,H,Levante
1718,Getafe,2017-10-29,La Liga,H,Sociedad
1718,Girona,2017-10-29,La Liga,H,Real Madrid
1718,Levante,2017-10-29,La Liga,A,Eibar
1718,Malaga,2017-10-29,La Liga,H,Celta
1718,Real Madrid,2017-10-29,La Liga,A,Girona
1718,Sociedad,2017-10-29,La Liga,A,Getafe
1718,Betis,2017-10-30,La Liga,A,Espanol
1718,Espanol,2017-10-30,La Liga,H,Betis
