Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita,competizione,game_id,player_id
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,6',Ospite,Cartellino Giallo,Bisseck Y.,,xYQFQSOk,Coppa Italia,,441986
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,14',Ospite,Autogol,Marusic A.,0-1,xYQFQSOk,Coppa Italia,,239802
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,16',Ospite,Cartellino Giallo,Bastoni A.,,xYQFQSOk,Coppa Italia,,315853
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,35',Ospite,Gol,Martinez L.,0-2,xYQFQSOk,Coppa Italia,,406625
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,35',Ospite,Assist,Dumfries D.,0-2,xYQFQSOk,Coppa Italia,,321528
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,38',Casa,Cartellino Giallo,Gila M.,,xYQFQSOk,Coppa Italia,,618341
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,46',Casa,Sostituzione - Esce,Patric,,xYQFQSOk,Coppa Italia,,126729
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,46',Casa,Sostituzione - Entra,Rovella N.,,xYQFQSOk,Coppa Italia,,525704
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,66',Casa,Sostituzione - Esce,Isaksen G.,,xYQFQSOk,Coppa Italia,,462823
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,66',Casa,Sostituzione - Entra,Cancellieri M.,,xYQFQSOk,Coppa Italia,,550106
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Esce,Dumfries D.,,xYQFQSOk,Coppa Italia,,321528
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Entra,Luis Henrique,,xYQFQSOk,Coppa Italia,,691316
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Esce,Sucic P.,,xYQFQSOk,Coppa Italia,,668207
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Entra,Mkhitaryan H.,,xYQFQSOk,Coppa Italia,,55735
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Esce,Marusic A.,,xYQFQSOk,Coppa Italia,,239802
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Entra,Lazzari M.,,xYQFQSOk,Coppa Italia,,331401
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Esce,Zaccagni M.,,xYQFQSOk,Coppa Italia,,283735
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Entra,Dia B.,,xYQFQSOk,Coppa Italia,,626913
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Esce,Bastoni A.,,xYQFQSOk,Coppa Italia,,315853
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Entra,Carlos Augusto,,xYQFQSOk,Coppa Italia,,585982
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Esce,Martinez L.,,xYQFQSOk,Coppa Italia,,406625
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Entra,Bonny A.,,xYQFQSOk,Coppa Italia,,827734
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,78',Casa,Sostituzione - Esce,Basic T.,,xYQFQSOk,Coppa Italia,,334835
