competizione,turno,data,squadra,club_id,nome_diretta,player_id,metodo,gruppo,numero,ruolo,id_diretta,game_id
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Segui P.,1394650,nome,Titolare,1.0,Portiere,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Gaya J.,893351,nome,Titolare,19.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Garcia M.,210144,nome,Titolare,4.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Buades M.,893322,nome,Titolare,5.0,Capitano,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Ramos Buades D.,210151,eliminazione,Titolare,3.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Ramon M.,1337142,nome,Titolare,16.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Baleani N.,210155,nome,Titolare,10.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Garcia P.,548615,nome,Titolare,21.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Ramis T.,1476159,nome,Titolare,18.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Ferrer M.,246919,nome,Titolare,9.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Horrach B.,707545,nome,Titolare,6.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Estrany J.,893306,nome,Panchina,8.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Galmes M.,1476162,nome,Panchina,13.0,Portiere,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Giaquinto A.,394767,nome,Panchina,14.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Jhardi L.,1476173,nome,Panchina,2.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Ojeda I.,1476161,nome,Panchina,22.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Oliver P.,710130,nome,Panchina,12.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Salazar Y.,1367746,nome,Panchina,15.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Sampedro I.,1476160,nome,Panchina,23.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Socias J.,1476168,nome,Panchina,11.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Tamarit L.,1317648,nome,Panchina,24.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Constancia,20963,Triay L.,710155,nome,Panchina,20.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Krapyvtsov V.,1169436,nome,Titolare,25.0,Portiere,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Rincon H.,834487,nome,Titolare,2.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Vitor Reis,1005575,nome,Titolare,12.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Salguero A.,1184096,nome,Titolare,31.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Ba P.,1337084,nome,Titolare,44.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Solis Romero J. E.,742521,eliminazione,Titolare,22.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Kourouma L.,974251,nome,Titolare,29.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Portu,99353,nome,Titolare,8.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Asprilla Y.,857818,nome,Titolare,10.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Stuani C.,59323,nome,Titolare,7.0,Capitano,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Ruiz A.,340376,nome,Titolare,9.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Arnau P.,1060647,nome,Panchina,27.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Gazzaniga P.,195488,nome,Panchina,13.0,Portiere,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Gil B.,537382,nome,Panchina,21.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Jordana G.,1319444,nome,Panchina,28.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Lemar T.,205562,nome,Panchina,11.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Martinez A.,826224,nome,Panchina,4.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Martin I.,341278,nome,Panchina,23.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Roca J.,895326,nome,Panchina,3.0,,GllYRg6t,4743315.0
Copa del Rey,1° turno,2025-10-28,Girona,12321,Tsygankov V.,264372,nome,Panchina,15.0,,GllYRg6t,4743315.0
