competizione,paese,turno,data,casa,ospite,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,divisione_casa,divisione_ospite,gia_abbiamo_formazioni
Copa del Rey,ES,First Round,2025-10-28,Atlético Tordesillas,Burgos CF,1,2,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,CD Extremadura 1924,UD Las Palmas,3,1,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,CD Guadalajara,CP Cacereño,2,1,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-28,CD Roda,Granada CF,1,5,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,CD Toledo,Sevilla FC,1,4,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-28,CD Tropezón,Cultural Leonesa,1,3,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,CE Constància,Girona FC,2,3,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-28,CF Inter de Valdemoro,Getafe CF,0,11,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-28,CF Rayo Majadahonda,CF Talavera de la Reina,1,4,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-28,Ourense CF,Real Oviedo,4,2,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-28,RSD Alcalá,CD Tenerife,0,4,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-28,SD Logroñés,Racing Santander,0,4,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,SD Negreira,Real Sociedad,0,3,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-28,UCAM Murcia CF,Cádiz CF,1,3,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,UD Maracena,Valencia CF,0,5,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-28,UD San Fernando,Albacete Balompié,0,3,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-28,UP Langreo,Racing Ferrol,0,0,3.0,4.0,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-28,Utebo FC,SD Huesca,0,3,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,Atlètic Sant Just,RCD Mallorca,0,2,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-29,Atlético Astorga,CD Mirandés,1,1,3.0,4.0,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Azuaga,CD Leganés,1,4,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Cieza,Córdoba CF,1,0,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Ebro,SD Tarazona,1,1,4.0,3.0,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Numancia,Arenas Club,3,0,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Quintanar del Rey,UD Ibiza,1,1,4.0,3.0,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Sant Jordi,CA Osasuna,0,5,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Unión Malacitano,AD Ceuta FC,0,2,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,CD Yuncos,Rayo Vallecano,1,6,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-29,CDA Navalcarnero,Mérida AD,2,1,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,CF Lorca Deportiva,UD Almería,0,2,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,Caudal Deportivo,Sporting Gijón,0,1,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,Ciudad Lucena,Villarreal CF,0,6,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-29,Club Portugalete,Real Valladolid CF,1,0,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,Náxara CD,SD Eibar,2,4,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,Real Jaén CF,CD Eldense,1,3,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,Reus FC Reddis,CE Europa,2,2,4.0,3.0,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,Salerm Puente Genil FC,FC Cartagena,0,1,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,Torrent CF,Juventud Torremolinos CF,3,1,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,UD Los Garres,Elche CF,0,4,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-29,UD Mutilvera,Real Zaragoza,1,3,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-29,UD Ourense,Pontevedra CF,1,1,0.0,3.0,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,UD Poblense,CE Sabadell FC,1,2,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-29,UE Sant Andreu,CD Teruel,2,1,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-30,Atlético Palma del Río CF,Real Betis Balompié,1,7,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-30,CD Atlético Baleares,Gimnàstic de Tarragona,2,0,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-30,CD Estepona FS,Málaga CF,1,3,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-30,CD Getxo,Deportivo Alavés,0,7,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-30,CD Valle de Egüés,FC Andorra,1,5,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-30,CE Atlètic Lleida,RCD Espanyol Barcelona,1,2,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-30,Club Atlético Antoniano,CD Castellón,1,0,,,3.0,2.0,True
Copa del Rey,ES,First Round,2025-10-30,Orihuela CF,Levante UD,3,4,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-30,Puerto de Vega CF,Celta de Vigo,0,2,,,3.0,1.0,True
Copa del Rey,ES,First Round,2025-10-30,Real Murcia CF,Antequera CF,1,1,2.0,1.0,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-30,Real Ávila CF,Real Avilés CF,1,0,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-30,UD Logroñés,SD Ponferradina,1,3,,,3.0,3.0,True
Copa del Rey,ES,First Round,2025-10-30,UD Sámano,Deportivo de La Coruña,1,5,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-02,CD Ebro,CA Osasuna,3,5,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-02,CD Guadalajara,AD Ceuta FC,1,0,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-02,CD Numancia,RCD Mallorca,2,3,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-02,CDA Navalcarnero,Getafe CF,2,3,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-02,Club Portugalete,Deportivo Alavés,0,3,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-02,Racing Ferrol,SD Huesca,0,2,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,CD Cieza,Levante UD,0,1,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-03,CD Eldense,UD Almería,2,1,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,CD Mirandés,Sporting Gijón,0,2,,,2.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,CD Quintanar del Rey,Elche CF,1,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-03,CF Talavera de la Reina,Málaga CF,2,1,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,Club Atlético Antoniano,Villarreal CF,1,1,3.0,5.0,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-03,Cultural Leonesa,FC Andorra,4,2,,,2.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,Ourense CF,Girona FC,2,1,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-03,Pontevedra CF,SD Eibar,0,3,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,Real Murcia CF,Cádiz CF,3,2,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-03,Reus FC Reddis,Real Sociedad,0,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-03,Torrent CF,Real Betis Balompié,1,4,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-04,CD Atlético Baleares,RCD Espanyol Barcelona,1,0,,,3.0,3.0,True
Copa del Rey,ES,Second Round,2025-12-04,CD Extremadura 1924,Sevilla FC,1,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-04,CD Leganés,Albacete Balompié,1,2,,,2.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,CD Tenerife,Granada CF,0,1,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,CE Sabadell FC,Deportivo de La Coruña,0,2,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,FC Cartagena,Valencia CF,1,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-04,Real Zaragoza,Burgos CF,0,1,,,2.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,Real Ávila CF,Rayo Vallecano,1,2,,,3.0,1.0,True
Copa del Rey,ES,Second Round,2025-12-04,SD Ponferradina,Racing Santander,1,2,,,3.0,2.0,True
Copa del Rey,ES,Second Round,2025-12-04,UE Sant Andreu,Celta de Vigo,1,1,6.0,7.0,3.0,1.0,True
