competizione,turno,data,game_id,minuto,tipo,club,club_id,giocatore_id,entrato_id,assist_id,descrizione
DFB-Pokal,First Round,2025-08-18,4623572,21,Cards,SG Dynamo Dresden,129,227078,,,"1. Yellow card  , Foul"
DFB-Pokal,First Round,2025-08-18,4623572,22,Goals,1.FSV Mainz 05,39,232454,,,", Direct free kick, 1. Tournament Goal"
DFB-Pokal,First Round,2025-08-18,4623572,32,Cards,1.FSV Mainz 05,39,118847,,,1. Yellow card
DFB-Pokal,First Round,2025-08-18,4623572,32,Cards,SG Dynamo Dresden,129,532784,,,1. Yellow card
DFB-Pokal,First Round,2025-08-18,4623572,46,Substitutions,1.FSV Mainz 05,39,82350,334207.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,64,Substitutions,1.FSV Mainz 05,39,118847,370683.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,64,Substitutions,SG Dynamo Dresden,129,205544,296372.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,64,Substitutions,1.FSV Mainz 05,39,453870,658116.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,75,Substitutions,1.FSV Mainz 05,39,503160,314398.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,77,Substitutions,SG Dynamo Dresden,129,532784,51069.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,78,Substitutions,SG Dynamo Dresden,129,450253,661711.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,79,Substitutions,1.FSV Mainz 05,39,232454,392710.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,84,Substitutions,SG Dynamo Dresden,129,88033,824940.0,,", Tactical"
DFB-Pokal,First Round,2025-08-18,4623572,90,Cards,1.FSV Mainz 05,39,658116,,,"1. Yellow card  , Foul"
DFB-Pokal,First Round,2025-08-15,4623573,9,Cards,SV Werder Bremen,86,338668,,,"1. Yellow card  , Foul"
DFB-Pokal,First Round,2025-08-15,4623573,21,Substitutions,Arminia Bielefeld,10,284177,749942.0,,", Injury"
DFB-Pokal,First Round,2025-08-15,4623573,43,Cards,SV Werder Bremen,86,156990,,,"1. Yellow card  , Dissent"
