competizione,turno,data,game_id,club_id,giocatore,player_id,ruolo_partita,posizione,numero,capitano,minuti,gol,assist,gialli,rossi
DFB-Pokal,First Round,2025-08-18,4623572,129,Stefan Kutschke,51069,panchina,Centre-Forward,30,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Stefan Bell,82350,titolare,Centre-Back,16,0,45.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Danny da Costa,85906,titolare,Centre-Back,21,0,90.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Vinko Sapina,88033,titolare,Defensive Midfield,5,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Dominik Kohr,118847,titolare,Centre-Back,31,0,64.0,0.0,0.0,1.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Phillipp Mwene,127573,panchina,Left-Back,2,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Robin Zentner,160963,titolare,Goalkeeper,27,0,90.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Silvan Widmer,168989,titolare,Right Midfield,30,1,90.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Jan-Hendrik Marx,169295,panchina,Right-Back,26,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Niklas Hauptmann,205544,titolare,Attacking Midfield,27,1,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Lukas Boeder,227078,titolare,Centre-Back,29,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Nadiem Amiri,232454,titolare,Defensive Midfield,10,0,79.0,1.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Luca Herrmann,296372,panchina,Central Midfield,8,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Lennart Grill,309397,panchina,Goalkeeper,22,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Jae-sung Lee,314398,panchina,Attacking Midfield,7,0,15.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Arnaud Nordin,324811,titolare,Left Midfield,9,0,90.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Claudio Kammerknecht,329360,panchina,Centre-Back,15,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Maxim Leitsch,334207,panchina,Centre-Back,5,0,45.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Andreas Hanche-Olsen,370683,panchina,Centre-Back,25,0,26.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Lars Bünning,379114,titolare,Centre-Back,23,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Sascha Risch,383354,titolare,Left-Back,28,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Lennard Maloney,392710,panchina,Defensive Midfield,15,0,11.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Konrad Faber,406762,titolare,Right-Back,2,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Tim Schreiber,426685,titolare,Goalkeeper,1,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Dominik Kother,450253,titolare,Left Midfield,11,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Anthony Caci,453016,panchina,Right-Back,19,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,129,Jakob Lemmer,453324,titolare,Right Midfield,10,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Benedict Hollerbach,453870,titolare,Centre-Forward,17,0,64.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Lasse Rieß,490609,panchina,Goalkeeper,1,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Paul Nebel,503160,titolare,Attacking Midfield,8,0,75.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,129,Nils Fröling,532784,titolare,Centre-Forward,16,0,,,,,
DFB-Pokal,First Round,2025-08-18,4623572,39,Armindo Sieb,569033,titolare,Centre-Forward,11,0,90.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Kaishu Sano,643574,titolare,Defensive Midfield,6,0,90.0,0.0,0.0,0.0,0.0
DFB-Pokal,First Round,2025-08-18,4623572,39,Ben Bobzien,658116,panchina,Centre-Forward,37,0,,,,,
