competizione,turno,data,casa,ospite,game_id,b_arbitro,b_allenatori,b_undici_titolari,b_minuti_giocati,b_sostituzioni,b_statistiche_individuali,b_statistiche_squadra,incrociabile
Copa del Rey,First Round,2025-10-28,Atlético Tordesillas,Burgos CF,4743266.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-28,CD Extremadura 1924,UD Las Palmas,4743308.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,CD Guadalajara,CP Cacereño,4743313.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-28,CD Roda,Granada CF,4743294.0,True,True,True,True,True,False,False,False
Copa del Rey,First Round,2025-10-28,CD Toledo,Sevilla FC,4743291.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,CD Tropezón,Cultural Leonesa,4743314.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,CE Constància,Girona FC,4743315.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,CF Inter de Valdemoro,Getafe CF,4743304.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,CF Rayo Majadahonda,CF Talavera de la Reina,4743310.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-28,Ourense CF,Real Oviedo,4743264.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,RSD Alcalá,CD Tenerife,4743312.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-28,SD Logroñés,Racing Santander,4743270.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,SD Negreira,Real Sociedad,4743262.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,UCAM Murcia CF,Cádiz CF,4743298.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,UD Maracena,Valencia CF,4743290.0,True,True,True,True,True,False,True,False
Copa del Rey,First Round,2025-10-28,UD San Fernando,Albacete Balompié,4743307.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-28,UP Langreo,Racing Ferrol,4743274.0,True,True,True,False,True,False,True,False
Copa del Rey,First Round,2025-10-28,Utebo FC,SD Huesca,4743282.0,True,True,True,True,True,False,True,False
