competizione,paese,turno,data,casa,ospite,gol_casa_90,gol_ospite_90,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,supplementari,gol_casa_dichiarato,gol_ospite_dichiarato,eventi_incompleti,divisione_casa,divisione_ospite,dentro_perimetro,arbitro,stadio,spettatori,allenatore_casa,allenatore_ospite,modulo_casa,modulo_ospite,game_id,competition_id,home_club_id,away_club_id,fonte,url,sigla_divisione_casa,sigla_divisione_ospite
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,Atlètic Sant Just,,2,0,2,0,,,False,3,0,True,3.0,3.0,False,,,,,,4-4-2,,4732721,CDR,93935,134733,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732721,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,CD Getxo,,0,0,0,0,,,False,0,0,False,3.0,3.0,False,,Fadura,,,,4-2-3-1,,4732720,CDR,29739,76277,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732720,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,CD Sant Jordi,,1,0,1,0,,,False,1,0,False,3.0,3.0,False,,Balear,,,,4-4-2,,4732722,CDR,84296,61989,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732722,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,CF Campanario,CD Yuncos,0,0,0,0,,,False,0,0,False,3.0,3.0,False,,El Ejido,1300.0,,,,4-2-3-1,4732726,CDR,93948,62414,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732726,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,CF Inter de Valdemoro,Universitario FC Las Palmas,1,0,1,0,,,False,1,1,True,3.0,3.0,False,,,,,,4-2-3-1,,4732727,CDR,122524,102261,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732727,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,Manises CF,UD Los Garres,1,0,1,0,,,False,2,0,True,3.0,3.0,False,,,,,,,4-4-2,4732723,CDR,83483,70288,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732723,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,Puerto de Vega CF,,4,0,4,0,,,False,4,0,False,3.0,3.0,False,,El Pardo,,,,4-5-1 flat,,4732719,CDR,134732,77192,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732719,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,,SD Negreira,0,1,0,1,,,False,2,1,True,3.0,3.0,False,,,,,,4-2-4,Starting Line-up: 4-4-2,4732718,CDR,41404,20233,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732718,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,,Atlético Palma del Río CF,0,5,0,5,,,False,0,5,False,3.0,3.0,False,,,,,,4-2-4,Starting Line-up: 4-4-2,4732724,CDR,108867,107473,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732724,,
Copa del Rey,ES,Qualifying Round 1st leg,2025-09-27,,UD Maracena,0,1,0,1,,,False,1,1,True,3.0,3.0,False,,,,,,4-2-4,Starting Line-up: 4-4-2,4732725,CDR,134734,34119,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4732725,,
