league,season,date,home_team,away_team,colonna,valore_prima,valore_dopo,motivo,fonte,stato,decisa_da,data_decisione
bundesliga,2425,2024-12-14,Union Berlin,Bochum,home_goals,0,1,"Risultato del CAMPO invece di quello assegnato a tavolino (regola R1). Partita giocata per intero: interruzione al 92' per >25 minuti dopo il lancio di un accendino sul portiere del Bochum, poi ripresa con ~3' di recupero e conclusa 1-1. Il 2-0 e' una riassegnazione del tribunale sportivo DFB (appello respinto), non un evento di gioco; i mercati si regolano sul risultato al fischio finale.",understat.com/getMatchData/27866 + stampa,applicata,utente,2026-07-24
bundesliga,2425,2024-12-14,Union Berlin,Bochum,away_goals,2,1,Vedi riga precedente (stessa partita).,understat.com/getMatchData/27866 + stampa,applicata,utente,2026-07-24
bundesliga,2425,2024-12-14,Union Berlin,Bochum,result,A,D,Coerenza con i gol del campo (1-1 = pareggio).,derivata dai gol,applicata,utente,2026-07-24
bundesliga,2425,2024-12-14,Union Berlin,Bochum,home_sot,,4,"Tiri in porta ricavabili da Understat (Goal + SavedShot su 22 tiri). NON applicata: la definizione Understat non e' identica a quella football-data della colonna, e mescolare due definizioni in una cella e' peggio di un NaN dichiarato. Registrata perche' il dato esiste, se un giorno si decidesse di usarlo.",understat.com/getMatchData/27866,proposta,-,2026-07-24
bundesliga,2425,2024-12-14,Union Berlin,Bochum,away_sot,,3,Vedi riga precedente (Goal + SavedShot su 13 tiri).,understat.com/getMatchData/27866,proposta,-,2026-07-24
bundesliga,1718,2017-12-02,Leverkusen,Dortmund,odds_over25_open,1.45,,"Linea O/U di apertura con overround 1.2814 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2017-12-02,Leverkusen,Dortmund,odds_under25_open,1.69,,"Linea O/U di apertura con overround 1.2814 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2017-12-02,Hoffenheim,RB Leipzig,odds_over25_open,1.59,,"Linea O/U di apertura con overround 1.2868 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2017-12-02,Hoffenheim,RB Leipzig,odds_under25_open,1.52,,"Linea O/U di apertura con overround 1.2868 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2017-12-09,Ein Frankfurt,Bayern Munich,odds_over25_open,1.56,,"Linea O/U di apertura con overround 1.2862 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2017-12-09,Ein Frankfurt,Bayern Munich,odds_under25_open,1.55,,"Linea O/U di apertura con overround 1.2862 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2018-02-24,Bayern Munich,Hertha,odds_over25_open,1.42,,"Linea O/U di apertura con overround 1.2757 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2018-02-24,Bayern Munich,Hertha,odds_under25_open,1.75,,"Linea O/U di apertura con overround 1.2757 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2018-05-05,Werder Bremen,Leverkusen,odds_over25_open,1.45,,"Linea O/U di apertura con overround 1.2779 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1718,2018-05-05,Werder Bremen,Leverkusen,odds_under25_open,1.7,,"Linea O/U di apertura con overround 1.2779 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1819,2019-03-30,Dortmund,Wolfsburg,odds_over25_open,1.54,,"Linea O/U di apertura con overround 1.339 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
bundesliga,1819,2019-03-30,Dortmund,Wolfsburg,odds_under25_open,1.45,,"Linea O/U di apertura con overround 1.339 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
ligue_1,1718,2017-10-29,Lyon,Metz,odds_over25_open,1.3,,"Linea O/U di apertura con overround 1.2643 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
ligue_1,1718,2017-10-29,Lyon,Metz,odds_under25_open,2.02,,"Linea O/U di apertura con overround 1.2643 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
ligue_1,1718,2018-02-04,Monaco,Lyon,odds_over25_open,1.58,,"Linea O/U di apertura con overround 1.2823 (Betbrain 2017-19): impossibile per una media multi-book, dove il massimo mai osservato su 12.457 righe e' 1.0765. Il confronto con l'1X2 della stessa partita mostra che i due lati non appartengono alla stessa linea. Il mercato si scarta IN BLOCCO (mai un solo lato) e resta NaN dichiarato, come gia' fa il guard della Fase 58 per l'overround < 1. Proposta di guard generale in docs/audit_5_leghe/patch_guard_overround_APPLICATA.md.",audit_anomalie.py (controllo 1) + confronto con 1X2,applicata,utente,2026-07-24
