caso,lega,stagione,data,partita,colonna,valore_attuale,valore_proposto,metodo,errore_atteso,unita_errore,alternativa_stimata,unita_alternativa,errore_alternativa,verdetto,note
A,bundesliga,1819,2019-05-04,Bayern Munich - Hannover,odds_home,"INSERITO (dato reale, Fase 101-bis)",1.03,"dato REALE da fonte esterna (iredchuk/soccer-bookmaker-odds), identificata qui come chiusura media-di-mercato",0.005970320859106,MAE su probabilita' devigata,0.92572,PROBABILITA' devigata (mai una quota: regola data/estimates),0.0160292842530679,"ESEGUITA alla Fase 101-bis: il dato REALE e' stato inserito nello snapshot via data/correzioni_dichiarate.csv + scripts/applica_correzioni.py (R3), e la provenienza da provider secondario e' dichiarata in docs/DATI.md (R2). La cella non e' piu' un buco e non e' una stima.",la stima indipendente cade a -0.00076 di probabilita' dal dato reale: conferma reciproca
A,bundesliga,1819,2019-05-04,Bayern Munich - Hannover,odds_draw,"INSERITO (dato reale, Fase 101-bis)",18.43,"dato REALE da fonte esterna (iredchuk/soccer-bookmaker-odds), identificata qui come chiusura media-di-mercato",0.005970320859106,MAE su probabilita' devigata,0.0536,PROBABILITA' devigata (mai una quota: regola data/estimates),0.0160292842530679,"ESEGUITA alla Fase 101-bis: il dato REALE e' stato inserito nello snapshot via data/correzioni_dichiarate.csv + scripts/applica_correzioni.py (R3), e la provenienza da provider secondario e' dichiarata in docs/DATI.md (R2). La cella non e' piu' un buco e non e' una stima.",la stima indipendente cade a +0.00182 di probabilita' dal dato reale: conferma reciproca
A,bundesliga,1819,2019-05-04,Bayern Munich - Hannover,odds_away,"INSERITO (dato reale, Fase 101-bis)",43.88,"dato REALE da fonte esterna (iredchuk/soccer-bookmaker-odds), identificata qui come chiusura media-di-mercato",0.005970320859106,MAE su probabilita' devigata,0.02068,PROBABILITA' devigata (mai una quota: regola data/estimates),0.0160292842530679,"ESEGUITA alla Fase 101-bis: il dato REALE e' stato inserito nello snapshot via data/correzioni_dichiarate.csv + scripts/applica_correzioni.py (R3), e la provenienza da provider secondario e' dichiarata in docs/DATI.md (R2). La cella non e' piu' un buco e non e' una stima.",la stima indipendente cade a -0.00107 di probabilita' dal dato reale: conferma reciproca
A,la_liga,1718,2017-10-14,Alaves - Sociedad,odds_home,"INSERITO (dato reale, Fase 101-bis)",3.4,"dato REALE da fonte esterna (iredchuk/soccer-bookmaker-odds), identificata qui come chiusura media-di-mercato",0.005970320859106,MAE su probabilita' devigata,0.2763,PROBABILITA' devigata (mai una quota: regola data/estimates),0.0160292842530679,"ESEGUITA alla Fase 101-bis: il dato REALE e' stato inserito nello snapshot via data/correzioni_dichiarate.csv + scripts/applica_correzioni.py (R3), e la provenienza da provider secondario e' dichiarata in docs/DATI.md (R2). La cella non e' piu' un buco e non e' una stima.",la stima indipendente cade a -0.00153 di probabilita' dal dato reale: conferma reciproca
A,la_liga,1718,2017-10-14,Alaves - Sociedad,odds_draw,"INSERITO (dato reale, Fase 101-bis)",3.34,"dato REALE da fonte esterna (iredchuk/soccer-bookmaker-odds), identificata qui come chiusura media-di-mercato",0.005970320859106,MAE su probabilita' devigata,0.2788,PROBABILITA' devigata (mai una quota: regola data/estimates),0.0160292842530679,"ESEGUITA alla Fase 101-bis: il dato REALE e' stato inserito nello snapshot via data/correzioni_dichiarate.csv + scripts/applica_correzioni.py (R3), e la provenienza da provider secondario e' dichiarata in docs/DATI.md (R2). La cella non e' piu' un buco e non e' una stima.",la stima indipendente cade a -0.00402 di probabilita' dal dato reale: conferma reciproca
A,la_liga,1718,2017-10-14,Alaves - Sociedad,odds_away,"INSERITO (dato reale, Fase 101-bis)",2.15,"dato REALE da fonte esterna (iredchuk/soccer-bookmaker-odds), identificata qui come chiusura media-di-mercato",0.005970320859106,MAE su probabilita' devigata,0.4449,PROBABILITA' devigata (mai una quota: regola data/estimates),0.0160292842530679,"ESEGUITA alla Fase 101-bis: il dato REALE e' stato inserito nello snapshot via data/correzioni_dichiarate.csv + scripts/applica_correzioni.py (R3), e la provenienza da provider secondario e' dichiarata in docs/DATI.md (R2). La cella non e' piu' un buco e non e' una stima.",la stima indipendente cade a +0.00555 di probabilita' dal dato reale: conferma reciproca
B,bundesliga,2425,2025-02-09,Holstein Kiel vs Bochum,home_xg,,,"regressione xG ~ tiri in porta + gol + forza (32.216 squadra-partita, 5 leghe)",0.4525257907058587,MAE in gol attesi,1.248,gol attesi,0.4456666843863911,"NON STIMABILE -> resta NaN dichiarato (MAE fuori campione 0,45 gol contro una sd di 0,89: l'errore e' meta' del segnale)","il GBM non batte la retta: il limite e' INFORMATIVO, non del modello. Understat non ha mai acquisito la partita (lista tiri vuota)."
B,bundesliga,2425,2025-02-09,Bochum vs Holstein Kiel,away_xg,,,"regressione xG ~ tiri in porta + gol + forza (32.216 squadra-partita, 5 leghe)",0.4525257907058587,MAE in gol attesi,1.757,gol attesi,0.5134619289534195,"NON STIMABILE -> resta NaN dichiarato (MAE fuori campione 0,45 gol contro una sd di 0,89: l'errore e' meta' del segnale)","il GBM non batte la retta: il limite e' INFORMATIVO, non del modello. Understat non ha mai acquisito la partita (lista tiri vuota)."
C,ligue_1,2526,2026-05-17,Nantes vs Toulouse,home_xg,,,"regressione xG ~ tiri in porta + gol + forza (32.216 squadra-partita, 5 leghe)",0.4525257907058587,MAE in gol attesi,0.674,gol attesi,0.2784664474678486,"NON STIMABILE -> resta NaN dichiarato (MAE fuori campione 0,45 gol contro una sd di 0,89: l'errore e' meta' del segnale)","il GBM non batte la retta: il limite e' INFORMATIVO, non del modello. Understat non ha ancora consolidato la partita: la via giusta e' ri-scaricare, non stimare."
C,ligue_1,2526,2026-05-17,Toulouse vs Nantes,away_xg,,,"regressione xG ~ tiri in porta + gol + forza (32.216 squadra-partita, 5 leghe)",0.4525257907058587,MAE in gol attesi,0.633,gol attesi,0.2784664474678486,"NON STIMABILE -> resta NaN dichiarato (MAE fuori campione 0,45 gol contro una sd di 0,89: l'errore e' meta' del segnale)","il GBM non batte la retta: il limite e' INFORMATIVO, non del modello. Understat non ha ancora consolidato la partita: la via giusta e' ri-scaricare, non stimare."
