league,season,date,home_team,away_team,p_over25_close_est
serie_a,1718,2017-08-19,Juventus,Cagliari,0.6591
serie_a,1718,2017-08-19,Verona,Napoli,0.6056
serie_a,1718,2017-08-20,Atalanta,Roma,0.5244
serie_a,1718,2017-08-20,Bologna,Torino,0.4721
serie_a,1718,2017-08-20,Crotone,Milan,0.5328
serie_a,1718,2017-08-20,Inter,Fiorentina,0.5529
serie_a,1718,2017-08-20,Lazio,Spal,0.6167
serie_a,1718,2017-08-20,Sampdoria,Benevento,0.5151
serie_a,1718,2017-08-20,Sassuolo,Genoa,0.4964
serie_a,1718,2017-08-20,Udinese,Chievo,0.4293
serie_a,1718,2017-08-26,Benevento,Bologna,0.4628
serie_a,1718,2017-08-26,Genoa,Juventus,0.527
serie_a,1718,2017-08-26,Roma,Inter,0.5741
serie_a,1718,2017-08-27,Chievo,Lazio,0.4965
serie_a,1718,2017-08-27,Crotone,Verona,0.4486
serie_a,1718,2017-08-27,Fiorentina,Sampdoria,0.6109
serie_a,1718,2017-08-27,Milan,Cagliari,0.6013
serie_a,1718,2017-08-27,Napoli,Atalanta,0.6326
serie_a,1718,2017-08-27,Spal,Udinese,0.4732
serie_a,1718,2017-08-27,Torino,Sassuolo,0.5976
serie_a,1718,2017-09-09,Juventus,Chievo,0.5796
serie_a,1718,2017-09-10,Atalanta,Sassuolo,0.5055
serie_a,1718,2017-09-10,Benevento,Torino,0.5272
serie_a,1718,2017-09-10,Bologna,Napoli,0.6151
serie_a,1718,2017-09-10,Cagliari,Crotone,0.5462
serie_a,1718,2017-09-10,Inter,Spal,0.6186
serie_a,1718,2017-09-10,Lazio,Milan,0.5586
serie_a,1718,2017-09-10,Udinese,Genoa,0.4675
serie_a,1718,2017-09-10,Verona,Fiorentina,0.53
serie_a,1718,2017-09-16,Crotone,Inter,0.5518
serie_a,1718,2017-09-16,Fiorentina,Bologna,0.5804
serie_a,1718,2017-09-16,Roma,Verona,0.6451
serie_a,1718,2017-09-17,Chievo,Atalanta,0.4482
serie_a,1718,2017-09-17,Genoa,Lazio,0.5301
serie_a,1718,2017-09-17,Milan,Udinese,0.5176
serie_a,1718,2017-09-17,Napoli,Benevento,0.7219
serie_a,1718,2017-09-17,Sassuolo,Juventus,0.4546
serie_a,1718,2017-09-17,Spal,Cagliari,0.4722
serie_a,1718,2017-09-17,Torino,Sampdoria,0.6337
serie_a,1718,2017-09-19,Bologna,Inter,0.5162
serie_a,1718,2017-09-20,Atalanta,Crotone,0.5269
serie_a,1718,2017-09-20,Benevento,Roma,0.6536
serie_a,1718,2017-09-20,Cagliari,Sassuolo,0.5348
serie_a,1718,2017-09-20,Genoa,Chievo,0.4276
serie_a,1718,2017-09-20,Juventus,Fiorentina,0.5731
serie_a,1718,2017-09-20,Lazio,Napoli,0.5933
serie_a,1718,2017-09-20,Milan,Spal,0.6289
serie_a,1718,2017-09-20,Udinese,Torino,0.623
serie_a,1718,2017-09-20,Verona,Sampdoria,0.5177
serie_a,1718,2017-09-23,Juventus,Torino,0.5364
serie_a,1718,2017-09-23,Roma,Udinese,0.6666
serie_a,1718,2017-09-23,Spal,Napoli,0.6593
serie_a,1718,2017-09-24,Cagliari,Chievo,0.4356
serie_a,1718,2017-09-24,Crotone,Benevento,0.422
serie_a,1718,2017-09-24,Fiorentina,Atalanta,0.5382
serie_a,1718,2017-09-24,Inter,Genoa,0.5766
serie_a,1718,2017-09-24,Sampdoria,Milan,0.5649
serie_a,1718,2017-09-24,Sassuolo,Bologna,0.4443
serie_a,1718,2017-09-24,Verona,Lazio,0.5663
serie_a,1718,2017-09-30,Genoa,Bologna,0.4178
serie_a,1718,2017-09-30,Udinese,Sampdoria,0.5221
serie_a,1718,2017-10-01,Atalanta,Juventus,0.4417
serie_a,1718,2017-10-01,Benevento,Inter,0.6026
serie_a,1718,2017-10-01,Chievo,Fiorentina,0.4914
serie_a,1718,2017-10-01,Lazio,Sassuolo,0.5638
serie_a,1718,2017-10-01,Milan,Roma,0.5751
serie_a,1718,2017-10-01,Napoli,Cagliari,0.7589
serie_a,1718,2017-10-01,Spal,Crotone,0.4229
serie_a,1718,2017-10-01,Torino,Verona,0.6403
serie_a,1718,2017-10-14,Juventus,Lazio,0.5036
serie_a,1718,2017-10-14,Roma,Napoli,0.6341
serie_a,1718,2017-10-15,Bologna,Spal,0.4014
serie_a,1718,2017-10-15,Cagliari,Genoa,0.4521
serie_a,1718,2017-10-15,Crotone,Torino,0.4812
serie_a,1718,2017-10-15,Fiorentina,Udinese,0.5795
serie_a,1718,2017-10-15,Inter,Milan,0.4763
serie_a,1718,2017-10-15,Sampdoria,Atalanta,0.5041
serie_a,1718,2017-10-15,Sassuolo,Chievo,0.4254
serie_a,1718,2017-10-16,Verona,Benevento,0.4972
serie_a,1718,2017-10-21,Napoli,Inter,0.6356
serie_a,1718,2017-10-21,Sampdoria,Crotone,0.5201
serie_a,1718,2017-10-22,Atalanta,Bologna,0.4727
serie_a,1718,2017-10-22,Benevento,Fiorentina,0.6264
serie_a,1718,2017-10-22,Chievo,Verona,0.4573
serie_a,1718,2017-10-22,Lazio,Cagliari,0.6935
serie_a,1718,2017-10-22,Milan,Genoa,0.5189
serie_a,1718,2017-10-22,Spal,Sassuolo,0.5219
serie_a,1718,2017-10-22,Torino,Roma,0.6219
serie_a,1718,2017-10-22,Udinese,Juventus,0.5347
serie_a,1718,2017-10-24,Inter,Sampdoria,0.5897
serie_a,1718,2017-10-25,Atalanta,Verona,0.5967
serie_a,1718,2017-10-25,Bologna,Lazio,0.5226
serie_a,1718,2017-10-25,Cagliari,Benevento,0.5263
serie_a,1718,2017-10-25,Chievo,Milan,0.4713
serie_a,1718,2017-10-25,Fiorentina,Torino,0.6168
serie_a,1718,2017-10-25,Genoa,Napoli,0.6121
serie_a,1718,2017-10-25,Juventus,Spal,0.577
serie_a,1718,2017-10-25,Roma,Crotone,0.6508
serie_a,1718,2017-10-25,Sassuolo,Udinese,0.5221
serie_a,1718,2017-10-28,Milan,Juventus,0.5014
serie_a,1718,2017-10-28,Roma,Bologna,0.5984
serie_a,1718,2017-10-29,Benevento,Lazio,0.6909
serie_a,1718,2017-10-29,Crotone,Fiorentina,0.5549
serie_a,1718,2017-10-29,Napoli,Sassuolo,0.7051
serie_a,1718,2017-10-29,Sampdoria,Chievo,0.4906
serie_a,1718,2017-10-29,Spal,Genoa,0.4446
serie_a,1718,2017-10-29,Torino,Cagliari,0.5897
serie_a,1718,2017-10-29,Udinese,Atalanta,0.4945
serie_a,1718,2017-10-30,Verona,Inter,0.5901
serie_a,1718,2017-11-04,Bologna,Crotone,0.4307
serie_a,1718,2017-11-04,Genoa,Sampdoria,0.4883
serie_a,1718,2017-11-05,Atalanta,Spal,0.536
serie_a,1718,2017-11-05,Cagliari,Verona,0.534
serie_a,1718,2017-11-05,Chievo,Napoli,0.616
serie_a,1718,2017-11-05,Fiorentina,Roma,0.607
serie_a,1718,2017-11-05,Inter,Torino,0.5833
serie_a,1718,2017-11-05,Juventus,Benevento,0.6752
serie_a,1718,2017-11-05,Sassuolo,Milan,0.526
serie_a,1718,2017-11-18,Napoli,Milan,0.6128
serie_a,1718,2017-11-18,Roma,Lazio,0.6238
serie_a,1718,2017-11-19,Benevento,Sassuolo,0.5081
serie_a,1718,2017-11-19,Crotone,Genoa,0.4057
serie_a,1718,2017-11-19,Inter,Atalanta,0.5003
serie_a,1718,2017-11-19,Sampdoria,Juventus,0.5003
serie_a,1718,2017-11-19,Spal,Fiorentina,0.525
serie_a,1718,2017-11-19,Torino,Chievo,0.5516
serie_a,1718,2017-11-19,Udinese,Cagliari,0.5418
serie_a,1718,2017-11-20,Verona,Bologna,0.4389
serie_a,1718,2017-11-25,Bologna,Sampdoria,0.4756
serie_a,1718,2017-11-25,Cagliari,Inter,0.5602
serie_a,1718,2017-11-25,Chievo,Spal,0.4596
serie_a,1718,2017-11-25,Sassuolo,Verona,0.5434
serie_a,1718,2017-11-26,Genoa,Roma,0.5362
serie_a,1718,2017-11-26,Juventus,Crotone,0.5434
serie_a,1718,2017-11-26,Lazio,Fiorentina,0.5622
serie_a,1718,2017-11-26,Milan,Torino,0.5407
serie_a,1718,2017-11-26,Udinese,Napoli,0.6103
serie_a,1718,2017-11-27,Atalanta,Benevento,0.6163
serie_a,1718,2017-12-01,Napoli,Juventus,0.4225
serie_a,1718,2017-12-01,Roma,Spal,0.5579
serie_a,1718,2017-12-02,Torino,Atalanta,0.5461
serie_a,1718,2017-12-03,Benevento,Milan,0.5879
serie_a,1718,2017-12-03,Bologna,Cagliari,0.4469
serie_a,1718,2017-12-03,Fiorentina,Sassuolo,0.5699
serie_a,1718,2017-12-03,Inter,Chievo,0.5366
serie_a,1718,2017-12-03,Sampdoria,Lazio,0.6123
serie_a,1718,2017-12-04,Crotone,Udinese,0.4842
serie_a,1718,2017-12-04,Verona,Genoa,0.5045
serie_a,1718,2017-12-09,Cagliari,Sampdoria,0.5503
serie_a,1718,2017-12-09,Juventus,Inter,0.4566
serie_a,1718,2017-12-10,Chievo,Roma,0.5348
serie_a,1718,2017-12-10,Milan,Bologna,0.5045
serie_a,1718,2017-12-10,Napoli,Fiorentina,0.5929
serie_a,1718,2017-12-10,Sassuolo,Crotone,0.4989
serie_a,1718,2017-12-10,Spal,Verona,0.4698
serie_a,1718,2017-12-10,Udinese,Benevento,0.5322
serie_a,1718,2017-12-11,Lazio,Torino,0.6306
serie_a,1718,2017-12-12,Genoa,Atalanta,0.4637
serie_a,1718,2017-12-16,Inter,Udinese,0.5707
serie_a,1718,2017-12-16,Roma,Cagliari,0.6384
serie_a,1718,2017-12-16,Torino,Napoli,0.5325
serie_a,1718,2017-12-17,Atalanta,Lazio,0.5078
serie_a,1718,2017-12-17,Benevento,Spal,0.4598
serie_a,1718,2017-12-17,Bologna,Juventus,0.4568
serie_a,1718,2017-12-17,Crotone,Chievo,0.3742
serie_a,1718,2017-12-17,Fiorentina,Genoa,0.4779
serie_a,1718,2017-12-17,Sampdoria,Sassuolo,0.5547
serie_a,1718,2017-12-17,Verona,Milan,0.5457
serie_a,1718,2017-12-22,Cagliari,Fiorentina,0.499
serie_a,1718,2017-12-22,Chievo,Bologna,0.4273
serie_a,1718,2017-12-23,Genoa,Benevento,0.5313
serie_a,1718,2017-12-23,Juventus,Roma,0.5024
serie_a,1718,2017-12-23,Lazio,Crotone,0.602
serie_a,1718,2017-12-23,Milan,Atalanta,0.4958
serie_a,1718,2017-12-23,Napoli,Sampdoria,0.6903
serie_a,1718,2017-12-23,Sassuolo,Inter,0.5214
serie_a,1718,2017-12-23,Spal,Torino,0.4844
serie_a,1718,2017-12-23,Udinese,Verona,0.5319
serie_a,1718,2017-12-29,Crotone,Napoli,0.6397
serie_a,1718,2017-12-30,Atalanta,Cagliari,0.5496
serie_a,1718,2017-12-30,Benevento,Chievo,0.4721
serie_a,1718,2017-12-30,Bologna,Udinese,0.4483
serie_a,1718,2017-12-30,Fiorentina,Milan,0.4833
serie_a,1718,2017-12-30,Inter,Lazio,0.551
serie_a,1718,2017-12-30,Roma,Sassuolo,0.6741
serie_a,1718,2017-12-30,Sampdoria,Spal,0.4896
serie_a,1718,2017-12-30,Torino,Genoa,0.4364
serie_a,1718,2017-12-30,Verona,Juventus,0.6153
serie_a,1718,2018-01-05,Chievo,Udinese,0.452
serie_a,1718,2018-01-05,Fiorentina,Inter,0.4504
serie_a,1718,2018-01-06,Benevento,Sampdoria,0.5391
serie_a,1718,2018-01-06,Cagliari,Juventus,0.5577
serie_a,1718,2018-01-06,Genoa,Sassuolo,0.4088
serie_a,1718,2018-01-06,Milan,Crotone,0.5979
serie_a,1718,2018-01-06,Napoli,Verona,0.7193
serie_a,1718,2018-01-06,Roma,Atalanta,0.4951
serie_a,1718,2018-01-06,Spal,Lazio,0.4789
serie_a,1718,2018-01-06,Torino,Bologna,0.479
serie_a,1718,2018-01-21,Atalanta,Napoli,0.4842
serie_a,1718,2018-01-21,Bologna,Benevento,0.4904
serie_a,1718,2018-01-21,Cagliari,Milan,0.4789
serie_a,1718,2018-01-21,Inter,Roma,0.5684
serie_a,1718,2018-01-21,Lazio,Chievo,0.6288
serie_a,1718,2018-01-21,Sampdoria,Fiorentina,0.4923
serie_a,1718,2018-01-21,Sassuolo,Torino,0.4855
serie_a,1718,2018-01-21,Udinese,Spal,0.5193
serie_a,1718,2018-01-21,Verona,Crotone,0.4502
serie_a,1718,2018-01-22,Juventus,Genoa,0.4525
serie_a,1718,2018-01-24,Lazio,Udinese,0.5028
serie_a,1718,2018-01-24,Sampdoria,Roma,0.5778
serie_a,1718,2018-01-27,Chievo,Juventus,0.4781
serie_a,1718,2018-01-27,Sassuolo,Atalanta,0.4695
serie_a,1718,2018-01-28,Crotone,Cagliari,0.3582
serie_a,1718,2018-01-28,Fiorentina,Verona,0.5856
serie_a,1718,2018-01-28,Genoa,Udinese,0.423
serie_a,1718,2018-01-28,Milan,Lazio,0.5077
serie_a,1718,2018-01-28,Napoli,Bologna,0.6288
serie_a,1718,2018-01-28,Roma,Sampdoria,0.602
serie_a,1718,2018-01-28,Spal,Inter,0.4797
serie_a,1718,2018-01-28,Torino,Benevento,0.5963
serie_a,1718,2018-02-03,Inter,Crotone,0.5028
serie_a,1718,2018-02-03,Sampdoria,Torino,0.5697
serie_a,1718,2018-02-04,Atalanta,Chievo,0.5031
serie_a,1718,2018-02-04,Benevento,Napoli,0.6641
serie_a,1718,2018-02-04,Bologna,Fiorentina,0.4619
serie_a,1718,2018-02-04,Cagliari,Spal,0.4775
serie_a,1718,2018-02-04,Juventus,Sassuolo,0.5841
serie_a,1718,2018-02-04,Udinese,Milan,0.4757
serie_a,1718,2018-02-04,Verona,Roma,0.5729
serie_a,1718,2018-02-05,Lazio,Genoa,0.5281
serie_a,1718,2018-02-09,Fiorentina,Juventus,0.4082
serie_a,1718,2018-02-10,Crotone,Atalanta,0.468
serie_a,1718,2018-02-10,Napoli,Lazio,0.4956
serie_a,1718,2018-02-10,Spal,Milan,0.4249
serie_a,1718,2018-02-11,Chievo,Genoa,0.3812
serie_a,1718,2018-02-11,Inter,Bologna,0.4782
serie_a,1718,2018-02-11,Roma,Benevento,0.6319
serie_a,1718,2018-02-11,Sampdoria,Verona,0.5851
serie_a,1718,2018-02-11,Sassuolo,Cagliari,0.4716
serie_a,1718,2018-02-11,Torino,Udinese,0.5062
serie_a,1718,2018-02-17,Chievo,Cagliari,0.3517
serie_a,1718,2018-02-17,Genoa,Inter,0.4137
serie_a,1718,2018-02-17,Udinese,Roma,0.5258
serie_a,1718,2018-02-18,Atalanta,Fiorentina,0.4745
serie_a,1718,2018-02-18,Benevento,Crotone,0.4582
serie_a,1718,2018-02-18,Bologna,Sassuolo,0.4449
serie_a,1718,2018-02-18,Milan,Sampdoria,0.5516
serie_a,1718,2018-02-18,Napoli,Spal,0.6348
serie_a,1718,2018-02-18,Torino,Juventus,0.4409
serie_a,1718,2018-02-19,Lazio,Verona,0.6681
serie_a,1718,2018-02-24,Bologna,Genoa,0.3387
serie_a,1718,2018-02-24,Inter,Benevento,0.5885
serie_a,1718,2018-02-25,Crotone,Spal,0.3792
serie_a,1718,2018-02-25,Fiorentina,Chievo,0.587
serie_a,1718,2018-02-25,Roma,Milan,0.4962
serie_a,1718,2018-02-25,Sampdoria,Udinese,0.5026
serie_a,1718,2018-02-25,Sassuolo,Lazio,0.5161
serie_a,1718,2018-02-25,Verona,Torino,0.5664
serie_a,1718,2018-02-26,Cagliari,Napoli,0.5104
serie_a,1718,2018-03-03,Lazio,Juventus,0.4403
serie_a,1718,2018-03-03,Napoli,Roma,0.5192
serie_a,1718,2018-03-03,Spal,Bologna,0.4055
serie_a,1718,2018-03-09,Roma,Torino,0.5807
serie_a,1718,2018-03-10,Verona,Chievo,0.4519
serie_a,1718,2018-03-11,Bologna,Atalanta,0.4738
serie_a,1718,2018-03-11,Cagliari,Lazio,0.5604
serie_a,1718,2018-03-11,Crotone,Sampdoria,0.4914
serie_a,1718,2018-03-11,Fiorentina,Benevento,0.5589
serie_a,1718,2018-03-11,Genoa,Milan,0.4301
serie_a,1718,2018-03-11,Inter,Napoli,0.499
serie_a,1718,2018-03-11,Juventus,Udinese,0.4958
serie_a,1718,2018-03-11,Sassuolo,Spal,0.4409
serie_a,1718,2018-03-14,Juventus,Atalanta,0.4151
serie_a,1718,2018-03-17,Spal,Juventus,0.4481
serie_a,1718,2018-03-17,Udinese,Sassuolo,0.4424
serie_a,1718,2018-03-18,Benevento,Cagliari,0.4802
serie_a,1718,2018-03-18,Crotone,Roma,0.5074
serie_a,1718,2018-03-18,Lazio,Bologna,0.5892
serie_a,1718,2018-03-18,Milan,Chievo,0.4643
serie_a,1718,2018-03-18,Napoli,Genoa,0.5094
serie_a,1718,2018-03-18,Sampdoria,Inter,0.5315
serie_a,1718,2018-03-18,Torino,Fiorentina,0.4763
serie_a,1718,2018-03-18,Verona,Atalanta,0.5585
serie_a,1718,2018-03-31,Atalanta,Udinese,0.5202
serie_a,1718,2018-03-31,Bologna,Roma,0.5932
serie_a,1718,2018-03-31,Cagliari,Torino,0.4904
serie_a,1718,2018-03-31,Chievo,Sampdoria,0.4843
serie_a,1718,2018-03-31,Fiorentina,Crotone,0.4967
serie_a,1718,2018-03-31,Genoa,Spal,0.3815
serie_a,1718,2018-03-31,Inter,Verona,0.688
serie_a,1718,2018-03-31,Juventus,Milan,0.4119
serie_a,1718,2018-03-31,Lazio,Benevento,0.6495
serie_a,1718,2018-03-31,Sassuolo,Napoli,0.4925
serie_a,1718,2018-04-03,Atalanta,Sampdoria,0.6242
serie_a,1718,2018-04-03,Genoa,Cagliari,0.4006
serie_a,1718,2018-04-03,Udinese,Fiorentina,0.4272
serie_a,1718,2018-04-04,Benevento,Verona,0.5698
serie_a,1718,2018-04-04,Chievo,Sassuolo,0.3903
serie_a,1718,2018-04-04,Milan,Inter,0.4752
serie_a,1718,2018-04-04,Torino,Crotone,0.4985
serie_a,1718,2018-04-07,Benevento,Juventus,0.5078
serie_a,1718,2018-04-07,Roma,Fiorentina,0.5192
serie_a,1718,2018-04-07,Sampdoria,Genoa,0.4746
serie_a,1718,2018-04-07,Spal,Atalanta,0.486
serie_a,1718,2018-04-08,Crotone,Bologna,0.4356
serie_a,1718,2018-04-08,Milan,Sassuolo,0.5177
serie_a,1718,2018-04-08,Napoli,Chievo,0.6086
serie_a,1718,2018-04-08,Torino,Inter,0.5369
serie_a,1718,2018-04-08,Udinese,Lazio,0.5792
serie_a,1718,2018-04-08,Verona,Cagliari,0.4784
serie_a,1718,2018-04-14,Atalanta,Inter,0.4659
serie_a,1718,2018-04-14,Cagliari,Udinese,0.4365
serie_a,1718,2018-04-14,Chievo,Torino,0.4666
serie_a,1718,2018-04-14,Genoa,Crotone,0.4129
serie_a,1718,2018-04-15,Bologna,Verona,0.5054
serie_a,1718,2018-04-15,Fiorentina,Spal,0.4655
serie_a,1718,2018-04-15,Juventus,Sampdoria,0.4939
serie_a,1718,2018-04-15,Lazio,Roma,0.5332
serie_a,1718,2018-04-15,Milan,Napoli,0.4824
serie_a,1718,2018-04-15,Sassuolo,Benevento,0.5642
serie_a,1718,2018-04-17,Inter,Cagliari,0.5873
serie_a,1718,2018-04-18,Benevento,Atalanta,0.5956
serie_a,1718,2018-04-18,Crotone,Juventus,0.4127
serie_a,1718,2018-04-18,Fiorentina,Lazio,0.532
serie_a,1718,2018-04-18,Napoli,Udinese,0.6137
serie_a,1718,2018-04-18,Roma,Genoa,0.5443
serie_a,1718,2018-04-18,Sampdoria,Bologna,0.5169
serie_a,1718,2018-04-18,Spal,Chievo,0.3817
serie_a,1718,2018-04-18,Torino,Milan,0.4747
serie_a,1718,2018-04-18,Verona,Sassuolo,0.5086
serie_a,1718,2018-04-21,Milan,Benevento,0.6712
serie_a,1718,2018-04-21,Sassuolo,Fiorentina,0.4507
serie_a,1718,2018-04-21,Spal,Roma,0.4405
serie_a,1718,2018-04-22,Atalanta,Torino,0.5338
serie_a,1718,2018-04-22,Cagliari,Bologna,0.4236
serie_a,1718,2018-04-22,Chievo,Inter,0.4788
serie_a,1718,2018-04-22,Juventus,Napoli,0.4504
serie_a,1718,2018-04-22,Lazio,Sampdoria,0.6658
serie_a,1718,2018-04-22,Udinese,Crotone,0.4283
serie_a,1718,2018-04-23,Genoa,Verona,0.5296
serie_a,1718,2018-04-28,Inter,Juventus,0.4062
serie_a,1718,2018-04-28,Roma,Chievo,0.5757
serie_a,1718,2018-04-29,Atalanta,Genoa,0.5175
serie_a,1718,2018-04-29,Benevento,Udinese,0.4773
serie_a,1718,2018-04-29,Bologna,Milan,0.4746
serie_a,1718,2018-04-29,Crotone,Sassuolo,0.4059
serie_a,1718,2018-04-29,Fiorentina,Napoli,0.5475
serie_a,1718,2018-04-29,Sampdoria,Cagliari,0.4966
serie_a,1718,2018-04-29,Torino,Lazio,0.5732
serie_a,1718,2018-04-29,Verona,Spal,0.3994
serie_a,1718,2018-05-05,Juventus,Bologna,0.6121
serie_a,1718,2018-05-05,Milan,Verona,0.7457
serie_a,1718,2018-05-06,Cagliari,Roma,0.6151
serie_a,1718,2018-05-06,Chievo,Crotone,0.4389
serie_a,1718,2018-05-06,Genoa,Fiorentina,0.4724
serie_a,1718,2018-05-06,Lazio,Atalanta,0.5472
serie_a,1718,2018-05-06,Napoli,Torino,0.7055
serie_a,1718,2018-05-06,Sassuolo,Sampdoria,0.5163
serie_a,1718,2018-05-06,Spal,Benevento,0.5843
serie_a,1718,2018-05-06,Udinese,Inter,0.5377
serie_a,1718,2018-05-12,Benevento,Genoa,0.5749
serie_a,1718,2018-05-12,Inter,Sassuolo,0.6873
serie_a,1718,2018-05-13,Atalanta,Milan,0.3848
serie_a,1718,2018-05-13,Bologna,Chievo,0.4505
serie_a,1718,2018-05-13,Crotone,Lazio,0.5478
serie_a,1718,2018-05-13,Fiorentina,Cagliari,0.5593
serie_a,1718,2018-05-13,Roma,Juventus,0.4868
serie_a,1718,2018-05-13,Sampdoria,Napoli,0.6788
serie_a,1718,2018-05-13,Torino,Spal,0.5364
serie_a,1718,2018-05-13,Verona,Udinese,0.6284
serie_a,1718,2018-05-19,Juventus,Verona,0.814
serie_a,1718,2018-05-20,Cagliari,Atalanta,0.5466
serie_a,1718,2018-05-20,Chievo,Benevento,0.6109
serie_a,1718,2018-05-20,Genoa,Torino,0.6386
serie_a,1718,2018-05-20,Lazio,Inter,0.6048
serie_a,1718,2018-05-20,Milan,Fiorentina,0.6314
serie_a,1718,2018-05-20,Napoli,Crotone,0.6537
serie_a,1718,2018-05-20,Sassuolo,Roma,0.6504
serie_a,1718,2018-05-20,Spal,Sampdoria,0.5541
serie_a,1718,2018-05-20,Udinese,Bologna,0.5653
serie_a,1819,2018-08-18,Chievo,Juventus,0.5407
serie_a,1819,2018-08-18,Lazio,Napoli,0.5645
serie_a,1819,2018-08-19,Bologna,Spal,0.4136
serie_a,1819,2018-08-19,Empoli,Cagliari,0.4915
serie_a,1819,2018-08-19,Parma,Udinese,0.4459
serie_a,1819,2018-08-19,Sassuolo,Inter,0.4741
serie_a,1819,2018-08-19,Torino,Roma,0.5455
serie_a,1819,2018-08-20,Atalanta,Frosinone,0.555
serie_a,1819,2018-08-25,Juventus,Lazio,0.5731
serie_a,1819,2018-08-25,Napoli,Milan,0.5509
serie_a,1819,2018-08-26,Cagliari,Sassuolo,0.4559
serie_a,1819,2018-08-26,Fiorentina,Chievo,0.5301
serie_a,1819,2018-08-26,Frosinone,Bologna,0.3561
serie_a,1819,2018-08-26,Genoa,Empoli,0.4667
serie_a,1819,2018-08-26,Inter,Torino,0.4693
serie_a,1819,2018-08-26,Spal,Parma,0.3846
serie_a,1819,2018-08-26,Udinese,Sampdoria,0.5091
serie_a,1819,2018-08-27,Roma,Atalanta,0.4887
serie_a,1819,2018-08-31,Milan,Roma,0.5335
serie_a,1819,2018-09-01,Bologna,Inter,0.3828
serie_a,1819,2018-09-01,Parma,Juventus,0.5961
serie_a,1819,2018-09-02,Atalanta,Cagliari,0.6034
serie_a,1819,2018-09-02,Chievo,Empoli,0.4592
serie_a,1819,2018-09-02,Fiorentina,Udinese,0.5164
serie_a,1819,2018-09-02,Lazio,Frosinone,0.5986
serie_a,1819,2018-09-02,Sampdoria,Napoli,0.5298
serie_a,1819,2018-09-02,Sassuolo,Genoa,0.465
serie_a,1819,2018-09-02,Torino,Spal,0.4398
serie_a,1819,2018-09-15,Frosinone,Sampdoria,0.4211
serie_a,1819,2018-09-15,Inter,Parma,0.5773
serie_a,1819,2018-09-15,Napoli,Fiorentina,0.5462
serie_a,1819,2018-09-16,Cagliari,Milan,0.4529
serie_a,1819,2018-09-16,Empoli,Lazio,0.5524
serie_a,1819,2018-09-16,Genoa,Bologna,0.4048
