league,season,team,squad_value_est,method,expected_median_err_pct
la_liga,1718,Alaves,69100000.0,anchored,17.0
la_liga,1718,Ath Bilbao,161200000.0,anchored,17.0
la_liga,1718,Celta,173600000.0,anchored,17.0
la_liga,1718,Espanol,90900000.0,anchored,17.0
la_liga,1718,Getafe,238400000.0,regression,29.0
la_liga,1718,Levante,117900000.0,regression,29.0
la_liga,1718,Malaga,66400000.0,regression,29.0
la_liga,1819,Eibar,73300000.0,anchored,17.0
la_liga,1819,Getafe,253800000.0,regression,29.0
la_liga,1819,Levante,120100000.0,regression,29.0
la_liga,1819,Sociedad,203100000.0,anchored,17.0
la_liga,1819,Valladolid,47800000.0,anchored,17.0
la_liga,1819,Villarreal,199700000.0,anchored,17.0
la_liga,1920,Getafe,274200000.0,regression,29.0
la_liga,1920,Levante,185600000.0,regression,29.0
la_liga,1920,Osasuna,57700000.0,anchored,17.0
la_liga,1920,Villarreal,391900000.0,regression,29.0
la_liga,2021,Cadiz,76700000.0,regression,29.0
la_liga,2021,Eibar,74500000.0,anchored,17.0
la_liga,2021,Getafe,200900000.0,anchored,17.0
la_liga,2021,Levante,148200000.0,regression,29.0
la_liga,2021,Villarreal,278100000.0,anchored,17.0
la_liga,2122,Cadiz,150000000.0,regression,29.0
la_liga,2122,Levante,152500000.0,regression,29.0
la_liga,2122,Osasuna,119800000.0,anchored,17.0
la_liga,2223,Cadiz,69600000.0,anchored,17.0
la_liga,2223,Villarreal,183900000.0,anchored,17.0
la_liga,2324,Almeria,113100000.0,anchored,17.0
la_liga,2324,Getafe,118700000.0,anchored,17.0
la_liga,2324,Girona,94100000.0,anchored,17.0
la_liga,2324,Villarreal,198100000.0,anchored,17.0
la_liga,2425,Alaves,46700000.0,anchored,17.0
la_liga,2425,Betis,184800000.0,anchored,17.0
la_liga,2425,Girona,157700000.0,anchored,17.0
la_liga,2526,Alaves,127900000.0,regression,29.0
la_liga,2526,Ath Madrid,493500000.0,anchored,17.0
la_liga,2526,Betis,217800000.0,regression,29.0
la_liga,2526,Levante,64800000.0,regression,29.0
la_liga,2526,Oviedo,36000000.0,regression,29.0
la_liga,2526,Real Madrid,1225500000.0,anchored,17.0
premier_league,1920,Aston Villa,136300000.0,anchored,17.0
premier_league,2021,Leeds,256600000.0,regression,29.0
premier_league,2122,Leeds,266400000.0,anchored,17.0
premier_league,2526,Burnley,203400000.0,regression,29.0
serie_a,1718,Chievo,74800000.0,regression,29.0
serie_a,1718,Lazio,199700000.0,regression,29.0
serie_a,1718,Napoli,367200000.0,anchored,17.0
serie_a,1819,Chievo,61700000.0,regression,29.0
serie_a,1819,Inter,316500000.0,anchored,17.0
serie_a,1819,Lazio,184800000.0,regression,29.0
serie_a,1819,Torino,134800000.0,anchored,17.0
serie_a,1920,Atalanta,326200000.0,anchored,17.0
serie_a,1920,Brescia,59300000.0,regression,29.0
serie_a,1920,Lazio,389900000.0,regression,29.0
serie_a,1920,Milan,576500000.0,anchored,17.0
serie_a,2021,Lazio,329800000.0,regression,29.0
serie_a,2021,Milan,453200000.0,regression,29.0
serie_a,2021,Udinese,128200000.0,anchored,17.0
serie_a,2122,Lazio,304600000.0,regression,29.0
serie_a,2122,Milan,624600000.0,regression,29.0
serie_a,2122,Spezia,78700000.0,anchored,17.0
serie_a,2122,Udinese,167100000.0,anchored,17.0
serie_a,2223,Lazio,275000000.0,regression,29.0
serie_a,2223,Milan,350200000.0,anchored,17.0
serie_a,2223,Napoli,383800000.0,anchored,17.0
serie_a,2324,Cagliari,86400000.0,regression,29.0
serie_a,2324,Lazio,271300000.0,regression,29.0
serie_a,2425,Cagliari,154000000.0,regression,29.0
serie_a,2425,Lazio,418100000.0,regression,29.0
serie_a,2425,Lecce,86800000.0,anchored,17.0
serie_a,2526,Cagliari,197600000.0,regression,29.0
serie_a,2526,Lazio,283600000.0,regression,29.0
serie_a,2526,Lecce,158900000.0,regression,29.0
