date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep
2017-08-18,1718,la_liga,Leganes,Alaves,1,0,H,9,3,2.03,3.15,4.17,2.68,1.46,,,,,,1.32428,0.993213,1.32428,6.206896551724138,7.0,0.249935,8.0,4.0
2017-08-18,1718,la_liga,Valencia,Las Palmas,1,0,H,6,4,1.77,3.86,4.46,1.64,2.27,,,,,,1.60532,0.219158,1.60532,9.903225806451612,9.0,0.219158,12.263157894736842,4.0
2017-08-19,1718,la_liga,Celta,Sociedad,2,3,A,5,6,2.39,3.32,3.01,1.98,1.84,,,,,,1.82363,1.97071,1.82363,10.954545454545455,10.0,1.22743,14.88888888888889,3.0
2017-08-19,1718,la_liga,Girona,Ath Madrid,2,2,D,6,3,7.53,4.17,1.48,2.11,1.74,,,,,,2.57496,0.847485,2.57496,9.36,7.0,0.847485,16.375,5.0
2017-08-19,1718,la_liga,Sevilla,Espanol,1,1,D,4,6,1.63,3.93,5.58,1.75,2.09,,,,,,2.52013,1.09286,2.52013,6.666666666666667,10.0,1.09286,15.5,1.0
2017-08-20,1718,la_liga,Ath Bilbao,Getafe,0,0,D,2,2,1.5,4.17,6.94,1.94,1.87,,,,,,1.10938,0.335335,1.10938,4.533333333333333,3.0,0.335335,9.117647058823529,1.0
2017-08-20,1718,la_liga,Barcelona,Betis,2,0,H,2,0,1.19,7.11,13.85,1.4,2.88,,,,,,1.30926,0.150503,1.30926,8.25,9.0,0.150503,17.894736842105264,3.0
2017-08-20,1718,la_liga,La Coruna,Real Madrid,0,3,A,6,8,9.68,5.44,1.31,1.46,2.64,,,,,,1.48262,2.38821,0.739346,13.0,5.0,2.38821,6.541666666666667,19.0
2017-08-21,1718,la_liga,Levante,Villarreal,1,0,H,3,1,3.26,3.17,2.31,2.36,1.58,,,,,,1.27973,0.454109,0.53658,12.25,8.0,0.454109,7.7368421052631575,0.0
2017-08-21,1718,la_liga,Malaga,Eibar,0,1,A,4,6,2.18,3.26,3.43,2.14,1.7,,,,,,0.913442,1.4766,0.913442,9.352941176470589,4.0,1.4766,10.038461538461538,8.0
2017-08-25,1718,la_liga,Betis,Celta,2,1,H,3,2,2.25,3.37,3.25,1.97,1.85,,,,,,1.5432,0.261415,1.5432,10.115384615384615,3.0,0.261415,13.3125,4.0
2017-08-25,1718,la_liga,Sociedad,Villarreal,3,0,H,9,1,2.09,3.37,3.67,2.07,1.76,,,,,,2.80119,0.121682,2.80119,9.31578947368421,11.0,0.121682,9.407407407407407,0.0
2017-08-26,1718,la_liga,Alaves,Barcelona,0,2,A,2,11,10.19,5.56,1.3,1.57,2.38,,,,,,0.635924,2.68718,0.635924,17.72222222222222,3.0,1.9439,7.521739130434782,9.0
2017-08-26,1718,la_liga,Girona,Malaga,1,0,H,4,2,2.16,3.25,3.59,2.2,1.67,,,,,,1.66954,0.325871,1.66954,7.1,3.0,0.325871,7.782608695652174,3.0
2017-08-26,1718,la_liga,Las Palmas,Ath Madrid,1,5,A,4,6,4.76,3.65,1.77,2.09,1.74,,,,,,1.38892,0.510608,0.645647,6.862068965517241,3.0,0.510608,12.148148148148149,6.0
2017-08-26,1718,la_liga,Levante,La Coruna,2,2,D,5,4,2.2,3.2,3.53,2.31,1.61,,,,,,2.40085,0.814208,1.65757,8.125,9.0,0.814208,15.916666666666666,6.0
2017-08-27,1718,la_liga,Eibar,Ath Bilbao,0,1,A,5,4,2.55,3.18,2.9,2.2,1.67,,,,,,1.1133,1.35304,1.1133,5.428571428571429,2.0,1.35304,9.956521739130435,5.0
2017-08-27,1718,la_liga,Espanol,Leganes,0,1,A,2,8,1.96,3.25,4.33,2.49,1.53,,,,,,1.29777,1.22097,1.29777,10.411764705882353,8.0,1.22097,10.875,6.0
2017-08-27,1718,la_liga,Getafe,Sevilla,0,1,A,3,3,3.47,3.42,2.13,1.87,1.93,,,,,,1.47212,1.21647,1.47212,6.666666666666667,11.0,1.21647,8.058823529411764,1.0
2017-08-27,1718,la_liga,Real Madrid,Valencia,2,2,D,6,3,1.17,8.29,14.23,1.22,4.2,,,,,,3.38691,0.90594,3.38691,9.411764705882353,15.0,0.90594,14.666666666666666,4.0
2017-09-08,1718,la_liga,Leganes,Getafe,1,2,A,7,3,2.07,3.2,3.95,2.41,1.56,,,,,,1.55919,0.392931,0.815907,4.296296296296297,5.0,0.392931,6.352941176470588,4.0
2017-09-09,1718,la_liga,Barcelona,Espanol,5,0,H,9,1,1.17,7.74,16.05,1.34,3.19,,,,,,5.54505,0.752988,5.54505,5.0625,23.0,0.752988,15.9,1.0
2017-09-09,1718,la_liga,Real Madrid,Levante,1,1,D,10,2,1.07,12.92,29.97,1.17,4.86,,,,,,3.18354,0.757405,3.18354,6.2727272727272725,12.0,0.757405,14.85,0.0
2017-09-09,1718,la_liga,Sevilla,Eibar,3,0,H,6,2,1.6,4.06,5.64,1.69,2.16,,,,,,2.84122,0.690659,2.84122,8.947368421052632,6.0,0.690659,8.078947368421053,1.0
2017-09-09,1718,la_liga,Valencia,Ath Madrid,0,0,D,0,4,3.45,3.29,2.19,2.11,1.73,,,,,,0.702521,0.638366,0.702521,10.037037037037036,4.0,0.638366,10.35,10.0
2017-09-10,1718,la_liga,Ath Bilbao,Girona,2,0,H,4,7,1.68,3.81,5.18,1.95,1.86,,,,,,1.72422,0.314128,1.72422,8.2,3.0,0.314128,6.65625,1.0
2017-09-10,1718,la_liga,Celta,Alaves,1,0,H,3,3,1.74,3.65,4.94,2.0,1.81,,,,,,2.63491,0.491165,2.63491,4.354838709677419,10.0,0.491165,20.0,3.0
2017-09-10,1718,la_liga,La Coruna,Sociedad,2,4,A,4,4,2.76,3.33,2.58,1.96,1.86,,,,,,1.1079,2.02187,1.1079,6.621621621621622,7.0,2.02187,6.208333333333333,4.0
2017-09-10,1718,la_liga,Villarreal,Betis,3,1,H,7,3,1.88,3.51,4.33,2.02,1.8,,,,,,1.59207,0.816093,1.59207,19.714285714285715,7.0,0.816093,15.88888888888889,0.0
2017-09-11,1718,la_liga,Malaga,Las Palmas,1,3,A,6,8,2.0,3.52,3.7,1.88,1.93,,,,,,0.904978,1.89906,0.904978,6.942857142857143,1.0,1.89906,10.428571428571429,7.0
2017-09-15,1718,la_liga,Eibar,Leganes,1,0,H,4,2,2.09,3.2,3.86,2.42,1.55,,,,,,0.383513,0.236029,0.383513,3.375,0.0,0.236029,5.3076923076923075,2.0
2017-09-16,1718,la_liga,Ath Madrid,Malaga,1,0,H,4,4,1.23,6.11,14.28,1.73,2.1,,,,,,1.54645,0.438352,1.54645,7.2592592592592595,8.0,0.438352,13.653846153846153,2.0
2017-09-16,1718,la_liga,Betis,La Coruna,2,1,H,7,3,1.87,3.57,4.28,1.87,1.93,,,,,,2.73624,0.377717,2.73624,7.636363636363637,6.0,0.377717,8.28,2.0
2017-09-16,1718,la_liga,Getafe,Barcelona,1,2,A,4,5,11.38,6.39,1.24,1.39,2.93,,,,,,0.956195,0.53587,0.956195,16.952380952380953,5.0,0.53587,5.521739130434782,9.0
2017-09-16,1718,la_liga,Levante,Valencia,1,1,D,2,5,3.11,3.27,2.37,2.04,1.78,,,,,,0.939192,1.8854,0.939192,10.08,3.0,1.8854,7.086956521739131,6.0
2017-09-17,1718,la_liga,Alaves,Villarreal,0,3,A,2,6,3.13,3.16,2.41,2.35,1.59,,,,,,0.487809,2.14034,0.487809,11.25,3.0,2.14034,7.580645161290323,9.0
2017-09-17,1718,la_liga,Girona,Sevilla,0,1,A,0,8,3.15,3.37,2.29,1.85,1.96,,,,,,1.90439,1.35514,1.16111,12.074074074074074,6.0,1.35514,6.71875,5.0
2017-09-17,1718,la_liga,Las Palmas,Ath Bilbao,1,0,H,3,5,2.76,3.33,2.56,1.92,1.88,,,,,,0.895334,1.10686,0.895334,8.16,4.0,1.10686,8.151515151515152,8.0
2017-09-17,1718,la_liga,Sociedad,Real Madrid,1,3,A,5,6,4.72,4.18,1.67,1.45,2.7,,,,,,0.375385,2.88229,0.375385,9.615384615384615,3.0,2.88229,11.875,11.0
