season,team,date,competition,home_away,opponent,metodo_nome,pagina
2223,FC Koln,2022-10-27,Conference League,A,Slovácko,canonical_team,2022–23 UEFA Europa Conference League group stage
2526,Mainz,2025-10-02,Conference League,A,Omonia,canonical_team,2025–26 UEFA Conference League league phase
2526,Mainz,2025-10-23,Conference League,H,Zrinjski Mostar,canonical_team,2025–26 UEFA Conference League league phase
2526,Mainz,2025-11-06,Conference League,H,Fiorentina,canonical_team,2025–26 UEFA Conference League league phase
2526,Mainz,2025-11-27,Conference League,A,Universitatea Craiova,canonical_team,2025–26 UEFA Conference League league phase
2526,Mainz,2025-12-11,Conference League,A,Lech Poznań,canonical_team,2025–26 UEFA Conference League league phase
2526,Mainz,2025-12-18,Conference League,H,Samsunspor,canonical_team,2025–26 UEFA Conference League league phase
2526,Mainz,2026-03-12,Conference League,A,Sigma Olomouc,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Mainz,2026-03-19,Conference League,H,Sigma Olomouc,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Mainz,2026-04-09,Conference League,H,Strasbourg,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Mainz,2026-04-16,Conference League,A,Strasbourg,canonical_team,2025–26 UEFA Conference League knockout phase
