season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Holstein Kiel,2017-08-11,DFB-Pokal,H,Eintracht Braunschweig,canonical_team,2017–18 DFB-Pokal
1718,Leverkusen,2017-08-11,DFB-Pokal,A,Karlsruher SC,canonical_team,2017–18 DFB-Pokal
1718,M'gladbach,2017-08-11,DFB-Pokal,A,Rot-Weiss Essen,canonical_team,2017–18 DFB-Pokal
1718,Bayern Munich,2017-08-12,DFB-Pokal,A,Chemnitzer FC,canonical_team,2017–18 DFB-Pokal
1718,Bielefeld,2017-08-12,DFB-Pokal,H,Fortuna Dusseldorf,canonical_team,2017–18 DFB-Pokal
1718,Darmstadt,2017-08-12,DFB-Pokal,A,Jahn Regensburg,proposta,2017–18 DFB-Pokal
1718,Dortmund,2017-08-12,DFB-Pokal,A,1. FC Rielasingen-Arlen,canonical_team,2017–18 DFB-Pokal
1718,Ein Frankfurt,2017-08-12,DFB-Pokal,A,TuS Erndtebrück,canonical_team,2017–18 DFB-Pokal
1718,FC Koln,2017-08-12,DFB-Pokal,A,Leher TS,canonical_team,2017–18 DFB-Pokal
1718,Fortuna Dusseldorf,2017-08-12,DFB-Pokal,A,Bielefeld,canonical_team,2017–18 DFB-Pokal
1718,Freiburg,2017-08-12,DFB-Pokal,A,Germania Halberstadt,canonical_team,2017–18 DFB-Pokal
1718,Heidenheim,2017-08-12,DFB-Pokal,A,SpVgg Unterhaching,proposta,2017–18 DFB-Pokal
1718,Hoffenheim,2017-08-12,DFB-Pokal,A,Rot-Weiß Erfurt,canonical_team,2017–18 DFB-Pokal
1718,Mainz,2017-08-12,DFB-Pokal,A,LSK Hansa,canonical_team,2017–18 DFB-Pokal
1718,Werder Bremen,2017-08-12,DFB-Pokal,A,Würzburger Kickers,canonical_team,2017–18 DFB-Pokal
1718,Augsburg,2017-08-13,DFB-Pokal,A,1. FC Magdeburg,canonical_team,2017–18 DFB-Pokal
1718,Bochum,2017-08-13,DFB-Pokal,A,FC Nöttingen,canonical_team,2017–18 DFB-Pokal
1718,Greuther Furth,2017-08-13,DFB-Pokal,A,SV Morlautern,proposta,2017–18 DFB-Pokal
1718,Hamburg,2017-08-13,DFB-Pokal,A,VfL Osnabrück,canonical_team,2017–18 DFB-Pokal
1718,Hannover,2017-08-13,DFB-Pokal,A,Bonner SC,canonical_team,2017–18 DFB-Pokal
1718,RB Leipzig,2017-08-13,DFB-Pokal,A,Sportfreunde Dorfmerkingen,canonical_team,2017–18 DFB-Pokal
1718,Stuttgart,2017-08-13,DFB-Pokal,A,Energie Cottbus,canonical_team,2017–18 DFB-Pokal
1718,Union Berlin,2017-08-13,DFB-Pokal,A,1. FC Saarbrücken,canonical_team,2017–18 DFB-Pokal
1718,Wolfsburg,2017-08-13,DFB-Pokal,A,Eintracht Norderstedt,canonical_team,2017–18 DFB-Pokal
1718,Hertha,2017-08-14,DFB-Pokal,A,Hansa Rostock,canonical_team,2017–18 DFB-Pokal
1718,Nurnberg,2017-08-14,DFB-Pokal,A,MSV Duisburg,canonical_team,2017–18 DFB-Pokal
1718,Paderborn,2017-08-14,DFB-Pokal,H,St Pauli,chiave-normalizzata,2017–18 DFB-Pokal
1718,Schalke 04,2017-08-14,DFB-Pokal,A,BFC Dynamo,canonical_team,2017–18 DFB-Pokal
1718,St Pauli,2017-08-14,DFB-Pokal,A,Paderborn,canonical_team,2017–18 DFB-Pokal
1718,Bochum,2017-10-24,DFB-Pokal,A,Paderborn,canonical_team,2017–18 DFB-Pokal
1718,Dortmund,2017-10-24,DFB-Pokal,A,1. FC Magdeburg,canonical_team,2017–18 DFB-Pokal
1718,Ein Frankfurt,2017-10-24,DFB-Pokal,A,Schweinfurt 05,canonical_team,2017–18 DFB-Pokal
1718,Fortuna Dusseldorf,2017-10-24,DFB-Pokal,H,M'gladbach,canonical_team,2017–18 DFB-Pokal
1718,Greuther Furth,2017-10-24,DFB-Pokal,H,FC Ingolstadt,proposta,2017–18 DFB-Pokal
1718,Holstein Kiel,2017-10-24,DFB-Pokal,A,Mainz,canonical_team,2017–18 DFB-Pokal
1718,Leverkusen,2017-10-24,DFB-Pokal,H,Union Berlin,canonical_team,2017–18 DFB-Pokal
1718,M'gladbach,2017-10-24,DFB-Pokal,A,Fortuna Dusseldorf,canonical_team,2017–18 DFB-Pokal
1718,Mainz,2017-10-24,DFB-Pokal,H,Holstein Kiel,canonical_team,2017–18 DFB-Pokal
1718,Paderborn,2017-10-24,DFB-Pokal,H,Bochum,chiave-normalizzata,2017–18 DFB-Pokal
1718,Schalke 04,2017-10-24,DFB-Pokal,A,Wehen Wiesbaden,canonical_team,2017–18 DFB-Pokal
1718,Union Berlin,2017-10-24,DFB-Pokal,A,Leverkusen,canonical_team,2017–18 DFB-Pokal
1718,Bayern Munich,2017-10-25,DFB-Pokal,A,RB Leipzig,canonical_team,2017–18 DFB-Pokal
1718,FC Koln,2017-10-25,DFB-Pokal,A,Hertha,canonical_team,2017–18 DFB-Pokal
1718,Freiburg,2017-10-25,DFB-Pokal,H,Dynamo Dresden,canonical_team,2017–18 DFB-Pokal
1718,Hannover,2017-10-25,DFB-Pokal,A,Wolfsburg,canonical_team,2017–18 DFB-Pokal
1718,Heidenheim,2017-10-25,DFB-Pokal,A,Jahn Regensburg,proposta,2017–18 DFB-Pokal
1718,Hertha,2017-10-25,DFB-Pokal,H,FC Koln,canonical_team,2017–18 DFB-Pokal
