season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Freiburg,2017-07-27,Europa League (qual.),H,Domžale,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Freiburg,2017-08-03,Europa League (qual.),A,Domžale,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1819,RB Leipzig,2018-07-26,Europa League (qual.),H,BK Häcken,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,RB Leipzig,2018-08-02,Europa League (qual.),A,BK Häcken,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,RB Leipzig,2018-08-09,Europa League (qual.),H,Universitatea Craiova,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,RB Leipzig,2018-08-16,Europa League (qual.),A,Universitatea Craiova,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,RB Leipzig,2018-08-23,Europa League (qual.),A,Zorya Luhansk,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,RB Leipzig,2018-08-30,Europa League (qual.),H,Zorya Luhansk,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1920,Ein Frankfurt,2019-07-25,Europa League (qual.),A,Flora,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Ein Frankfurt,2019-08-01,Europa League (qual.),H,Flora,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Ein Frankfurt,2019-08-08,Europa League (qual.),A,Vaduz,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Ein Frankfurt,2019-08-15,Europa League (qual.),H,Vaduz,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Ein Frankfurt,2019-08-22,Europa League (qual.),A,Strasbourg,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Ein Frankfurt,2019-08-29,Europa League (qual.),H,Strasbourg,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
2021,Wolfsburg,2020-09-17,Europa League (qual.),A,Kukësi,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Wolfsburg,2020-09-24,Europa League (qual.),H,Desna Chernihiv,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Wolfsburg,2020-10-01,Europa League (qual.),A,AEK Athens,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
