season,team,date,competition,home_away,opponent,metodo_nome,pagina
2526,Vallecano,2025-10-02,Conference League,H,Shkëndija,canonical_team,2025–26 UEFA Conference League league phase
2526,Vallecano,2025-10-23,Conference League,A,BK Häcken,canonical_team,2025–26 UEFA Conference League league phase
2526,Vallecano,2025-11-06,Conference League,H,Lech Poznań,canonical_team,2025–26 UEFA Conference League league phase
2526,Vallecano,2025-11-27,Conference League,A,Slovan Bratislava,canonical_team,2025–26 UEFA Conference League league phase
2526,Vallecano,2025-12-11,Conference League,A,Jagiellonia Białystok,canonical_team,2025–26 UEFA Conference League league phase
2526,Vallecano,2025-12-18,Conference League,H,Drita,canonical_team,2025–26 UEFA Conference League league phase
2526,Vallecano,2026-03-12,Conference League,A,Samsunspor,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Vallecano,2026-03-19,Conference League,H,Samsunspor,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Vallecano,2026-04-09,Conference League,H,AEK Athens,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Vallecano,2026-04-16,Conference League,A,AEK Athens,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Vallecano,2026-04-30,Conference League,H,Strasbourg,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Vallecano,2026-05-07,Conference League,A,Strasbourg,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Vallecano,2026-05-27,Conference League,A,Crystal Palace,canonical_team,2026 UEFA Conference League final
