season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Ath Bilbao,2017-09-14,Europa League,A,Hertha BSC,canonical_team,2017–18 UEFA Europa League group stage
1718,Sociedad,2017-09-14,Europa League,H,Rosenborg,canonical_team,2017–18 UEFA Europa League group stage
1718,Villarreal,2017-09-14,Europa League,H,Astana,canonical_team,2017–18 UEFA Europa League group stage
1718,Ath Bilbao,2017-09-28,Europa League,H,Zorya Luhansk,canonical_team,2017–18 UEFA Europa League group stage
1718,Sociedad,2017-09-28,Europa League,A,Zenit Saint Petersburg,canonical_team,2017–18 UEFA Europa League group stage
1718,Villarreal,2017-09-28,Europa League,A,Maccabi Tel Aviv,canonical_team,2017–18 UEFA Europa League group stage
1718,Ath Bilbao,2017-10-19,Europa League,A,Östersunds FK,canonical_team,2017–18 UEFA Europa League group stage
1718,Sociedad,2017-10-19,Europa League,A,Vardar,canonical_team,2017–18 UEFA Europa League group stage
1718,Villarreal,2017-10-19,Europa League,H,Slavia Prague,canonical_team,2017–18 UEFA Europa League group stage
1718,Ath Bilbao,2017-11-02,Europa League,H,Östersunds FK,canonical_team,2017–18 UEFA Europa League group stage
1718,Sociedad,2017-11-02,Europa League,H,Vardar,canonical_team,2017–18 UEFA Europa League group stage
1718,Villarreal,2017-11-02,Europa League,A,Slavia Prague,canonical_team,2017–18 UEFA Europa League group stage
1718,Ath Bilbao,2017-11-23,Europa League,H,Hertha BSC,canonical_team,2017–18 UEFA Europa League group stage
1718,Sociedad,2017-11-23,Europa League,A,Rosenborg,canonical_team,2017–18 UEFA Europa League group stage
1718,Villarreal,2017-11-23,Europa League,A,Astana,canonical_team,2017–18 UEFA Europa League group stage
1718,Ath Bilbao,2017-12-07,Europa League,A,Zorya Luhansk,canonical_team,2017–18 UEFA Europa League group stage
1718,Sociedad,2017-12-07,Europa League,H,Zenit Saint Petersburg,canonical_team,2017–18 UEFA Europa League group stage
1718,Villarreal,2017-12-07,Europa League,H,Maccabi Tel Aviv,canonical_team,2017–18 UEFA Europa League group stage
1718,Ath Bilbao,2018-02-15,Europa League,A,Spartak Moscow,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Ath Madrid,2018-02-15,Europa League,A,Copenhagen,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Sociedad,2018-02-15,Europa League,H,Red Bull Salzburg,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Villarreal,2018-02-15,Europa League,A,Lyon,canonical_team,2017–18 UEFA Europa League knockout phase
