season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Real Madrid,2017-12-13,FIFA Club World Cup,A,Al-Jazira,canonical_team,2017 FIFA Club World Cup
1718,Real Madrid,2017-12-16,FIFA Club World Cup,H,Grêmio,canonical_team,2017 FIFA Club World Cup final
1819,Real Madrid,2018-12-19,FIFA Club World Cup,A,Kashima Antlers,canonical_team,2018 FIFA Club World Cup
1819,Real Madrid,2018-12-22,FIFA Club World Cup,H,Al Ain,canonical_team,2018 FIFA Club World Cup final
2223,Real Madrid,2023-02-08,FIFA Club World Cup,A,Al Ahly,canonical_team,2022 FIFA Club World Cup
2223,Real Madrid,2023-02-11,FIFA Club World Cup,H,Al-Hilal,canonical_team,2022 FIFA Club World Cup final
2425,Ath Madrid,2025-06-15,FIFA Club World Cup,A,Paris Saint-Germain,canonical_team,2025 FIFA Club World Cup Group B
2425,Real Madrid,2025-06-18,FIFA Club World Cup,H,Al Hilal,canonical_team,2025 FIFA Club World Cup Group H
2425,Ath Madrid,2025-06-19,FIFA Club World Cup,A,Seattle Sounders FC,canonical_team,2025 FIFA Club World Cup Group B
2425,Real Madrid,2025-06-22,FIFA Club World Cup,H,Pachuca,canonical_team,2025 FIFA Club World Cup Group H
2425,Ath Madrid,2025-06-23,FIFA Club World Cup,H,Botafogo,canonical_team,2025 FIFA Club World Cup Group B
2425,Real Madrid,2025-06-26,FIFA Club World Cup,A,Red Bull Salzburg,canonical_team,2025 FIFA Club World Cup Group H
2425,Real Madrid,2025-07-01,FIFA Club World Cup,H,Juventus,canonical_team,2025 FIFA Club World Cup
2425,Real Madrid,2025-07-05,FIFA Club World Cup,H,Borussia Dortmund,canonical_team,2025 FIFA Club World Cup
2526,Real Madrid,2025-07-09,FIFA Club World Cup,A,Paris Saint-Germain,canonical_team,2025 FIFA Club World Cup
