season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Nice,2017-07-26,Champions League (qual.),H,Ajax,canonical_team,2017–18 UEFA Champions League qualifying phase and play-off round
1718,Nice,2017-08-02,Champions League (qual.),A,Ajax,canonical_team,2017–18 UEFA Champions League qualifying phase and play-off round
1718,Nice,2017-08-16,Champions League (qual.),A,Napoli,canonical_team,2017–18 UEFA Champions League qualifying phase and play-off round
1718,Nice,2017-08-22,Champions League (qual.),H,Napoli,canonical_team,2017–18 UEFA Champions League qualifying phase and play-off round
2122,Monaco,2021-08-03,Champions League (qual.),A,Sparta Prague,canonical_team,2021–22 UEFA Champions League qualifying phase and play-off round
2122,Monaco,2021-08-10,Champions League (qual.),H,Sparta Prague,canonical_team,2021–22 UEFA Champions League qualifying phase and play-off round
2122,Monaco,2021-08-17,Champions League (qual.),H,Shakhtar Donetsk,canonical_team,2021–22 UEFA Champions League qualifying phase and play-off round
2122,Monaco,2021-08-25,Champions League (qual.),A,Shakhtar Donetsk,canonical_team,2021–22 UEFA Champions League qualifying phase and play-off round
2223,Monaco,2022-08-02,Champions League (qual.),H,PSV Eindhoven,canonical_team,2022–23 UEFA Champions League qualifying phase and play-off round
2223,Monaco,2022-08-09,Champions League (qual.),A,PSV Eindhoven,canonical_team,2022–23 UEFA Champions League qualifying phase and play-off round
2324,Marseille,2023-08-09,Champions League (qual.),A,Panathinaikos,canonical_team,2023–24 UEFA Champions League qualifying phase and play-off round
2324,Marseille,2023-08-15,Champions League (qual.),H,Panathinaikos,canonical_team,2023–24 UEFA Champions League qualifying phase and play-off round
