season,team,date,competition,home_away,opponent,metodo_nome,pagina
2526,Strasbourg,2025-10-02,Conference League,A,Slovan Bratislava,canonical_team,2025–26 UEFA Conference League league phase
2526,Strasbourg,2025-10-23,Conference League,H,Jagiellonia Białystok,canonical_team,2025–26 UEFA Conference League league phase
2526,Strasbourg,2025-11-06,Conference League,A,BK Häcken,canonical_team,2025–26 UEFA Conference League league phase
2526,Strasbourg,2025-11-27,Conference League,H,Crystal Palace,canonical_team,2025–26 UEFA Conference League league phase
2526,Strasbourg,2025-12-11,Conference League,A,Aberdeen,canonical_team,2025–26 UEFA Conference League league phase
2526,Strasbourg,2025-12-18,Conference League,H,Breiðablik,canonical_team,2025–26 UEFA Conference League league phase
2526,Strasbourg,2026-03-12,Conference League,A,Rijeka,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Strasbourg,2026-03-19,Conference League,H,Rijeka,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Strasbourg,2026-04-09,Conference League,A,Mainz 05,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Strasbourg,2026-04-16,Conference League,H,Mainz 05,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Strasbourg,2026-04-30,Conference League,A,Rayo Vallecano,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Strasbourg,2026-05-07,Conference League,H,Rayo Vallecano,canonical_team,2025–26 UEFA Conference League knockout phase
