season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Lens,2017-11-10,Coupe de France,A,US Nœux-les-Mines,canonical_team,2017–18 Coupe de France
1718,Auxerre,2017-11-11,Coupe de France,A,FC Chamalières,canonical_team,2017–18 Coupe de France
1718,Clermont,2017-11-11,Coupe de France,A,AS Yzeure,canonical_team,2017–18 Coupe de France
1718,Paris FC,2017-11-11,Coupe de France,A,Stade Ygossais,canonical_team,2017–18 Coupe de France
1718,Ajaccio,2017-11-12,Coupe de France,A,Saint-Amand FC,canonical_team,2017–18 Coupe de France
1718,Brest,2017-11-12,Coupe de France,A,CS Plédran,canonical_team,2017–18 Coupe de France
1718,Le Havre,2017-11-12,Coupe de France,A,Évreux FC 27,canonical_team,2017–18 Coupe de France
1718,Lorient,2017-11-12,Coupe de France,A,Stella Maris Douarnenez,canonical_team,2017–18 Coupe de France
1718,Nimes,2017-11-12,Coupe de France,H,Marseille Consolat,proposta,2017–18 Coupe de France
1718,Reims,2017-11-12,Coupe de France,A,FC Geispolsheim 01,canonical_team,2017–18 Coupe de France
1718,Ajaccio,2017-12-02,Coupe de France,A,Canet Roussillon FC,canonical_team,2017–18 Coupe de France
1718,Auxerre,2017-12-02,Coupe de France,A,ASF Andrézieux,canonical_team,2017–18 Coupe de France
1718,Brest,2017-12-02,Coupe de France,A,US Concarneau,canonical_team,2017–18 Coupe de France
1718,Lorient,2017-12-02,Coupe de France,A,Séné FC,canonical_team,2017–18 Coupe de France
1718,Paris FC,2017-12-02,Coupe de France,A,L'Entente SSG,canonical_team,2017–18 Coupe de France
1718,Lens,2017-12-03,Coupe de France,H,Reims,canonical_team,2017–18 Coupe de France
1718,Nimes,2017-12-03,Coupe de France,A,SC Anduzien,proposta,2017–18 Coupe de France
1718,Reims,2017-12-03,Coupe de France,A,Lens,canonical_team,2017–18 Coupe de France
1718,Auxerre,2018-01-06,Coupe de France,A,SC Schiltigheim,canonical_team,2017–18 Coupe de France
1718,Caen,2018-01-06,Coupe de France,A,SC Hazebrouck,canonical_team,2017–18 Coupe de France
1718,Guingamp,2018-01-06,Coupe de France,H,Niort,canonical_team,2017–18 Coupe de France
