season,team,date,competition,home_away,opponent,metodo_nome,pagina
2526,Crystal Palace,2025-10-02,Conference League,A,Dynamo Kyiv,canonical_team,2025–26 UEFA Conference League league phase
2526,Crystal Palace,2025-10-23,Conference League,H,AEK Larnaca,canonical_team,2025–26 UEFA Conference League league phase
2526,Crystal Palace,2025-11-06,Conference League,H,AZ,canonical_team,2025–26 UEFA Conference League league phase
2526,Crystal Palace,2025-11-27,Conference League,A,Strasbourg,canonical_team,2025–26 UEFA Conference League league phase
2526,Crystal Palace,2025-12-11,Conference League,A,Shelbourne,canonical_team,2025–26 UEFA Conference League league phase
2526,Crystal Palace,2025-12-18,Conference League,H,KuPS,canonical_team,2025–26 UEFA Conference League league phase
2526,Crystal Palace,2026-02-19,Conference League,A,Zrinjski Mostar,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-02-26,Conference League,H,Zrinjski Mostar,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-03-12,Conference League,H,AEK Larnaca,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-03-19,Conference League,A,AEK Larnaca,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-04-09,Conference League,H,Fiorentina,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-04-16,Conference League,A,Fiorentina,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-04-30,Conference League,A,Shakhtar Donetsk,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-05-07,Conference League,H,Shakhtar Donetsk,canonical_team,2025–26 UEFA Conference League knockout phase
2526,Crystal Palace,2026-05-27,Conference League,H,Rayo Vallecano,canonical_team,2026 UEFA Conference League final
