season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Everton,2017-07-27,Europa League (qual.),H,Ružomberok,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Everton,2017-08-03,Europa League (qual.),A,Ružomberok,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Everton,2017-08-17,Europa League (qual.),H,Hajduk Split,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Everton,2017-08-24,Europa League (qual.),A,Hajduk Split,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1819,Burnley,2018-07-26,Europa League (qual.),A,Aberdeen,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Burnley,2018-08-02,Europa League (qual.),H,Aberdeen,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Burnley,2018-08-09,Europa League (qual.),A,İstanbul Başakşehir,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Burnley,2018-08-16,Europa League (qual.),H,İstanbul Başakşehir,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Burnley,2018-08-23,Europa League (qual.),A,Olympiacos,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Burnley,2018-08-30,Europa League (qual.),H,Olympiacos,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1920,Wolves,2019-07-25,Europa League (qual.),H,Crusaders,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Wolves,2019-08-01,Europa League (qual.),A,Crusaders,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Wolves,2019-08-08,Europa League (qual.),A,Pyunik,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Wolves,2019-08-15,Europa League (qual.),H,Pyunik,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Wolves,2019-08-22,Europa League (qual.),A,Torino,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Wolves,2019-08-29,Europa League (qual.),H,Torino,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
2021,Tottenham,2020-09-17,Europa League (qual.),A,Lokomotiv Plovdiv,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Tottenham,2020-09-24,Europa League (qual.),A,Shkëndija,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Tottenham,2020-10-01,Europa League (qual.),H,Maccabi Haifa,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
