season,team,date,competition,home_away,opponent,metodo_nome,pagina
1920,Liverpool,2019-12-18,FIFA Club World Cup,A,Monterrey,canonical_team,2019 FIFA Club World Cup
1920,Liverpool,2019-12-21,FIFA Club World Cup,H,Flamengo,canonical_team,2019 FIFA Club World Cup final
2122,Chelsea,2022-02-09,FIFA Club World Cup,A,Al-Hilal,canonical_team,2021 FIFA Club World Cup
2122,Chelsea,2022-02-12,FIFA Club World Cup,H,Palmeiras,canonical_team,2021 FIFA Club World Cup final
2324,Man City,2023-12-19,FIFA Club World Cup,A,Urawa Red Diamonds,canonical_team,2023 FIFA Club World Cup
2324,Man City,2023-12-22,FIFA Club World Cup,H,Fluminense,canonical_team,2023 FIFA Club World Cup final
2425,Chelsea,2025-06-16,FIFA Club World Cup,H,Los Angeles FC,canonical_team,2025 FIFA Club World Cup Group D
2425,Man City,2025-06-18,FIFA Club World Cup,H,Wydad AC,canonical_team,2025 FIFA Club World Cup Group G
2425,Chelsea,2025-06-20,FIFA Club World Cup,A,Flamengo,canonical_team,2025 FIFA Club World Cup Group D
2425,Man City,2025-06-22,FIFA Club World Cup,H,Al Ain,canonical_team,2025 FIFA Club World Cup Group G
2425,Chelsea,2025-06-24,FIFA Club World Cup,A,Espérance de Tunis,canonical_team,2025 FIFA Club World Cup Group D
2425,Man City,2025-06-26,FIFA Club World Cup,A,Juventus,canonical_team,2025 FIFA Club World Cup Group G
2425,Chelsea,2025-06-28,FIFA Club World Cup,A,Benfica,canonical_team,2025 FIFA Club World Cup
2425,Man City,2025-06-30,FIFA Club World Cup,H,Al Hilal,canonical_team,2025 FIFA Club World Cup
2425,Chelsea,2025-07-04,FIFA Club World Cup,A,Palmeiras,canonical_team,2025 FIFA Club World Cup
2526,Chelsea,2025-07-08,FIFA Club World Cup,A,Fluminense,canonical_team,2025 FIFA Club World Cup
2526,Chelsea,2025-07-13,FIFA Club World Cup,H,Paris Saint-Germain,canonical_team,2025 FIFA Club World Cup
