season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Lecce,2017-07-30,Coppa Italia,H,Ciliverghe Mazzano,canonical_team,2017–18 Coppa Italia
1718,Pisa,2017-07-30,Coppa Italia,H,Varese,canonical_team,2017–18 Coppa Italia
1718,Empoli,2017-08-05,Coppa Italia,H,Renate,canonical_team,2017–18 Coppa Italia
1718,Lecce,2017-08-05,Coppa Italia,A,Pro Vercelli,canonical_team,2017–18 Coppa Italia
1718,Spezia,2017-08-05,Coppa Italia,H,Reggiana,canonical_team,2017–18 Coppa Italia
1718,Brescia,2017-08-06,Coppa Italia,H,Padova,canonical_team,2017–18 Coppa Italia
1718,Cremonese,2017-08-06,Coppa Italia,A,Virtus Entella,canonical_team,2017–18 Coppa Italia
1718,Frosinone,2017-08-06,Coppa Italia,A,Pisa,canonical_team,2017–18 Coppa Italia
1718,Parma,2017-08-06,Coppa Italia,A,Bari,canonical_team,2017–18 Coppa Italia
1718,Pisa,2017-08-06,Coppa Italia,H,Frosinone,canonical_team,2017–18 Coppa Italia
1718,Salernitana,2017-08-06,Coppa Italia,H,Alessandria,canonical_team,2017–18 Coppa Italia
1718,Venezia,2017-08-06,Coppa Italia,H,Pordenone,canonical_team,2017–18 Coppa Italia
1718,Torino,2017-08-11,Coppa Italia,H,Trapani,canonical_team,2017–18 Coppa Italia
1718,Benevento,2017-08-12,Coppa Italia,H,Perugia,canonical_team,2017–18 Coppa Italia
1718,Bologna,2017-08-12,Coppa Italia,H,Cittadella,canonical_team,2017–18 Coppa Italia
1718,Brescia,2017-08-12,Coppa Italia,H,Pescara,canonical_team,2017–18 Coppa Italia
1718,Cagliari,2017-08-12,Coppa Italia,H,Palermo,canonical_team,2017–18 Coppa Italia
1718,Chievo,2017-08-12,Coppa Italia,H,Ascoli,canonical_team,2017–18 Coppa Italia
1718,Cremonese,2017-08-12,Coppa Italia,A,Bari,canonical_team,2017–18 Coppa Italia
1718,Crotone,2017-08-12,Coppa Italia,H,Piacenza,canonical_team,2017–18 Coppa Italia
1718,Frosinone,2017-08-12,Coppa Italia,A,Udinese,canonical_team,2017–18 Coppa Italia
1718,Lecce,2017-08-12,Coppa Italia,A,Pordenone,canonical_team,2017–18 Coppa Italia
1718,Salernitana,2017-08-12,Coppa Italia,A,Carpi,canonical_team,2017–18 Coppa Italia
1718,Sampdoria,2017-08-12,Coppa Italia,H,Foggia,canonical_team,2017–18 Coppa Italia
1718,Sassuolo,2017-08-12,Coppa Italia,H,Spezia,canonical_team,2017–18 Coppa Italia
1718,Spal,2017-08-12,Coppa Italia,H,Renate,canonical_team,2017–18 Coppa Italia
1718,Spezia,2017-08-12,Coppa Italia,A,Sassuolo,canonical_team,2017–18 Coppa Italia
1718,Udinese,2017-08-12,Coppa Italia,H,Frosinone,canonical_team,2017–18 Coppa Italia
1718,Genoa,2017-08-13,Coppa Italia,H,Cesena,canonical_team,2017–18 Coppa Italia
1718,Verona,2017-08-13,Coppa Italia,H,Avellino,canonical_team,2017–18 Coppa Italia
1718,Cagliari,2017-11-28,Coppa Italia,H,Pordenone,canonical_team,2017–18 Coppa Italia
1718,Sampdoria,2017-11-28,Coppa Italia,H,Pescara,canonical_team,2017–18 Coppa Italia
1718,Spal,2017-11-28,Coppa Italia,H,Cittadella,canonical_team,2017–18 Coppa Italia
1718,Chievo,2017-11-29,Coppa Italia,H,Verona,canonical_team,2017–18 Coppa Italia
1718,Sassuolo,2017-11-29,Coppa Italia,H,Bari,canonical_team,2017–18 Coppa Italia
1718,Torino,2017-11-29,Coppa Italia,H,Carpi,canonical_team,2017–18 Coppa Italia
1718,Verona,2017-11-29,Coppa Italia,A,Chievo,canonical_team,2017–18 Coppa Italia
1718,Crotone,2017-11-30,Coppa Italia,A,Genoa,canonical_team,2017–18 Coppa Italia
1718,Genoa,2017-11-30,Coppa Italia,H,Crotone,canonical_team,2017–18 Coppa Italia
1718,Udinese,2017-11-30,Coppa Italia,H,Perugia,canonical_team,2017–18 Coppa Italia
1718,Inter,2017-12-12,Coppa Italia,H,Pordenone,canonical_team,2017–18 Coppa Italia
1718,Fiorentina,2017-12-13,Coppa Italia,H,Sampdoria,canonical_team,2017–18 Coppa Italia
1718,Milan,2017-12-13,Coppa Italia,H,Verona,canonical_team,2017–18 Coppa Italia
1718,Sampdoria,2017-12-13,Coppa Italia,A,Fiorentina,canonical_team,2017–18 Coppa Italia
1718,Verona,2017-12-13,Coppa Italia,A,Milan,canonical_team,2017–18 Coppa Italia
1718,Lazio,2017-12-14,Coppa Italia,H,Cittadella,canonical_team,2017–18 Coppa Italia
1718,Napoli,2017-12-19,Coppa Italia,H,Udinese,canonical_team,2017–18 Coppa Italia
1718,Udinese,2017-12-19,Coppa Italia,A,Napoli,canonical_team,2017–18 Coppa Italia
1718,Atalanta,2017-12-20,Coppa Italia,H,Sassuolo,canonical_team,2017–18 Coppa Italia
1718,Genoa,2017-12-20,Coppa Italia,A,Juventus,canonical_team,2017–18 Coppa Italia
1718,Juventus,2017-12-20,Coppa Italia,H,Genoa,canonical_team,2017–18 Coppa Italia
1718,Roma,2017-12-20,Coppa Italia,H,Torino,canonical_team,2017–18 Coppa Italia
1718,Sassuolo,2017-12-20,Coppa Italia,A,Atalanta,canonical_team,2017–18 Coppa Italia
1718,Torino,2017-12-20,Coppa Italia,A,Roma,canonical_team,2017–18 Coppa Italia
1718,Fiorentina,2017-12-26,Coppa Italia,A,Lazio,canonical_team,2017–18 Coppa Italia
1718,Lazio,2017-12-26,Coppa Italia,H,Fiorentina,canonical_team,2017–18 Coppa Italia
1718,Inter,2017-12-27,Coppa Italia,A,Milan,canonical_team,2017–18 Coppa Italia
1718,Milan,2017-12-27,Coppa Italia,H,Inter,canonical_team,2017–18 Coppa Italia
1718,Atalanta,2018-01-02,Coppa Italia,A,Napoli,canonical_team,2017–18 Coppa Italia
1718,Napoli,2018-01-02,Coppa Italia,H,Atalanta,canonical_team,2017–18 Coppa Italia
1718,Juventus,2018-01-03,Coppa Italia,H,Torino,canonical_team,2017–18 Coppa Italia
1718,Torino,2018-01-03,Coppa Italia,A,Juventus,canonical_team,2017–18 Coppa Italia
1718,Atalanta,2018-01-30,Coppa Italia,H,Juventus,canonical_team,2017–18 Coppa Italia
1718,Juventus,2018-01-30,Coppa Italia,A,Atalanta,canonical_team,2017–18 Coppa Italia
1718,Lazio,2018-01-31,Coppa Italia,A,Milan,canonical_team,2017–18 Coppa Italia
1718,Milan,2018-01-31,Coppa Italia,H,Lazio,canonical_team,2017–18 Coppa Italia
1718,Atalanta,2018-02-28,Coppa Italia,A,Juventus,canonical_team,2017–18 Coppa Italia
1718,Juventus,2018-02-28,Coppa Italia,H,Atalanta,canonical_team,2017–18 Coppa Italia
1718,Lazio,2018-02-28,Coppa Italia,H,Milan,canonical_team,2017–18 Coppa Italia
1718,Milan,2018-02-28,Coppa Italia,A,Lazio,canonical_team,2017–18 Coppa Italia
1718,Juventus,2018-05-09,Coppa Italia,H,Milan,canonical_team,2018 Coppa Italia Final
1718,Milan,2018-05-09,Coppa Italia,A,Juventus,canonical_team,2018 Coppa Italia Final
1819,Como,2018-07-29,Coppa Italia,A,Catania,canonical_team,2018–19 Coppa Italia
1819,Monza,2018-07-29,Coppa Italia,H,Matelica,canonical_team,2018–19 Coppa Italia
1819,Pisa,2018-07-29,Coppa Italia,H,Triestina,canonical_team,2018–19 Coppa Italia
1819,Spezia,2018-08-04,Coppa Italia,H,Sambenedettese,canonical_team,2018–19 Coppa Italia
1819,Benevento,2018-08-05,Coppa Italia,H,Imolese,canonical_team,2018–19 Coppa Italia
1819,Brescia,2018-08-05,Coppa Italia,H,Pro Vercelli,canonical_team,2018–19 Coppa Italia
1819,Cremonese,2018-08-05,Coppa Italia,H,Pisa,canonical_team,2018–19 Coppa Italia
1819,Crotone,2018-08-05,Coppa Italia,H,Giana Erminio,canonical_team,2018–19 Coppa Italia
1819,Monza,2018-08-05,Coppa Italia,A,Padova,canonical_team,2018–19 Coppa Italia
1819,Pisa,2018-08-05,Coppa Italia,A,Cremonese,canonical_team,2018–19 Coppa Italia
1819,Salernitana,2018-08-05,Coppa Italia,H,Rezzato,canonical_team,2018–19 Coppa Italia
1819,Venezia,2018-08-05,Coppa Italia,H,Südtirol,canonical_team,2018–19 Coppa Italia
1819,Verona,2018-08-05,Coppa Italia,H,Juve Stabia,canonical_team,2018–19 Coppa Italia
1819,Lecce,2018-08-07,Coppa Italia,H,FeralpiSalò,canonical_team,2018–19 Coppa Italia
1819,Benevento,2018-08-11,Coppa Italia,A,Udinese,canonical_team,2018–19 Coppa Italia
1819,Genoa,2018-08-11,Coppa Italia,H,Lecce,canonical_team,2018–19 Coppa Italia
1819,Lecce,2018-08-11,Coppa Italia,A,Genoa,canonical_team,2018–19 Coppa Italia
1819,Udinese,2018-08-11,Coppa Italia,H,Benevento,canonical_team,2018–19 Coppa Italia
1819,Bologna,2018-08-12,Coppa Italia,H,Padova,canonical_team,2018–19 Coppa Italia
1819,Brescia,2018-08-12,Coppa Italia,H,Novara,canonical_team,2018–19 Coppa Italia
1819,Cagliari,2018-08-12,Coppa Italia,H,Palermo,canonical_team,2018–19 Coppa Italia
1819,Chievo,2018-08-12,Coppa Italia,H,Pescara,canonical_team,2018–19 Coppa Italia
1819,Crotone,2018-08-12,Coppa Italia,A,Livorno,canonical_team,2018–19 Coppa Italia
1819,Empoli,2018-08-12,Coppa Italia,H,Cittadella,canonical_team,2018–19 Coppa Italia
1819,Frosinone,2018-08-12,Coppa Italia,H,Südtirol,canonical_team,2018–19 Coppa Italia
1819,Parma,2018-08-12,Coppa Italia,H,Pisa,canonical_team,2018–19 Coppa Italia
1819,Pisa,2018-08-12,Coppa Italia,A,Parma,canonical_team,2018–19 Coppa Italia
1819,Salernitana,2018-08-12,Coppa Italia,A,Virtus Entella,canonical_team,2018–19 Coppa Italia
1819,Sampdoria,2018-08-12,Coppa Italia,H,Viterbese,canonical_team,2018–19 Coppa Italia
1819,Sassuolo,2018-08-12,Coppa Italia,H,Ternana,canonical_team,2018–19 Coppa Italia
1819,Spal,2018-08-12,Coppa Italia,A,Spezia,canonical_team,2018–19 Coppa Italia
1819,Spezia,2018-08-12,Coppa Italia,H,Spal,canonical_team,2018–19 Coppa Italia
1819,Torino,2018-08-12,Coppa Italia,H,Cosenza,canonical_team,2018–19 Coppa Italia
1819,Verona,2018-08-12,Coppa Italia,A,Catania,canonical_team,2018–19 Coppa Italia
1819,Benevento,2018-12-04,Coppa Italia,H,Cittadella,canonical_team,2018–19 Coppa Italia
1819,Bologna,2018-12-04,Coppa Italia,H,Crotone,canonical_team,2018–19 Coppa Italia
1819,Crotone,2018-12-04,Coppa Italia,A,Bologna,canonical_team,2018–19 Coppa Italia
1819,Sampdoria,2018-12-04,Coppa Italia,H,Spal,canonical_team,2018–19 Coppa Italia
1819,Spal,2018-12-04,Coppa Italia,A,Sampdoria,canonical_team,2018–19 Coppa Italia
1819,Cagliari,2018-12-05,Coppa Italia,A,Chievo,canonical_team,2018–19 Coppa Italia
1819,Chievo,2018-12-05,Coppa Italia,H,Cagliari,canonical_team,2018–19 Coppa Italia
1819,Pisa,2018-12-05,Coppa Italia,A,Novara,canonical_team,2018–19 Coppa Italia
1819,Sassuolo,2018-12-05,Coppa Italia,H,Catania,canonical_team,2018–19 Coppa Italia
1819,Genoa,2018-12-06,Coppa Italia,H,Virtus Entella,canonical_team,2018–19 Coppa Italia
1819,Torino,2018-12-06,Coppa Italia,H,Südtirol,canonical_team,2018–19 Coppa Italia
1819,Bologna,2019-01-12,Coppa Italia,H,Juventus,canonical_team,2018–19 Coppa Italia
1819,Juventus,2019-01-12,Coppa Italia,A,Bologna,canonical_team,2018–19 Coppa Italia
1819,Lazio,2019-01-12,Coppa Italia,H,Novara,canonical_team,2018–19 Coppa Italia
1819,Milan,2019-01-12,Coppa Italia,A,Sampdoria,canonical_team,2018–19 Coppa Italia
1819,Sampdoria,2019-01-12,Coppa Italia,H,Milan,canonical_team,2018–19 Coppa Italia
1819,Benevento,2019-01-13,Coppa Italia,A,Inter,canonical_team,2018–19 Coppa Italia
1819,Fiorentina,2019-01-13,Coppa Italia,A,Torino,canonical_team,2018–19 Coppa Italia
1819,Inter,2019-01-13,Coppa Italia,H,Benevento,canonical_team,2018–19 Coppa Italia
1819,Napoli,2019-01-13,Coppa Italia,H,Sassuolo,canonical_team,2018–19 Coppa Italia
1819,Sassuolo,2019-01-13,Coppa Italia,A,Napoli,canonical_team,2018–19 Coppa Italia
1819,Torino,2019-01-13,Coppa Italia,H,Fiorentina,canonical_team,2018–19 Coppa Italia
1819,Atalanta,2019-01-14,Coppa Italia,A,Cagliari,canonical_team,2018–19 Coppa Italia
1819,Cagliari,2019-01-14,Coppa Italia,H,Atalanta,canonical_team,2018–19 Coppa Italia
1819,Roma,2019-01-14,Coppa Italia,H,Virtus Entella,canonical_team,2018–19 Coppa Italia
1819,Milan,2019-01-29,Coppa Italia,H,Napoli,canonical_team,2018–19 Coppa Italia
1819,Napoli,2019-01-29,Coppa Italia,A,Milan,canonical_team,2018–19 Coppa Italia
1819,Atalanta,2019-01-30,Coppa Italia,H,Juventus,canonical_team,2018–19 Coppa Italia
1819,Fiorentina,2019-01-30,Coppa Italia,H,Roma,canonical_team,2018–19 Coppa Italia
1819,Juventus,2019-01-30,Coppa Italia,A,Atalanta,canonical_team,2018–19 Coppa Italia
1819,Roma,2019-01-30,Coppa Italia,A,Fiorentina,canonical_team,2018–19 Coppa Italia
1819,Inter,2019-01-31,Coppa Italia,H,Lazio,canonical_team,2018–19 Coppa Italia
1819,Lazio,2019-01-31,Coppa Italia,A,Inter,canonical_team,2018–19 Coppa Italia
1819,Lazio,2019-02-26,Coppa Italia,H,Milan,canonical_team,2018–19 Coppa Italia
1819,Milan,2019-02-26,Coppa Italia,A,Lazio,canonical_team,2018–19 Coppa Italia
1819,Atalanta,2019-02-27,Coppa Italia,A,Fiorentina,canonical_team,2018–19 Coppa Italia
1819,Fiorentina,2019-02-27,Coppa Italia,H,Atalanta,canonical_team,2018–19 Coppa Italia
1819,Lazio,2019-04-24,Coppa Italia,A,Milan,canonical_team,2018–19 Coppa Italia
1819,Milan,2019-04-24,Coppa Italia,H,Lazio,canonical_team,2018–19 Coppa Italia
1819,Atalanta,2019-04-25,Coppa Italia,H,Fiorentina,canonical_team,2018–19 Coppa Italia
1819,Fiorentina,2019-04-25,Coppa Italia,A,Atalanta,canonical_team,2018–19 Coppa Italia
1819,Atalanta,2019-05-15,Coppa Italia,H,Lazio,canonical_team,2019 Coppa Italia Final
1819,Lazio,2019-05-15,Coppa Italia,A,Atalanta,canonical_team,2019 Coppa Italia Final
1920,Monza,2019-08-04,Coppa Italia,H,Alessandria,canonical_team,2019–20 Coppa Italia
1920,Benevento,2019-08-11,Coppa Italia,H,Monza,canonical_team,2019–20 Coppa Italia
1920,Chievo,2019-08-11,Coppa Italia,H,Ravenna,canonical_team,2019–20 Coppa Italia
1920,Cremonese,2019-08-11,Coppa Italia,H,Virtus Francavilla,canonical_team,2019–20 Coppa Italia
1920,Crotone,2019-08-11,Coppa Italia,H,Arezzo,canonical_team,2019–20 Coppa Italia
1920,Empoli,2019-08-11,Coppa Italia,H,Reggina,canonical_team,2019–20 Coppa Italia
1920,Frosinone,2019-08-11,Coppa Italia,H,Carrarese,canonical_team,2019–20 Coppa Italia
1920,Monza,2019-08-11,Coppa Italia,A,Benevento,canonical_team,2019–20 Coppa Italia
1920,Pisa,2019-08-11,Coppa Italia,H,Potenza,canonical_team,2019–20 Coppa Italia
1920,Salernitana,2019-08-11,Coppa Italia,H,Catanzaro,canonical_team,2019–20 Coppa Italia
1920,Spezia,2019-08-11,Coppa Italia,H,Pro Patria,canonical_team,2019–20 Coppa Italia
1920,Venezia,2019-08-11,Coppa Italia,H,Catania,canonical_team,2019–20 Coppa Italia
1920,Genoa,2019-08-16,Coppa Italia,H,Imolese,canonical_team,2019–20 Coppa Italia
1920,Parma,2019-08-17,Coppa Italia,H,Venezia,canonical_team,2019–20 Coppa Italia
1920,Venezia,2019-08-17,Coppa Italia,A,Parma,canonical_team,2019–20 Coppa Italia
1920,Bologna,2019-08-18,Coppa Italia,A,Pisa,canonical_team,2019–20 Coppa Italia
1920,Brescia,2019-08-18,Coppa Italia,A,Perugia,canonical_team,2019–20 Coppa Italia
1920,Cagliari,2019-08-18,Coppa Italia,H,Chievo,canonical_team,2019–20 Coppa Italia
1920,Chievo,2019-08-18,Coppa Italia,A,Cagliari,canonical_team,2019–20 Coppa Italia
1920,Cremonese,2019-08-18,Coppa Italia,A,Verona,canonical_team,2019–20 Coppa Italia
1920,Crotone,2019-08-18,Coppa Italia,H,Sampdoria,canonical_team,2019–20 Coppa Italia
1920,Empoli,2019-08-18,Coppa Italia,H,Pescara,canonical_team,2019–20 Coppa Italia
1920,Fiorentina,2019-08-18,Coppa Italia,H,Monza,canonical_team,2019–20 Coppa Italia
1920,Frosinone,2019-08-18,Coppa Italia,H,Monopoli,canonical_team,2019–20 Coppa Italia
1920,Lecce,2019-08-18,Coppa Italia,H,Salernitana,canonical_team,2019–20 Coppa Italia
1920,Monza,2019-08-18,Coppa Italia,A,Fiorentina,canonical_team,2019–20 Coppa Italia
1920,Pisa,2019-08-18,Coppa Italia,H,Bologna,canonical_team,2019–20 Coppa Italia
1920,Salernitana,2019-08-18,Coppa Italia,A,Lecce,canonical_team,2019–20 Coppa Italia
1920,Sampdoria,2019-08-18,Coppa Italia,A,Crotone,canonical_team,2019–20 Coppa Italia
1920,Sassuolo,2019-08-18,Coppa Italia,H,Spezia,canonical_team,2019–20 Coppa Italia
1920,Spal,2019-08-18,Coppa Italia,H,Feralpisalò,canonical_team,2019–20 Coppa Italia
1920,Spezia,2019-08-18,Coppa Italia,A,Sassuolo,canonical_team,2019–20 Coppa Italia
1920,Udinese,2019-08-18,Coppa Italia,H,Südtirol,canonical_team,2019–20 Coppa Italia
1920,Verona,2019-08-18,Coppa Italia,H,Cremonese,canonical_team,2019–20 Coppa Italia
1920,Cremonese,2019-12-03,Coppa Italia,H,Empoli,canonical_team,2019–20 Coppa Italia
1920,Empoli,2019-12-03,Coppa Italia,A,Cremonese,canonical_team,2019–20 Coppa Italia
1920,Fiorentina,2019-12-03,Coppa Italia,H,Cittadella,canonical_team,2019–20 Coppa Italia
1920,Genoa,2019-12-03,Coppa Italia,H,Ascoli,canonical_team,2019–20 Coppa Italia
1920,Bologna,2019-12-04,Coppa Italia,A,Udinese,canonical_team,2019–20 Coppa Italia
1920,Lecce,2019-12-04,Coppa Italia,A,Spal,canonical_team,2019–20 Coppa Italia
1920,Sassuolo,2019-12-04,Coppa Italia,H,Perugia,canonical_team,2019–20 Coppa Italia
1920,Spal,2019-12-04,Coppa Italia,H,Lecce,canonical_team,2019–20 Coppa Italia
