season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Atalanta,2017-09-14,Europa League,H,Everton,canonical_team,2017–18 UEFA Europa League group stage
1718,Lazio,2017-09-14,Europa League,A,Vitesse,canonical_team,2017–18 UEFA Europa League group stage
1718,Milan,2017-09-14,Europa League,A,Austria Wien,canonical_team,2017–18 UEFA Europa League group stage
1718,Atalanta,2017-09-28,Europa League,A,Lyon,canonical_team,2017–18 UEFA Europa League group stage
1718,Lazio,2017-09-28,Europa League,H,Zulte Waregem,canonical_team,2017–18 UEFA Europa League group stage
1718,Milan,2017-09-28,Europa League,H,Rijeka,canonical_team,2017–18 UEFA Europa League group stage
1718,Atalanta,2017-10-19,Europa League,H,Apollon Limassol,canonical_team,2017–18 UEFA Europa League group stage
1718,Lazio,2017-10-19,Europa League,A,Nice,canonical_team,2017–18 UEFA Europa League group stage
1718,Milan,2017-10-19,Europa League,H,AEK Athens,canonical_team,2017–18 UEFA Europa League group stage
1718,Atalanta,2017-11-02,Europa League,A,Apollon Limassol,canonical_team,2017–18 UEFA Europa League group stage
1718,Lazio,2017-11-02,Europa League,H,Nice,canonical_team,2017–18 UEFA Europa League group stage
1718,Milan,2017-11-02,Europa League,A,AEK Athens,canonical_team,2017–18 UEFA Europa League group stage
1718,Atalanta,2017-11-23,Europa League,A,Everton,canonical_team,2017–18 UEFA Europa League group stage
1718,Lazio,2017-11-23,Europa League,H,Vitesse,canonical_team,2017–18 UEFA Europa League group stage
1718,Milan,2017-11-23,Europa League,H,Austria Wien,canonical_team,2017–18 UEFA Europa League group stage
1718,Atalanta,2017-12-07,Europa League,H,Lyon,canonical_team,2017–18 UEFA Europa League group stage
1718,Lazio,2017-12-07,Europa League,A,Zulte Waregem,canonical_team,2017–18 UEFA Europa League group stage
1718,Milan,2017-12-07,Europa League,A,Rijeka,canonical_team,2017–18 UEFA Europa League group stage
1718,Atalanta,2018-02-15,Europa League,A,Borussia Dortmund,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lazio,2018-02-15,Europa League,A,FCSB,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Milan,2018-02-15,Europa League,A,Ludogorets Razgrad,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Napoli,2018-02-15,Europa League,H,RB Leipzig,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Atalanta,2018-02-22,Europa League,H,Borussia Dortmund,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lazio,2018-02-22,Europa League,H,FCSB,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Milan,2018-02-22,Europa League,H,Ludogorets Razgrad,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Napoli,2018-02-22,Europa League,A,RB Leipzig,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lazio,2018-03-08,Europa League,H,Dynamo Kyiv,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Milan,2018-03-08,Europa League,H,Arsenal,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lazio,2018-03-15,Europa League,A,Dynamo Kyiv,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Milan,2018-03-15,Europa League,A,Arsenal,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lazio,2018-04-05,Europa League,H,Red Bull Salzburg,canonical_team,2017–18 UEFA Europa League knockout phase
1718,Lazio,2018-04-12,Europa League,A,Red Bull Salzburg,canonical_team,2017–18 UEFA Europa League knockout phase
1819,Lazio,2018-09-20,Europa League,H,Apollon Limassol,canonical_team,2018–19 UEFA Europa League group stage
1819,Milan,2018-09-20,Europa League,A,F91 Dudelange,canonical_team,2018–19 UEFA Europa League group stage
1819,Lazio,2018-10-04,Europa League,A,Eintracht Frankfurt,canonical_team,2018–19 UEFA Europa League group stage
1819,Milan,2018-10-04,Europa League,H,Olympiacos,canonical_team,2018–19 UEFA Europa League group stage
1819,Lazio,2018-10-25,Europa League,A,Marseille,canonical_team,2018–19 UEFA Europa League group stage
1819,Milan,2018-10-25,Europa League,H,Real Betis,canonical_team,2018–19 UEFA Europa League group stage
1819,Lazio,2018-11-08,Europa League,H,Marseille,canonical_team,2018–19 UEFA Europa League group stage
1819,Milan,2018-11-08,Europa League,A,Real Betis,canonical_team,2018–19 UEFA Europa League group stage
1819,Lazio,2018-11-29,Europa League,A,Apollon Limassol,canonical_team,2018–19 UEFA Europa League group stage
1819,Milan,2018-11-29,Europa League,H,F91 Dudelange,canonical_team,2018–19 UEFA Europa League group stage
1819,Lazio,2018-12-13,Europa League,H,Eintracht Frankfurt,canonical_team,2018–19 UEFA Europa League group stage
1819,Milan,2018-12-13,Europa League,A,Olympiacos,canonical_team,2018–19 UEFA Europa League group stage
1819,Inter,2019-02-14,Europa League,A,Rapid Wien,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Lazio,2019-02-14,Europa League,H,Sevilla,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Napoli,2019-02-14,Europa League,A,Zürich,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Lazio,2019-02-20,Europa League,A,Sevilla,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Inter,2019-02-21,Europa League,H,Rapid Wien,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Napoli,2019-02-21,Europa League,H,Zürich,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Inter,2019-03-07,Europa League,A,Eintracht Frankfurt,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Napoli,2019-03-07,Europa League,H,Red Bull Salzburg,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Inter,2019-03-14,Europa League,H,Eintracht Frankfurt,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Napoli,2019-03-14,Europa League,A,Red Bull Salzburg,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Napoli,2019-04-11,Europa League,A,Arsenal,canonical_team,2018–19 UEFA Europa League knockout phase
1819,Napoli,2019-04-18,Europa League,H,Arsenal,canonical_team,2018–19 UEFA Europa League knockout phase
1920,Lazio,2019-09-19,Europa League,A,CFR Cluj,canonical_team,2019–20 UEFA Europa League group stage
1920,Roma,2019-09-19,Europa League,H,İstanbul Başakşehir,canonical_team,2019–20 UEFA Europa League group stage
1920,Lazio,2019-10-03,Europa League,H,Rennes,canonical_team,2019–20 UEFA Europa League group stage
1920,Roma,2019-10-03,Europa League,A,Wolfsberger AC,canonical_team,2019–20 UEFA Europa League group stage
1920,Lazio,2019-10-24,Europa League,A,Celtic,canonical_team,2019–20 UEFA Europa League group stage
1920,Roma,2019-10-24,Europa League,H,Borussia Mönchengladbach,canonical_team,2019–20 UEFA Europa League group stage
1920,Lazio,2019-11-07,Europa League,H,Celtic,canonical_team,2019–20 UEFA Europa League group stage
1920,Roma,2019-11-07,Europa League,A,Borussia Mönchengladbach,canonical_team,2019–20 UEFA Europa League group stage
1920,Lazio,2019-11-28,Europa League,H,CFR Cluj,canonical_team,2019–20 UEFA Europa League group stage
1920,Roma,2019-11-28,Europa League,A,İstanbul Başakşehir,canonical_team,2019–20 UEFA Europa League group stage
1920,Lazio,2019-12-12,Europa League,A,Rennes,canonical_team,2019–20 UEFA Europa League group stage
1920,Roma,2019-12-12,Europa League,H,Wolfsberger AC,canonical_team,2019–20 UEFA Europa League group stage
1920,Inter,2020-02-20,Europa League,A,Ludogorets Razgrad,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Roma,2020-02-20,Europa League,H,Gent,canonical_team,2019–20 UEFA Europa League knockout phase
1920,Inter,2020-02-27,Europa League,H,Ludogorets Razgrad,canonical_team,2019–20 UEFA Europa League knockout phase
