season,team,date,competition,home_away,opponent,metodo_nome,pagina
1718,Milan,2017-07-27,Europa League (qual.),A,Universitatea Craiova,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Milan,2017-08-03,Europa League (qual.),H,Universitatea Craiova,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Milan,2017-08-17,Europa League (qual.),H,Shkëndija,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1718,Milan,2017-08-24,Europa League (qual.),A,Shkëndija,canonical_team,2017–18 UEFA Europa League qualifying phase and play-off round
1819,Atalanta,2018-07-26,Europa League (qual.),H,Sarajevo,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Atalanta,2018-08-02,Europa League (qual.),A,Sarajevo,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Atalanta,2018-08-09,Europa League (qual.),A,Hapoel Haifa,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Atalanta,2018-08-16,Europa League (qual.),H,Hapoel Haifa,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Atalanta,2018-08-23,Europa League (qual.),H,Copenhagen,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1819,Atalanta,2018-08-30,Europa League (qual.),A,Copenhagen,canonical_team,2018–19 UEFA Europa League qualifying phase and play-off round
1920,Torino,2019-07-25,Europa League (qual.),H,Debrecen,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Torino,2019-08-01,Europa League (qual.),A,Debrecen,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Torino,2019-08-08,Europa League (qual.),H,Shakhtyor Soligorsk,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Torino,2019-08-15,Europa League (qual.),A,Shakhtyor Soligorsk,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Torino,2019-08-22,Europa League (qual.),H,Wolverhampton Wanderers,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
1920,Torino,2019-08-29,Europa League (qual.),A,Wolverhampton Wanderers,canonical_team,2019–20 UEFA Europa League qualifying phase and play-off round
2021,Milan,2020-09-17,Europa League (qual.),A,Shamrock Rovers,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Milan,2020-09-24,Europa League (qual.),H,Bodø/Glimt,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
2021,Milan,2020-10-01,Europa League (qual.),A,Rio Ave,canonical_team,2020–21 UEFA Europa League qualifying phase and play-off round
