league,season,team,squad_value_tm,squad_size,avg_age,fonte,recuperato_il,rapporto_TM_su_playerscores_mediano_lega
bundesliga,2526,Augsburg,168450000,30,26.0,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.131
bundesliga,2526,FC Koln,156550000,31,26.0,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.131
bundesliga,2526,Hamburg,179400000,33,25.1,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.131
bundesliga,2526,Hoffenheim,278750000,31,25.5,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.131
bundesliga,2526,St Pauli,64250000,32,26.3,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.131
ligue_1,2526,Angers,78800000,25,26.2,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Auxerre,92700000,30,24.5,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Le Havre,75000000,29,25.4,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Lens,236800000,30,26.5,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Lorient,127750000,27,26.0,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Lyon,300800000,31,25.1,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Metz,65250000,29,25.7,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Nantes,110300000,31,27.0,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Nice,183850000,32,25.7,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Paris FC,153450000,32,28.6,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
ligue_1,2526,Toulouse,165300000,26,24.2,transfermarkt.com/{lega}/startseite/wettbewerb/{cod}/plus/?saison_id=2025,2026-07-24,1.286
