club_id,club_name,n,conf,tasso
1,1. FC Saarbrücken,31,1,0.03225806451612903
1,FC Saarbrücken,1,0,0.0
2,1. FC Kaiserslautern,103,14,0.13592233009708737
2,Kaiserslautern,5,0,0.0
3,1. FC Köln,128,119,0.9296875
3,1. Köln,1,1,1.0
3,FC Köln,1,0,0.0
3,Köln,2,0,0.0
4,1. FC Nurnberg,1,1,1.0
4,1. FC Nürnberg,126,49,0.3888888888888889
4,1.FC Nürnberg,1,0,0.0
4,FC Nürnberg,1,1,1.0
4,Nürnberg,11,6,0.5454545454545454
5,AC Milan,175,151,0.8628571428571429
5,Milan,9,8,0.8888888888888888
6,Adanaspor,113,15,0.13274336283185842
7,Al Ahly,30,2,0.06666666666666667
7,Al-Ahly SC,1,0,0.0
9,Kalamata,78,1,0.01282051282051282
10,Arminia Bielefeld,84,47,0.5595238095238095
11,Arsenal,131,97,0.7404580152671756
12,Roma,210,181,0.861904761904762
13,Atlético Madrid,136,115,0.8455882352941176
14,Austria Vienna,1,1,1.0
15,Bayer 04 Leverkusen,1,1,1.0
15,Bayer Leverkusen,124,113,0.9112903225806451
16,Borussia Dortmund,123,115,0.9349593495934959
18,Borussia Mönchengladbach,94,88,0.9361702127659575
19,Brescia,113,43,0.3805309734513274
20,Bursaspor,143,90,0.6293706293706294
22,Derby,1,0,0.0
22,Derby County,110,32,0.2909090909090909
23,Eintracht Braunschweig,101,20,0.19801980198019803
24,Eintracht Frankfurt,160,152,0.95
25,Energie Cottbus,30,1,0.03333333333333333
26,Basel,109,41,0.3761467889908257
26,FC Basel,12,8,0.6666666666666666
27,Bayern Munich,124,117,0.9435483870967742
27,Bayern Munich II,78,50,0.6410256410256411
29,Everton,131,107,0.816793893129771
30,FC Hansa Rostock,1,0,0.0
30,Hansa Rostock,73,4,0.0547945205479452
31,Liverpool,132,109,0.8257575757575758
33,Schalke 04,160,124,0.775
35,FC St. Pauli,89,38,0.42696629213483145
35,St. Pauli,13,7,0.5384615384615384
36,Fenerbahçe,179,157,0.8770949720670391
38,Fortuna Düsseldorf,137,58,0.4233576642335766
39,1. FSV Mainz 05,3,3,1.0
39,Mainz,1,1,1.0
39,Mainz 05,141,129,0.9148936170212766
40,Bordeaux,130,93,0.7153846153846154
41,Hamburger,1,0,0.0
41,Hamburger SV,142,90,0.6338028169014085
42,Hannover 96,124,71,0.5725806451612904
43,Heart of Midlothian,155,141,0.9096774193548387
44,Hertha BSC,120,101,0.8416666666666667
46,Inter,6,3,0.5
46,Inter Milan,187,151,0.8074866310160428
48,Karlsruher SC,86,7,0.08139534883720931
52,MSV Duisburg,63,2,0.031746031746031744
56,Rot-Weiss Essen,30,0,0.0
58,Anderlecht,199,175,0.8793969849246231
58,RSC Anderlecht,1,1,1.0
60,Freiburg,1,1,1.0
60,SC Freiburg,121,113,0.9338842975206612
60,SC Freiburg II,82,62,0.7560975609756098
61,Servette,74,29,0.3918918918918919
62,SK Slavia Prague,2,0,0.0
62,Slavia Prague,96,52,0.5416666666666666
64,SV Elversberg,33,5,0.15151515151515152
65,Greuther Fürth,119,41,0.3445378151260504
69,SSV Ulm,16,3,0.1875
69,SSV Ulm 1846,2,0,0.0
72,1860 Munich,60,6,0.1
72,TSV 1860 Munich,5,0,0.0
77,FK Vardar,2,0,0.0
77,Vardar,21,3,0.14285714285714285
78,VfB Lübeck,10,0,0.0
79,Stuttgart,1,1,1.0
79,VfB Stuttgart,167,148,0.8862275449101796
80,Bochum,3,1,0.3333333333333333
80,VFL Bochum,1,0,0.0
80,VfL Bochum,126,71,0.5634920634920635
81,VfL Osnabrück,59,1,0.01694915254237288
82,VfL Wolfsburg,127,117,0.9212598425196851
82,Wolfsburg,2,2,1.0
84,Debreceni,3,0,0.0
84,Debreceni VSC,3,0,0.0
86,Werder Bremen,131,121,0.9236641221374046
89,Union Berlin,140,109,0.7785714285714286
94,Erzgebirge Aue,40,3,0.075
95,KFC,1,0,0.0
95,KFC Uerdingen,11,0,0.0
95,KFC Uerdingen 05,11,1,0.09090909090909091
95,Uerdingen 05,3,0,0.0
105,Darmstadt,3,1,0.3333333333333333
105,Darmstadt 98,116,76,0.6551724137931034
105,SV Darmstadt,3,1,0.3333333333333333
105,SV Darmstadt 98,1,1,1.0
107,Kickers Offenbach,13,0,0.0
108,SV Wehen Wiesbaden,22,0,0.0
108,Wehen Wiesbaden,22,1,0.045454545454545456
109,Jahn Regensburg,51,2,0.0392156862745098
109,SSV Jahn Regensburg,2,0,0.0
114,Beşiktaş,180,167,0.9277777777777778
119,Maccabi Tel Aviv,90,23,0.25555555555555554
120,Kocaelispor,69,24,0.34782608695652173
122,Sturm Graz,96,37,0.3854166666666667
124,Rangers,168,134,0.7976190476190477
126,Rizespor,3,2,0.6666666666666666
126,Çaykur Rizespor,197,175,0.8883248730964467
127,Paderborn,3,0,0.0
127,Paderborn 07,2,1,0.5
127,SC Paderborn,94,45,0.4787234042553192
127,SC Paderborn 07,3,2,0.6666666666666666
128,Xanthi,92,55,0.5978260869565217
129,Dynamo Dresden,69,2,0.028985507246376812
130,Parma,224,159,0.7098214285714286
131,Barcelona,123,108,0.8780487804878049
131,Barcelona SC,13,0,0.0
132,NAC,18,12,0.6666666666666666
132,NAC Breda,163,110,0.6748466257668712
133,Cambuur,125,81,0.648
133,SC Cambuur,16,14,0.875
141,Galatasaray,183,170,0.9289617486338798
141,Galatasaray SK,1,1,1.0
142,Real Zaragoza,6,1,0.16666666666666666
142,Zaragoza,125,15,0.12
144,HNK Rijeka,1,0,0.0
144,Rijeka,112,40,0.35714285714285715
148,Tottenham Hotspur,140,111,0.7928571428571428
150,Betis,121,114,0.9421487603305785
150,Real Betis,18,18,1.0
152,Samsunspor,129,44,0.34108527131782945
156,Levski Sofia,80,9,0.1125
157,Gent,180,164,0.9111111111111111
157,KAA Gent,1,1,1.0
159,Red Star Belgrade,122,51,0.4180327868852459
159,Red Star FC,1,0,0.0
162,AS Monaco,2,0,0.0
162,Monaco,169,149,0.8816568047337278
163,FC Vaduz,7,2,0.2857142857142857
163,Vaduz,18,2,0.1111111111111111
164,Blackburn Rovers,110,25,0.22727272727272727
167,Augsburg,14,13,0.9285714285714286
167,FC Augsburg,122,119,0.9754098360655737
169,Panionios,136,106,0.7794117647058824
170,Rapid Vienna,2,1,0.5
171,Real Murcia,7,0,0.0
172,Charleroi,131,122,0.9312977099236641
172,Royal Charleroi,6,6,1.0
172,Sporting Charleroi,12,12,1.0
180,Southampton,139,117,0.841726618705036
187,1. FC Magdeburg,52,5,0.09615384615384616
187,FC Magdeburg,1,0,0.0
187,Magdeburg,1,0,0.0
189,Boca Juniors,90,5,0.05555555555555555
190,Copenhagen,144,136,0.9444444444444444
190,FC Copenhagen,3,3,1.0
192,Roda JC,111,48,0.43243243243243246
192,Roda JC Kerkrade,35,22,0.6285714285714286
192,Roda Kerkrade,1,1,1.0
195,Rosenborg,74,29,0.3918918918918919
195,Rosenborg 2,1,0,0.0
197,Sparta Prague,103,53,0.5145631067961165
200,FC Utrecht,29,29,1.0
200,Utrecht,152,147,0.9671052631578947
202,FC Groningen,17,16,0.9411764705882353
202,Groningen,143,134,0.9370629370629371
204,Lierse,86,42,0.4883720930232558
204,Lierse SK,1,0,0.0
206,Brøndby,130,121,0.9307692307692308
206,Brøndby IF,5,5,1.0
208,CSKA Sofia,87,8,0.09195402298850575
209,River Plate,97,17,0.17525773195876287
220,FC Gütersloh,3,0,0.0
220,FC Gütersloh 2000,1,0,0.0
220,Gütersloh,2,1,0.5
235,RKC,20,14,0.7
235,RKC Waalwijk,110,94,0.8545454545454545
235,Waalwijk,4,3,0.75
237,Mallorca,147,92,0.6258503401360545
238,Lech Poznań,95,30,0.3157894736842105
239,Viking,58,30,0.5172413793103449
239,Viking 2,4,1,0.25
239,Viking FK,1,0,0.0
239,Viking FK 2,1,0,0.0
244,Marseille,177,176,0.9943502824858758
244,Olympique Marseille,1,1,1.0
252,Genoa,285,247,0.8666666666666667
252,Genoa CFC,1,1,1.0
253,FC Torpedo Kutaisi,1,0,0.0
253,Torpedo Kutaisi,45,3,0.06666666666666667
254,SV Sandhausen,76,11,0.14473684210526316
254,Sandhausen,1,0,0.0
257,FC St. Gallen,4,0,0.0
257,St. Gallen,75,19,0.25333333333333335
260,FC Zürich,16,3,0.1875
260,Zürich,61,9,0.14754098360655737
265,Panathinaikos,184,170,0.9239130434782609
269,Holstein Kiel,86,31,0.36046511627906974
271,Litex Lovech,9,0,0.0
271,Lovech,1,0,0.0
273,Rennes,170,157,0.9235294117647059
273,Stade Rennais,1,1,1.0
276,Hellas Verona,211,193,0.9146919431279621
276,Verona,50,38,0.76
279,Ferencvárosi TC,1,0,0.0
281,Manchester City,172,95,0.5523255813953488
282,FK Sarajevo,1,0,0.0
282,Sarajevo,53,12,0.22641509433962265
289,Sunderland,153,100,0.6535947712418301
290,Auxerre,132,64,0.48484848484848486
293,FSV Frankfurt,37,3,0.08108108108108109
294,Benfica,172,149,0.8662790697674418
301,FCSB,80,41,0.5125
306,Heerenveen,136,127,0.9338235294117647
306,SC Heerenveen,26,23,0.8846153846153846
306,sc Heerenveen,1,1,1.0
312,Dinamo,3,0,0.0
312,Dinamo-2,1,0,0.0
317,FC Twente,21,17,0.8095238095238095
317,Twente,147,137,0.9319727891156463
318,Ruch Chorzów,24,0,0.0
321,FC Sion,1,1,1.0
321,Sion,74,1,0.013513513513513514
324,Pogoń Szczecin,55,0,0.0
327,NK Osijek,2,1,0.5
327,Osijek,66,11,0.16666666666666666
331,Osasuna,89,79,0.8876404494382022
332,Bari,172,8,0.046511627906976744
332,FC Bari,1,0,0.0
336,Sporting,4,3,0.75
336,Sporting CP,158,146,0.9240506329113924
337,Birmingham City,141,34,0.24113475177304963
338,Dynamo Kyiv,133,89,0.6691729323308271
338,Dynamo-2 Kyiv,22,5,0.22727272727272727
338,FC Dynamo Kyiv,1,0,0.0
338,FC Dynamo-2 Kyiv,1,0,0.0
339,Dnipro Dnipropetrovsk,23,14,0.6086956521739131
339,Dnipro-2 Dnipropetrovsk,1,0,0.0
347,Metz,163,142,0.8711656441717791
349,Barnsley,122,21,0.1721311475409836
350,Sheffield United,134,79,0.5895522388059702
352,Swindon Town,81,9,0.1111111111111111
354,KV Mechelen,23,21,0.9130434782608695
354,Mechelen,126,120,0.9523809523809523
355,Bolton Wanderers,114,7,0.06140350877192982
358,Charlton Athletic,150,25,0.16666666666666666
362,Akademisk Boldklub,1,0,0.0
365,Spartak Trnava,51,6,0.11764705882352941
366,Real Valladolid,6,3,0.5
366,Valladolid,149,104,0.697986577181208
367,Rayo Vallecano,126,110,0.873015873015873
368,Sevilla,171,165,0.9649122807017544
369,Lyngby,109,94,0.8623853211009175
369,Lyngby BK,10,8,0.8
369,Lyngby Boldklub,1,1,1.0
370,Aberdeen,154,142,0.922077922077922
371,Celtic,165,143,0.8666666666666667
377,Baník Ostrava,46,28,0.6086956521739131
377,FC Baník Ostrava,2,0,0.0
379,West Ham United,155,143,0.9225806451612903
380,Salernitana,192,89,0.4635416666666667
383,PSV,138,123,0.8913043478260869
383,PSV Eindhoven,14,13,0.9285714285714286
384,MVV Maastricht,22,2,0.09090909090909091
398,Lazio,126,111,0.8809523809523809
399,Leeds United,142,72,0.5070422535211268
403,Willem II,170,150,0.8823529411764706
403,Willem II Tilburg,2,0,0.0
404,Den Bosch,55,10,0.18181818181818182
404,FC Den Bosch,17,4,0.23529411764705882
405,Aston Villa,173,137,0.791907514450867
408,Ascoli,137,2,0.014598540145985401
