league,home,away,home_smarkets,away_smarkets,kickoff_utc,event_id,as_of,home_promossa,away_promossa,lam,mu,home_win,draw,away_win,dc_1x,dc_12,dc_2x,over_1.5,over_2.5,over_3.5,over_4.5,over_0.5,btts,odd_total,home_ov_0.5,home_ov_1.5,away_ov_0.5,away_ov_1.5,cs_home,cs_away,wtn_home,wtn_away,home_by_2plus,away_by_2plus,mg_0_1,mg_2_3,mg_4plus
bundesliga,Bayern Munich,Stuttgart,Bayern Munich,Stuttgart,2026-08-28T18:30:00Z,45173191,2026-08-28,False,False,3.0608,1.2968,0.72276,0.15102,0.12622,0.87378,0.84898,0.27724,0.93541,0.8097,0.63299,0.44049,0.98313,0.69661,0.4918,0.95313,0.80969,0.7266,0.37206,0.2734,0.04687,0.25652,0.03,0.53736,0.05001,0.06459,0.30242,0.63299
bundesliga,Elversberg,Leverkusen,SV Elversberg,Bayer Leverkusen,2026-08-29T13:30:00Z,45173193,2026-08-28,True,False,0.9157,1.9798,0.15911,0.22714,0.61374,0.38626,0.77286,0.84089,0.79268,0.55298,0.32935,0.16748,0.93673,0.52493,0.48248,0.59976,0.23327,0.8619,0.58848,0.1381,0.40024,0.07484,0.33697,0.05446,0.37818,0.20732,0.46332,0.32935
bundesliga,Mainz,Paderborn,Mainz,SC Paderborn 07,2026-08-29T13:30:00Z,45173196,2026-08-28,False,True,1.8482,0.7433,0.62845,0.23546,0.1361,0.8639,0.76454,0.37155,0.73918,0.47944,0.26215,0.12138,0.91688,0.45006,0.48077,0.84248,0.55135,0.52446,0.17099,0.47554,0.15752,0.39242,0.0744,0.37867,0.04055,0.26082,0.47703,0.26215
bundesliga,FC Koln,Hoffenheim,Köln,Hoffenheim,2026-08-29T13:30:00Z,45173201,2026-08-28,False,False,1.6203,1.6683,0.36652,0.24672,0.38676,0.61324,0.75328,0.63348,0.84805,0.63827,0.41713,0.23533,0.95465,0.65894,0.48321,0.80216,0.4816,0.81143,0.49684,0.18857,0.19784,0.14322,0.15249,0.18609,0.20075,0.15195,0.43092,0.41713
bundesliga,RB Leipzig,M'gladbach,RB Leipzig,Borussia Mönchengladbach,2026-08-29T13:30:00Z,45173203,2026-08-28,False,False,2.1279,1.1332,0.59379,0.21873,0.18748,0.81252,0.78127,0.40621,0.84398,0.6327,0.41105,0.23034,0.95428,0.60464,0.48451,0.88091,0.6275,0.67801,0.31312,0.32199,0.11909,0.27626,0.07337,0.37267,0.07316,0.15602,0.43293,0.41105
bundesliga,Union Berlin,Ein Frankfurt,Union Berlin,Eintracht Frankfurt,2026-08-29T13:30:00Z,45173204,2026-08-28,False,False,1.4037,1.4911,0.34735,0.26622,0.38643,0.61357,0.73378,0.65265,0.79381,0.55283,0.32921,0.16738,0.93545,0.59373,0.48,0.7543,0.40943,0.77488,0.4392,0.22512,0.2457,0.16057,0.18115,0.16386,0.19093,0.20619,0.4646,0.32921
bundesliga,Dortmund,Hamburg,Borussia Dortmund,Hamburger SV,2026-08-29T16:30:00Z,45173188,2026-08-28,False,False,2.304,0.8628,0.69069,0.19134,0.11797,0.88203,0.80866,0.30931,0.83109,0.61311,0.39006,0.21347,0.95118,0.52698,0.48574,0.90014,0.67005,0.57802,0.21394,0.42198,0.09986,0.37315,0.05104,0.46595,0.03798,0.16891,0.44103,0.39006
bundesliga,Freiburg,Werder Bremen,SC Freiburg,Werder Bremen,2026-08-30T13:30:00Z,45173192,2026-08-28,False,False,1.6888,1.1359,0.49384,0.25901,0.24715,0.75285,0.74099,0.50616,0.78218,0.53642,0.31357,0.15619,0.9316,0.56254,0.48008,0.81526,0.50326,0.67888,0.31411,0.32112,0.18474,0.25271,0.11634,0.2705,0.09989,0.21782,0.46861,0.31357
bundesliga,Augsburg,Schalke 04,Augsburg,FC Schalke 04,2026-08-30T15:30:00Z,45173198,2026-08-28,False,True,1.7064,0.9221,0.5496,0.2572,0.1932,0.8068,0.7428,0.4504,0.74715,0.48872,0.27023,0.12665,0.91876,0.50206,0.47927,0.81849,0.50875,0.60233,0.23562,0.39767,0.18151,0.31643,0.10027,0.30955,0.06765,0.25285,0.47692,0.27023
la_liga,Alaves,Getafe,Alaves,Getafe,2026-08-15T17:30:00Z,45169641,2026-08-15,False,False,1.0751,0.7884,0.41969,0.31453,0.26578,0.73422,0.68547,0.58031,0.5544,0.28641,0.11911,0.04117,0.84622,0.35791,0.49069,0.65872,0.29183,0.54541,0.18703,0.45459,0.34128,0.30081,0.1875,0.17014,0.08242,0.4456,0.43529,0.11911
