Codice statistica (diretta.it/Flashscore),Etichetta italiana,Nota
ASSISTS_GOAL,Assist,Somma stagionale nel foglio riepilogo
BALL_RECOVERIES,Palloni recuperati,Somma stagionale nel foglio riepilogo
BIG_CHANCES_CREATED,Grandi occasioni create,Somma stagionale nel foglio riepilogo
BIG_CHANCES_MISSED,Grandi occasioni fallite,Somma stagionale nel foglio riepilogo
BIG_CHANCES_SAVED,Grandi occasioni parate,Somma stagionale nel foglio riepilogo
BOX_ENTRIES_ACCURATE,Ingressi in area riusciti,Somma stagionale nel foglio riepilogo
BOX_ENTRIES_EFFICIENCY,Ingressi in area (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
BOX_ENTRIES_TOTAL,Ingressi in area totali,Somma stagionale nel foglio riepilogo
CARDS_RED,Cartellini rossi,Somma stagionale nel foglio riepilogo
CARDS_YELLOW,Cartellini gialli,Somma stagionale nel foglio riepilogo
CARDS_YELLOW_SECOND,Secondo cartellino giallo,Somma stagionale nel foglio riepilogo
CHALLENGE_LOST,Dribbling subiti,Somma stagionale nel foglio riepilogo
CLEARANCES,Respinte difensive,Somma stagionale nel foglio riepilogo
CLEARANCES_OFF_LINE,Salvataggi sulla linea,Somma stagionale nel foglio riepilogo
CROSSES_ACCURACY,Cross riusciti (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
CROSSES_ACCURATE,Cross riusciti,Somma stagionale nel foglio riepilogo
CROSSES_TOTAL,Cross totali,Somma stagionale nel foglio riepilogo
DRIBBLES_EFFICIENCY,Dribbling riusciti (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
DRIBBLES_TOTAL,Dribbling tentati,Somma stagionale nel foglio riepilogo
DRIBBLES_WON,Dribbling riusciti,Somma stagionale nel foglio riepilogo
DUELS_AERIAL_EFFICIENCY,Duelli aerei vinti (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
DUELS_AERIAL_TOTAL,Duelli aerei totali,Somma stagionale nel foglio riepilogo
DUELS_AERIAL_WON,Contrasti aerei vinti,Somma stagionale nel foglio riepilogo
DUELS_EFFICIENCY,Duelli vinti (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
DUELS_GROUND_EFFICIENCY,Duelli a terra vinti (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
DUELS_GROUND_TOTAL,Duelli a terra totali,Somma stagionale nel foglio riepilogo
DUELS_GROUND_WON,Contrasti a terra vinti,Somma stagionale nel foglio riepilogo
DUELS_TOTAL,Contrasti,Somma stagionale nel foglio riepilogo
DUELS_WON,Contrasti vinti,Somma stagionale nel foglio riepilogo
ERRORS_LEAD_TO_GOAL,Errori che hanno portato al gol,Somma stagionale nel foglio riepilogo
ERRORS_LEAD_TO_SHOT,Errori che hanno portato al tiro,Somma stagionale nel foglio riepilogo
EXPECTED_ASSISTS,Assist previsti (xA),Somma stagionale nel foglio riepilogo
EXPECTED_GOALS,Goal previsti (xG),Somma stagionale nel foglio riepilogo
EXPECTED_GOALS_ON_TARGET,xG sui Tiri in porta (xGOT),Somma stagionale nel foglio riepilogo
EXPECTED_GOALS_ON_TARGET_FACED,xGot affrontati,Somma stagionale nel foglio riepilogo
FINAL_THIRD_ENTRIES_EFFICIENCY,Ingressi nel terzo finale (%),Percentuale 0-100. Nel riepilogo ricalcolata sui totali stagionali.
FINAL_THIRD_ENTRIES_SUCCESSFUL,Ingressi nel terzo finale riusciti,Somma stagionale nel foglio riepilogo
