Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,15',Casa,Sostituzione - Esce,Ferrer M.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,15',Casa,Sostituzione - Entra,Sampedro I.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,39',Ospite,Gol,Stuani C.,0-1,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,39',Ospite,Assist,Portu,0-1,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,40',Casa,Sostituzione - Esce,Sampedro I.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,40',Casa,Sostituzione - Entra,Ojeda I.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,44',Ospite,Cartellino Giallo,Portu,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1 Tempo,45',Casa,Cartellino Giallo,Ramon M.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,59',Ospite,Sostituzione - Esce,Vitor Reis,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,59',Ospite,Sostituzione - Entra,Martinez A.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,59',Ospite,Sostituzione - Esce,Portu,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,59',Ospite,Sostituzione - Entra,Tsygankov V.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,66',Ospite,Sostituzione - Esce,Ruiz A.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,66',Ospite,Sostituzione - Entra,Gil B.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,73',Casa,Sostituzione - Esce,Baleani N.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,73',Casa,Sostituzione - Entra,Oliver P.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,73',Casa,Sostituzione - Esce,Ramon M.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,73',Casa,Sostituzione - Entra,Estrany J.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,73',Casa,Sostituzione - Esce,Ramis T.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,73',Casa,Sostituzione - Entra,Socias J.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,75',Ospite,Sostituzione - Esce,Stuani C.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,75',Ospite,Sostituzione - Entra,Vanat V.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,75',Ospite,Sostituzione - Esce,Asprilla Y.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,75',Ospite,Sostituzione - Entra,Lemar T.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,77',Casa,Gol,Socias J.,1-1,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,77',Casa,Assist,Horrach B.,1-1,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,84',Casa,Cartellino Giallo,Socias J.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2 Tempo,90+4',Casa,Cartellino Giallo,Gaya J.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,91',Ospite,Sostituzione - Esce,Solis Romero J. E.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,91',Ospite,Sostituzione - Entra,Martin I.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,96',Casa,Sostituzione - Esce,Horrach B.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,96',Casa,Sostituzione - Entra,Jhardi L.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,103',Ospite,Gol,Tsygankov V.,1-2,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,103',Ospite,Assist,Vanat V.,1-2,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,104',Ospite,Cartellino Giallo,Kourouma L.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,105',Casa,Cartellino Giallo,Buades M.,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,108',Ospite,Gol,Vanat V.,1-3,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,108',Ospite,Assist,Lemar T.,1-3,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,120',Casa,Gol,Garcia P.,2-3,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1 Tempo,17',Ospite,Rigore Assegnato,Brekalo J.,0-1,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1 Tempo,17',Ospite,Rigore,Brekalo J.,0-1,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1 Tempo,27',Casa,Sostituzione - Esce,Punzano I.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1 Tempo,27',Casa,Sostituzione - Entra,Ouhdadi O.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1 Tempo,45+1',Casa,Cartellino Giallo,Ouhdadi O.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,50',Ospite,Cartellino Giallo,Alhassane R.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,52',Casa,Cartellino Giallo,Bouzaig A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,53',Casa,Gol,Ramos J.,1-1,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,53',Casa,Assist,Ouhdadi O.,1-1,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,56',Ospite,Sostituzione - Esce,Brekalo J.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,56',Ospite,Sostituzione - Entra,Agudin P.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,56',Ospite,Sostituzione - Esce,Reina A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,56',Ospite,Sostituzione - Entra,Colombatto S.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,61',Ospite,Gol,Ilic L.,1-2,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,61',Ospite,Assist,Fores A.,1-2,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,62',Casa,Sostituzione - Esce,Perez A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,62',Casa,Sostituzione - Entra,Jelbat A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,62',Casa,Sostituzione - Esce,Camus M.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,62',Casa,Sostituzione - Entra,Guerrero A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,64',Ospite,Sostituzione - Esce,Ilic L.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,64',Ospite,Sostituzione - Entra,Vinas F.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,64',Ospite,Sostituzione - Esce,Alhassane R.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,64',Ospite,Sostituzione - Entra,Lopez J.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,75',Casa,Sostituzione - Esce,Aranzabe A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,75',Casa,Sostituzione - Entra,Vazquez K.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,75',Casa,Sostituzione - Esce,Munoz D.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,75',Casa,Sostituzione - Entra,Castillo N.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,81',Ospite,Sostituzione - Esce,Hassan H.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,81',Ospite,Sostituzione - Entra,Domingues B.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,90+2',Casa,Cartellino Giallo,Ramos J.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,90+3',Ospite,Cartellino Giallo,Calvo D.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,90+4',Casa,Gol,Jelbat A.,2-2,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2 Tempo,90+4',Casa,Assist,Castillo N.,2-2,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,98',Casa,Gol,Ouhdadi O.,3-2,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,98',Casa,Assist,Bouzaig A.,3-2,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,99',Ospite,Sostituzione - Esce,Fores A.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,99',Ospite,Sostituzione - Entra,Chaira I.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,99',Casa,Sostituzione - Esce,Ramos J.,,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,99',Casa,Sostituzione - Entra,Gueye L.,,x2PrjRgM
