Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,1,1.0,Segui P.,Portiere,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,2,19.0,Gaya J.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,3,4.0,Garcia M.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,4,5.0,Buades M.,Capitano,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,5,3.0,Ramos Buades D.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,6,16.0,Ramon M.,,,,73',GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,7,10.0,Baleani N.,,,,73',GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,8,21.0,Garcia P.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,9,18.0,Ramis T.,,,,73',GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,10,9.0,Ferrer M.,,,,15',GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Titolare,11,6.0,Horrach B.,,,,96',GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,1,8.0,Estrany J.,,,73',,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,2,13.0,Galmes M.,Portiere,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,3,14.0,Giaquinto A.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,4,2.0,Jhardi L.,,,96',,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,5,22.0,Ojeda I.,,,40',,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,6,12.0,Oliver P.,,,73',,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,7,15.0,Salazar Y.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,8,23.0,Sampedro I.,,,15',40',GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,9,11.0,Socias J.,,,73',,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,10,24.0,Tamarit L.,,,,,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Casa,Constancia,4-3-3,Panchina,11,20.0,Triay L.,,,,,GllYRg6t
