Copa del Rey 2025/26 — note di raccolta,Unnamed: 1,Unnamed: 2
,,
Fonte,diretta.it (Flashscore),
Partite raccolte,117,
Prima partita inclusa,28.10.2025 Atl. Tordesillas - Burgos CF (1° turno),
Ultima partita,18.04.2026 Atl. Madrid - Real Sociedad (finale),
,,
Turni esclusi (come da indicazioni),,
,"Due turni preliminari/di qualificazione, 20 partite complessive, 27.09.2025 - 04.10.2025.",
,La raccolta parte dal turno in cui entrano i club di Segunda Division.,
,,
Come e stata ricostruita la lista,,
,"La pagina risultati della Copa del Rey su diretta.it non carica gli incontri (0 righe renderizzate, piu tentativi).",
,"Il calendario e stato ricostruito dai feed calendario delle singole squadre, partendo dai club di LaLiga (21) e LaLiga2 (23)",
,ed espandendo agli avversari fino a coprire 136 club. Il totale si e stabilizzato a 117 partite mentre la ricerca si allargava.,
,I nomi dei turni non provengono dal sito: sono assegnati ordinando le partite per data e applicando le dimensioni note del tabellone,
,(56 + 28 + 16 + 8 + 4 + 4 + 1 = 117). Data e squadre sono il dato primario.,
,,
Risultati,,
,"I punteggi non sono mai sommati. Colonne separate per 90 minuti, dopo i supplementari e rigori;",
,"la colonna ""Risultato (esteso)"" li scrive per esteso, es. ""0-0, poi rigori 3-4"".",
Partite decise ai rigori,12,
Partite andate ai supplementari,27,
,,
Formazioni,,
,"Titolari, panchina e sostituzioni con il minuto per tutte e 117 le partite. Nessuna partita priva di formazioni.",
Righe formazione,5040,
"Righe eventi (gol, cartellini, cambi, rigori)",3854,
,,
Statistiche individuali dei giocatori — verifica partita per partita,,
,Verificata una per una: la disponibilita dichiarata dal sito coincide al 100% con i dati effettivamente scaricati.,
Partite con statistiche giocatore,45 su 117,
Righe statistiche,1437,
Metriche per giocatore,103,
,,
Dettaglio per turno,con statistiche,senza
1° turno,0,56
2° turno,12,16
1/16 di finale,16,0
Ottavi,8,0
Quarti,4,0
Semifinali,4,0
Finale,1,0
,Le statistiche individuali compaiono dal turno in cui entrano le squadre di LaLiga; nei primi turni tra club minori la sezione non esiste alla fonte.,
