Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1,1,2.0,3.0,,,"1-1 nei 90', 2-3 dopo i supplementari",,No,GllYRg6t
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2,2,4.0,2.0,,,"2-2 nei 90', 4-2 dopo i supplementari",,No,x2PrjRgM
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,1,1,1.0,2.0,,,"1-1 nei 90', 1-2 dopo i supplementari",,No,zci96nv3
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,0,4,,,,,0-4,,No,6g1h6wpK
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,1,3,,,,,1-3,,No,nRF8SuFs
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,0,0,0.0,0.0,3.0,4.0,"0-0, poi rigori 3-4",,No,4AKF9CjC
Copa del Rey,1° turno,28.10.2025,Inter de Valdemoro,Getafe,0,11,,,,,0-11,,No,b3vFZESO
Copa del Rey,1° turno,28.10.2025,Maracena,Valencia,0,5,,,,,0-5,,No,xY1CqJXr
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,0,3,,,,,0-3,,No,As8Xidrg
Copa del Rey,1° turno,28.10.2025,Roda,Granada,1,5,,,,,1-5,,No,fZ7tP68k
Copa del Rey,1° turno,28.10.2025,Tropezon,Cultural Leonesa,1,3,,,,,1-3,,No,MR2Pbexf
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,2,1,,,,,2-1,,No,f9tfeVlo
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,1,4,,,,,1-4,,No,bweO0iRN
Copa del Rey,1° turno,28.10.2025,Utebo FC,Huesca,0,3,,,,,0-3,,No,OYFNxBKb
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,0,4,,,,,0-4,,No,AHOtJYth
Copa del Rey,1° turno,28.10.2025,SD Negreira,Real Sociedad,0,3,,,,,0-3,,No,r34Nrqnd
Copa del Rey,1° turno,28.10.2025,Toledo,Siviglia,1,4,,,,,1-4,,No,ITUoTcm2
Copa del Rey,1° turno,28.10.2025,CD Extremadura,Las Palmas,3,1,,,,,3-1,,No,vNallEsI
Copa del Rey,1° turno,29.10.2025,Poblense,Sabadell,1,1,1.0,2.0,,,"1-1 nei 90', 1-2 dopo i supplementari",,No,WbJVzkkB
Copa del Rey,1° turno,29.10.2025,UD Los Garres,Elche,0,4,,,,,0-4,,No,bmjLsc2e
Copa del Rey,1° turno,29.10.2025,CD Sant Jordi,Osasuna,0,5,,,,,0-5,,No,lG1uQXzg
Copa del Rey,1° turno,29.10.2025,Mutilvera,Saragozza,1,3,,,,,1-3,,No,prelOB55
Copa del Rey,1° turno,29.10.2025,Ebro,Tarazona,1,1,1.0,1.0,4.0,3.0,"1-1, poi rigori 4-3",,No,Qay4ItZq
Copa del Rey,1° turno,29.10.2025,La Union,Ceuta,0,2,,,,,0-2,,No,lYr5dHoD
Copa del Rey,1° turno,29.10.2025,Sant Just,Maiorca,0,2,,,,,0-2,,No,IegdMkzI
Copa del Rey,1° turno,29.10.2025,Lorca Deportiva,Almeria,0,2,,,,,0-2,,No,rg9HQJqf
Copa del Rey,1° turno,29.10.2025,Ciudad Cieza,Cordoba,1,0,,,,,1-0,,No,2aBlNpw2
Copa del Rey,1° turno,29.10.2025,Caudal Deportivo,Gijon,0,1,,,,,0-1,,No,nyBEp5Hq
Copa del Rey,1° turno,29.10.2025,Naxara,Eibar,2,4,,,,,2-4,,No,M5RlnIhl
Copa del Rey,1° turno,29.10.2025,Azuaga,Leganes,1,4,,,,,1-4,,No,691tjzD5
Copa del Rey,1° turno,29.10.2025,Atl. Astorga,Mirandes,1,1,1.0,1.0,3.0,4.0,"1-1, poi rigori 3-4",,No,rLFcpdN0
Copa del Rey,1° turno,29.10.2025,Portugalete,Valladolid,1,0,,,,,1-0,,No,joJ5rzhD
Copa del Rey,1° turno,29.10.2025,Navalcarnero,AD Merida,2,1,,,,,2-1,,No,ITnG2DdB
Copa del Rey,1° turno,29.10.2025,Torrent,Torremolinos,3,1,,,,,3-1,,No,4t3JpuyQ
Copa del Rey,1° turno,29.10.2025,Sant Andreu,Teruel,1,1,2.0,1.0,,,"1-1 nei 90', 2-1 dopo i supplementari",,No,xdvivOe3
Copa del Rey,1° turno,29.10.2025,Numancia,Arenas Getxo,3,0,,,,,3-0,,No,IDnSIGTP
Copa del Rey,1° turno,29.10.2025,UD Ourense,Pontevedra,1,1,1.0,1.0,0.0,3.0,"1-1, poi rigori 0-3",,No,zVSbDfim
Copa del Rey,1° turno,29.10.2025,Puente Genil,Cartagena,0,1,,,,,0-1,,No,OQqjuJbm
Copa del Rey,1° turno,29.10.2025,Reus FCR,CE Europa,1,1,2.0,2.0,4.0,3.0,"2-2, poi rigori 4-3",,No,pMsax2QF
Copa del Rey,1° turno,29.10.2025,CD Yuncos,Vallecano,1,6,,,,,1-6,,No,2H4PgIDt
Copa del Rey,1° turno,29.10.2025,Ciudad de Lucena,Villarreal,0,6,,,,,0-6,,No,6kBtkuAL
Copa del Rey,1° turno,29.10.2025,Jaen,Eldense,1,3,,,,,1-3,,No,dvrbwcTa
Copa del Rey,1° turno,29.10.2025,Quintanar del Rey,UD Ibiza,1,1,1.0,1.0,4.0,3.0,"1-1, poi rigori 4-3",,No,IsSlHCB4
Copa del Rey,1° turno,30.10.2025,Puerto de Vega,Celta Vigo,0,2,,,,,0-2,,No,GnyzhmP9
Copa del Rey,1° turno,30.10.2025,Orihuela,Levante,3,4,,,,,3-4,,No,ANHXj1u9
Copa del Rey,1° turno,30.10.2025,Valle Egues,Andorra,1,5,,,,,1-5,,No,2JREvXkn
Copa del Rey,1° turno,30.10.2025,Deportivo Getxo,Alaves,0,7,,,,,0-7,,No,WOpI4Q8F
Copa del Rey,1° turno,30.10.2025,Real Avila,Real Aviles,0,0,1.0,0.0,,,"0-0 nei 90', 1-0 dopo i supplementari",,No,8rR6BYLa
Copa del Rey,1° turno,30.10.2025,Baleares,Gimnastic,2,0,,,,,2-0,,No,bDZBGK3d
Copa del Rey,1° turno,30.10.2025,UD Logrones,Ponferradina,1,3,,,,,1-3,,No,CzON7jLO
Copa del Rey,1° turno,30.10.2025,Palma del Rio,Betis,1,7,,,,,1-7,,No,xKMwVJIk
Copa del Rey,1° turno,30.10.2025,Atletic Lleida,Espanyol,1,2,,,,,1-2,,No,ENn5KT4U
Copa del Rey,1° turno,30.10.2025,UD Samano,A Coruna,1,5,,,,,1-5,,No,2PnO0H7s
Copa del Rey,1° turno,30.10.2025,CD Estepona,Malaga,1,3,,,,,1-3,,No,jJCPOcE6
Copa del Rey,1° turno,30.10.2025,Antoniano,Castellon,1,0,,,,,1-0,,No,GvgyolV8
Copa del Rey,1° turno,30.10.2025,Murcia,Antequera,1,1,1.0,1.0,2.0,1.0,"1-1, poi rigori 2-1",,No,h6y7yybC
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,0,3,,,,,0-3,,Sì,EV0Qn9sh
Copa del Rey,2° turno,02.12.2025,Ebro,Osasuna,3,5,,,,,3-5,,Sì,n7o1ffpf
Copa del Rey,2° turno,02.12.2025,Numancia,Maiorca,2,3,,,,,2-3,,Sì,KY6w2on3
Copa del Rey,2° turno,02.12.2025,Racing Club Ferrol,Huesca,0,2,,,,,0-2,,No,8zFr7XTa
Copa del Rey,2° turno,02.12.2025,Guadalajara,Ceuta,1,0,,,,,1-0,,No,ns2ALWrg
Copa del Rey,2° turno,02.12.2025,Navalcarnero,Getafe,2,2,2.0,3.0,,,"2-2 nei 90', 2-3 dopo i supplementari",,Sì,xjN8URRN
Copa del Rey,2° turno,03.12.2025,Eldense,Almeria,2,1,,,,,2-1,,No,AcfZpmC4
Copa del Rey,2° turno,03.12.2025,CF Talavera,Malaga,2,1,,,,,2-1,,No,0jmgdGFs
Copa del Rey,2° turno,03.12.2025,Mirandes,Gijon,0,2,,,,,0-2,,No,0pSqzWcn
Copa del Rey,2° turno,03.12.2025,Cultural Leonesa,Andorra,4,2,,,,,4-2,,No,rZvAhYE6
