Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Fernandez Martin,Centrocampista,Subentrato,6.5,EV0Qn9sh,0,0,0,0,1,0,0,0,-0.0073,0.666667,6,9,0.571429,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,1.0,2,1,1,0.0,0,0.8,5,4,7,0,0,0.260727,0.0,0.0,0.9927,1,1,0,1,0,-0.0073,0,0,0,0.0,0,0,14,0,0.666667,9,6,0.571429,7,4,0,0,0,0,0,0,0,0,0,1.0,2,2,3,17,1,0,0,15,2,0.0,0,2,0,0.0,0,0,1,0,0.0,0,0.0,0,0,4,0,1,2,0.0,0
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Llamazares Iker,Centrocampista,Titolare,6.1,EV0Qn9sh,0,0,0,0,3,0,0,0,0.0475,0.666667,16,24,0.454545,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,3,2,0.0,4,0,0,0.25,1,0.571429,7,4,11,0,0,0.196593,0.0851,0.0,2.0475,2,2,0,3,0,0.0475,0,0,0,0.4,5,2,90,0,0.68,25,17,0.454545,11,5,0,0,1,0,3,0,2,0,3,0.5,2,1,0,42,3,0,0,90,1,0.0,0,5,0,0.0,0,0,6,0,0.0,0,0.0,0,0,5,0,0,10,0.3,3
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Bilbao Inaki,Centrocampista,Subentrato,,EV0Qn9sh,0,0,0,0,0,0,0,0,-0.0073,0.5,2,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.011168,0.0,0.0,0.9927,0,0,0,1,0,-0.0073,0,0,0,0.0,0,0,8,0,0.5,4,2,0.333333,3,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,1,0,0,8,0,0.0,0,1,0,0.0,0,0,1,0,0.0,1,0.0,0,0,0,0,2,1,0.0,0
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Gomez Xabi,Attaccante,Titolare,6.1,EV0Qn9sh,0,0,0,0,5,0,0,0,0.0548,0.666667,8,12,0.333333,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,2,0,0,0.5,1,0.25,4,1,6,0,0,0.006537,0.0317,0.0221,1.0548,2,0,0,1,0,0.0548,0,0,0,0.0,0,0,67,0,0.692308,13,9,0.714286,7,5,0,0,0,0,1,0,0,1,1,1.0,1,1,3,26,1,0,0,67,2,0.0,0,0,0,0.0,0,0,1,0,0.0,2,0.0,0,0,2,0,2,2,0.5,1
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Gonzalez Ibon,Portiere,Titolare,5.9,EV0Qn9sh,0,0,0,0,0,0,0,0,0.0475,0.4,8,20,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1.0,1,1,1,0,0,0.013459,0.0,0.0,2.0475,0,1,0,3,0,0.0475,0,0,0,0.30303,33,10,90,0,0.394737,38,15,0.333333,21,7,0,3,0,0,0,0,0,0,0,0.0,0,0,0,42,6,0,0,90,0,0.0,0,1,0,0.0,0,0,21,0,0.0,4,0.0,0,0,1,0,1,33,0.30303,10
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Perez Andoni,Centrocampista,Subentrato,5.7,EV0Qn9sh,0,0,0,0,2,0,0,0,-0.0073,0.6,3,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,0,0.0,0,0.0,1,0,1,0,0,0.005256,0.0,0.0,0.9927,0,0,0,1,0,-0.0073,0,0,0,0.0,0,0,15,0,0.6,5,3,0.5,4,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,1,0,0,15,0,0.0,0,2,0,0.0,0,0,1,0,0.0,1,0.0,0,0,0,0,0,2,0.0,0
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Tapiador Gorka,Esterno,Titolare,6.2,EV0Qn9sh,0,0,0,0,0,0,0,0,0.0548,0.684211,13,19,0.666667,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,3,0,0,0.666667,2,0.0,0,0,3,0,0,0.081434,0.0,0.0,1.0548,0,0,0,2,1,0.0548,2,0,0,0.583333,12,7,75,0,0.714286,21,15,0.583333,12,7,0,0,0,0,0,0,0,0,0,0.0,0,0,0,29,2,0,0,75,1,0.0,0,4,0,0.0,0,0,10,0,0.0,3,0.0,0,0,2,1,0,11,0.636364,7
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Alfaro Gonzalo,Esterno,Titolare,5.7,EV0Qn9sh,0,0,0,0,5,1,0,0,0.0475,0.641026,25,39,0.083333,0,0,0,0,0,0,0,0,0,0,0,1,0.25,4,1,0.0,3,2,0,0.0,0,0.111111,9,1,12,0,0,0.257543,0.1169,0.0,2.0475,1,0,0,3,0,0.0475,3,0,0,0.727273,11,8,90,0,0.658537,41,27,0.6,20,12,0,0,1,1,0,0,0,0,1,1.0,1,1,3,78,3,0,0,90,0,0.0,0,8,0,0.0,0,0,16,0,0.0,10,0.0,0,0,1,0,2,37,0.459459,17
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,del Cura Oier,Difensore centrale,Titolare,5.8,EV0Qn9sh,0,0,0,0,0,0,0,0,0.0475,0.727273,16,22,0.5,0,0,0,0,0,0,0,0,0,0,1,4,0.0,0,0,0.0,1,0,0,1.0,1,0.0,1,0,2,0,0,0.00435,0.0294,0.0,2.0475,1,0,0,3,0,0.0475,1,0,0,0.666667,12,8,90,0,0.727273,22,16,0.5,8,4,0,0,0,1,0,1,1,0,1,0.0,0,0,1,29,3,0,0,90,0,0.0,0,0,0,0.0,0,0,8,0,0.0,3,0.0,0,0,1,0,1,10,0.4,4
Copa del Rey,2° turno,02.12.2025,Portugalete,Alaves,Casa,Portugalete,Arreitunandia Alain,Attaccante,Subentrato,6.7,EV0Qn9sh,0,0,0,0,2,0,0,0,-0.0073,0.625,5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,3,1,0.0,1,0,0,0.0,0,0.6,5,3,6,0,0,0.029589,0.0233,0.0178,0.9927,0,2,0,2,0,-0.0073,1,0,0,0.5,2,1,23,0,0.727273,11,8,0.8,10,8,0,0,0,1,0,0,0,1,1,1.0,1,1,1,21,2,0,0,23,1,0.0,0,4,0,0.0,0,0,1,0,0.0,1,0.0,0,0,3,0,2,6,0.5,3
