Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Possesso palla,Tiri totali,Tiri in porta,Calci d'angolo,Goal previsti (xG),Grandi occasioni,Passaggi,Tiri fuori,xG sui Tiri in porta (xGOT),Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Fuorigioco,Punizioni,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Rimesse Laterali,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Totale,Casa,Ourense CF,x2PrjRgM,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Totale,Ospite,Oviedo,x2PrjRgM,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1° tempo,Casa,Ourense CF,x2PrjRgM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,1° tempo,Ospite,Oviedo,x2PrjRgM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2° tempo,Casa,Ourense CF,x2PrjRgM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,2° tempo,Ospite,Oviedo,x2PrjRgM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,Casa,Ourense CF,x2PrjRgM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Ourense CF,Oviedo,Supplementari,Ospite,Oviedo,x2PrjRgM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Totale,Casa,Constancia,GllYRg6t,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Totale,Ospite,Girona,GllYRg6t,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1° tempo,Casa,Constancia,GllYRg6t,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,1° tempo,Ospite,Girona,GllYRg6t,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2° tempo,Casa,Constancia,GllYRg6t,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,2° tempo,Ospite,Girona,GllYRg6t,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,Casa,Constancia,GllYRg6t,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Constancia,Girona,Supplementari,Ospite,Girona,GllYRg6t,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,Totale,Casa,Atl. Tordesillas,zci96nv3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,Totale,Ospite,Burgos CF,zci96nv3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,1° tempo,Casa,Atl. Tordesillas,zci96nv3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,1° tempo,Ospite,Burgos CF,zci96nv3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,2° tempo,Casa,Atl. Tordesillas,zci96nv3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,2° tempo,Ospite,Burgos CF,zci96nv3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,Supplementari,Casa,Atl. Tordesillas,zci96nv3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Atl. Tordesillas,Burgos CF,Supplementari,Ospite,Burgos CF,zci96nv3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,Totale,Casa,SD Logrones,6g1h6wpK,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,Totale,Ospite,Racing Santander,6g1h6wpK,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,1° tempo,Casa,SD Logrones,6g1h6wpK,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,1° tempo,Ospite,Racing Santander,6g1h6wpK,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,2° tempo,Casa,SD Logrones,6g1h6wpK,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,SD Logrones,Racing Santander,2° tempo,Ospite,Racing Santander,6g1h6wpK,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,Totale,Casa,UCAM Murcia,nRF8SuFs,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,Totale,Ospite,Cadice,nRF8SuFs,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,1° tempo,Casa,UCAM Murcia,nRF8SuFs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,1° tempo,Ospite,Cadice,nRF8SuFs,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,2° tempo,Casa,UCAM Murcia,nRF8SuFs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,UCAM Murcia,Cadice,2° tempo,Ospite,Cadice,nRF8SuFs,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,Totale,Casa,Langreo,4AKF9CjC,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,Totale,Ospite,Racing Club Ferrol,4AKF9CjC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,1° tempo,Casa,Langreo,4AKF9CjC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,1° tempo,Ospite,Racing Club Ferrol,4AKF9CjC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,2° tempo,Casa,Langreo,4AKF9CjC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,2° tempo,Ospite,Racing Club Ferrol,4AKF9CjC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,Supplementari,Casa,Langreo,4AKF9CjC,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Langreo,Racing Club Ferrol,Supplementari,Ospite,Racing Club Ferrol,4AKF9CjC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Inter de Valdemoro,Getafe,Totale,Casa,Inter de Valdemoro,b3vFZESO,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Inter de Valdemoro,Getafe,Totale,Ospite,Getafe,b3vFZESO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Inter de Valdemoro,Getafe,1° tempo,Casa,Inter de Valdemoro,b3vFZESO,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Inter de Valdemoro,Getafe,1° tempo,Ospite,Getafe,b3vFZESO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Maracena,Valencia,Totale,Casa,Maracena,xY1CqJXr,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Maracena,Valencia,Totale,Ospite,Valencia,xY1CqJXr,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Maracena,Valencia,2° tempo,Casa,Maracena,xY1CqJXr,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Maracena,Valencia,2° tempo,Ospite,Valencia,xY1CqJXr,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,Totale,Casa,San Fernando,As8Xidrg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,Totale,Ospite,Albacete,As8Xidrg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,1° tempo,Casa,San Fernando,As8Xidrg,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,1° tempo,Ospite,Albacete,As8Xidrg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,2° tempo,Casa,San Fernando,As8Xidrg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,San Fernando,Albacete,2° tempo,Ospite,Albacete,As8Xidrg,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Tropezon,Cultural Leonesa,Totale,Casa,Tropezon,MR2Pbexf,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Tropezon,Cultural Leonesa,Totale,Ospite,Cultural Leonesa,MR2Pbexf,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Tropezon,Cultural Leonesa,2° tempo,Casa,Tropezon,MR2Pbexf,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Tropezon,Cultural Leonesa,2° tempo,Ospite,Cultural Leonesa,MR2Pbexf,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,Totale,Casa,Rayo Majadahonda,bweO0iRN,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,Totale,Ospite,CF Talavera,bweO0iRN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,1° tempo,Casa,Rayo Majadahonda,bweO0iRN,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,1° tempo,Ospite,CF Talavera,bweO0iRN,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,2° tempo,Casa,Rayo Majadahonda,bweO0iRN,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Rayo Majadahonda,CF Talavera,2° tempo,Ospite,CF Talavera,bweO0iRN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,Totale,Casa,Guadalajara,f9tfeVlo,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,Totale,Ospite,Cacereno,f9tfeVlo,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,1° tempo,Casa,Guadalajara,f9tfeVlo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,1° tempo,Ospite,Cacereno,f9tfeVlo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,2° tempo,Casa,Guadalajara,f9tfeVlo,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Guadalajara,Cacereno,2° tempo,Ospite,Cacereno,f9tfeVlo,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Utebo FC,Huesca,Totale,Casa,Utebo FC,OYFNxBKb,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Utebo FC,Huesca,Totale,Ospite,Huesca,OYFNxBKb,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Utebo FC,Huesca,2° tempo,Casa,Utebo FC,OYFNxBKb,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,Utebo FC,Huesca,2° tempo,Ospite,Huesca,OYFNxBKb,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,Totale,Casa,RSD Alcala,AHOtJYth,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copa del Rey,1° turno,28.10.2025,RSD Alcala,Tenerife,Totale,Ospite,Tenerife,AHOtJYth,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
