Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,6',Ospite,Cartellino Giallo,Bisseck Y.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,14',Ospite,Autogol,Marusic A.,0-1,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,16',Ospite,Cartellino Giallo,Bastoni A.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,35',Ospite,Gol,Martinez L.,0-2,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,35',Ospite,Assist,Dumfries D.,0-2,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,1 Tempo,38',Casa,Cartellino Giallo,Gila M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,46',Casa,Sostituzione - Esce,Patric,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,46',Casa,Sostituzione - Entra,Rovella N.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,66',Casa,Sostituzione - Esce,Isaksen G.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,66',Casa,Sostituzione - Entra,Cancellieri M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Esce,Dumfries D.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Entra,Luis Henrique,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Esce,Sucic P.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,68',Ospite,Sostituzione - Entra,Mkhitaryan H.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Esce,Marusic A.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Entra,Lazzari M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Esce,Zaccagni M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,72',Casa,Sostituzione - Entra,Dia B.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Esce,Bastoni A.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Entra,Carlos Augusto,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Esce,Martinez L.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,77',Ospite,Sostituzione - Entra,Bonny A.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,78',Casa,Sostituzione - Esce,Basic T.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,78',Casa,Sostituzione - Entra,Pedro,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,82',Ospite,Sostituzione - Esce,Thuram M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,82',Ospite,Sostituzione - Entra,Diouf A.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,84',Casa,Cartellino Giallo,Pedro,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,84',Casa,Cartellino Giallo,Zaccagni M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,84',Casa,Non Dal Campo,Zaccagni M.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,85',Ospite,Cartellino Giallo,Dimarco F.,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,2 Tempo,85',Ospite,Cartellino Giallo,Barella N.,,xYQFQSOk
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,1 Tempo,31',Casa,Cartellino Giallo,Kolasinac S.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,1 Tempo,37',Ospite,Cartellino Giallo,Cancellieri M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,56',Casa,Sostituzione - Esce,Bernasconi L.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,56',Casa,Sostituzione - Entra,Bellanova R.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,56',Casa,Cartellino Giallo,Palladino R.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,56',Casa,Non Dal Campo,Palladino R.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,66',Ospite,Sostituzione - Esce,Cancellieri M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,66',Ospite,Sostituzione - Entra,Isaksen G.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,67',Ospite,Sostituzione - Esce,Marusic A.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,67',Ospite,Sostituzione - Entra,Lazzari M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,71',Casa,Sostituzione - Esce,Zalewski N.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,71',Casa,Sostituzione - Entra,Raspadori G.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,71',Casa,Sostituzione - Esce,Kolasinac S.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,71',Casa,Sostituzione - Entra,Kossounou O.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,71',Casa,Sostituzione - Esce,De Roon M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,71',Casa,Sostituzione - Entra,Pasalic M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,73',Ospite,Cartellino Giallo,Sarri M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,73',Ospite,Non Dal Campo,Sarri M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,77',Ospite,Sostituzione - Esce,Basic T.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,77',Ospite,Sostituzione - Entra,Dele-Bashiru F.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,77',Ospite,Sostituzione - Esce,Gila M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,77',Ospite,Sostituzione - Entra,Provstgaard O.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,84',Ospite,Sostituzione - Esce,Patric,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,84',Ospite,Sostituzione - Entra,Cataldi D.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,84',Ospite,Gol,Romagnoli A.,0-1,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,84',Ospite,Assist,Zaccagni M.,0-1,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,86',Casa,Gol,Pasalic M.,1-1,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,86',Casa,Assist,Krstovic N.,1-1,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,90',Casa,Sostituzione - Esce,Krstovic N.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,2 Tempo,90',Casa,Sostituzione - Entra,Scamacca G.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Supplementari,94',Casa,Sostituzione - Esce,Scalvini G.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Supplementari,94',Casa,Sostituzione - Entra,Ahanor H.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Supplementari,103',Ospite,Sostituzione - Esce,Zaccagni M.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Supplementari,103',Ospite,Sostituzione - Entra,Pedro,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Supplementari,117',Casa,Cartellino Giallo,Scamacca G.,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Supplementari,120',Ospite,Cartellino Giallo,Lazzari M.,,UTn2mTd2
