Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,1,40,Motta E.,Portiere,6.2,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,2,77,Marusic A.,,5.4,,72',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,3,34,Gila M.,,6.5,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,4,13,Romagnoli A.,,6.4,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,5,17,Tavares N.,,5.9,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,6,26,Basic T.,,6.0,,78',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,7,4,Patric,,5.9,,46',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,8,24,Taylor K.,,5.5,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,9,18,Isaksen G.,,6.2,,66',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,10,14,Noslin T.,,6.4,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Titolare,11,10,Zaccagni M.,Capitano,6.6,,72',xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,1,21,Belahyane R.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,2,22,Cancellieri M.,,6.6,66',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,3,32,Cataldi D.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,4,7,Dele-Bashiru F.,,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,5,19,Dia B.,,6.4,72',,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,6,55,Furlanetto A.,Portiere,,,,xYQFQSOk
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,Casa,Lazio,4-3-3,Panchina,7,99,Giacomone G.,Portiere,,,,xYQFQSOk
