Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Coppa Italia,FINALE,13.05.2026,Lazio,Inter,0,2,,,,,0-2,,Sì,xYQFQSOk
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,1,1,1,1,1,2,"1-1, poi rigori 1-2",Risultato andata: 2-2. Totale: 3-3.,Sì,UTn2mTd2
Coppa Italia,SEMI FINALI,21.04.2026,Inter,Como,3,2,,,,,3-2,Risultato andata: 0-0. Totale: 3-2.,Sì,vyzoWyLG
Coppa Italia,SEMI FINALI,04.03.2026,Lazio,Atalanta,2,2,,,,,2-2,1° turno.,Sì,M3qfkkSk
Coppa Italia,SEMI FINALI,03.03.2026,Como,Inter,0,0,,,,,0-0,1° turno.,Sì,WAWxYcj4
Coppa Italia,QUARTI DI FINALE,11.02.2026,Bologna,Lazio,1,1,,,1,4,"1-1, poi rigori 1-4",,Sì,0KKE2Vjf
Coppa Italia,QUARTI DI FINALE,10.02.2026,Napoli,Como,1,1,,,6,7,"1-1, poi rigori 6-7",,Sì,jHoo92Bk
Coppa Italia,QUARTI DI FINALE,05.02.2026,Atalanta,Juventus,3,0,,,,,3-0,,Sì,baWtW3x9
Coppa Italia,QUARTI DI FINALE,04.02.2026,Inter,Torino,2,1,,,,,2-1,Partite in casa giocate in uno stadio diverso - Brianteo.,Sì,nB3jfHE8
Coppa Italia,1/8 FINALE,27.01.2026,Fiorentina,Como,1,3,,,,,1-3,,Sì,hlp6vKjL
Coppa Italia,1/8 FINALE,13.01.2026,Roma,Torino,2,3,,,,,2-3,,Sì,nHEM6Zzq
Coppa Italia,1/8 FINALE,04.12.2025,Lazio,Milan,1,0,,,,,1-0,,Sì,UcuV0FZA
Coppa Italia,1/8 FINALE,04.12.2025,Bologna,Parma,2,1,,,,,2-1,,Sì,Cv4b8uQF
Coppa Italia,1/8 FINALE,03.12.2025,Inter,Venezia,5,1,,,,,5-1,,Sì,jBda0F3B
Coppa Italia,1/8 FINALE,03.12.2025,Napoli,Cagliari,1,1,,,9,8,"1-1, poi rigori 9-8",,Sì,lAhdI8Q7
Coppa Italia,1/8 FINALE,03.12.2025,Atalanta,Genoa,4,0,,,,,4-0,,Sì,nT4jpxVs
Coppa Italia,1/8 FINALE,02.12.2025,Juventus,Udinese,2,0,,,,,2-0,,Sì,nofsDllf
Coppa Italia,1/16 FINALE,25.09.2025,Torino,Pisa,1,0,,,,,1-0,,Sì,niTbgBVh
Coppa Italia,1/16 FINALE,25.09.2025,Genoa,Empoli,3,1,,,,,3-1,,Sì,4np6ac7T
Coppa Italia,1/16 FINALE,24.09.2025,Como,Sassuolo,3,0,,,,,3-0,,Sì,lErvz9EE
Coppa Italia,1/16 FINALE,24.09.2025,Verona,Venezia,0,0,,,4,5,"0-0, poi rigori 4-5",,Sì,hj7GkWE7
Coppa Italia,1/16 FINALE,24.09.2025,Parma,Spezia,2,2,,,4,3,"2-2, poi rigori 4-3",,Sì,QXUOBVlg
Coppa Italia,1/16 FINALE,23.09.2025,Milan,Lecce,3,0,,,,,3-0,,Sì,fV3kxprh
Coppa Italia,1/16 FINALE,23.09.2025,Udinese,Palermo,2,1,,,,,2-1,,Sì,EuYVB1Pb
Coppa Italia,1/16 FINALE,23.09.2025,Cagliari,Frosinone,4,1,,,,,4-1,,Sì,Ays5Z1Hl
Coppa Italia,1/32 FINALE,18.08.2025,Torino,Modena,1,0,,,,,1-0,,Sì,drE6wrOE
Coppa Italia,1/32 FINALE,18.08.2025,Udinese,Carrarese,2,0,,,,,2-0,,Sì,MPaOQ4v9
Coppa Italia,1/32 FINALE,18.08.2025,Spezia,Sampdoria,1,1,,,4,2,"1-1, poi rigori 4-2",,Sì,Cfv3JMWr
Coppa Italia,1/32 FINALE,18.08.2025,Audace Cerignola,Verona,1,1,,,2,4,"1-1, poi rigori 2-4",,Sì,xp8sStuo
Coppa Italia,1/32 FINALE,17.08.2025,Milan,Bari,2,0,,,,,2-0,,Sì,dOsfHi7C
Coppa Italia,1/32 FINALE,17.08.2025,Cesena,Pisa,0,0,,,1,2,"0-0, poi rigori 1-2",,Sì,tnGCZYMt
Coppa Italia,1/32 FINALE,17.08.2025,Parma,Pescara,2,0,,,,,2-0,,Sì,61HBX2HN
Coppa Italia,1/32 FINALE,17.08.2025,Monza,Frosinone,0,1,,,,,0-1,,Sì,214LXCig
Coppa Italia,1/32 FINALE,16.08.2025,Cremonese,Palermo,0,0,,,4,5,"0-0, poi rigori 4-5",,Sì,fJ7x31n2
Coppa Italia,1/32 FINALE,16.08.2025,Cagliari,Entella,1,1,,,5,4,"1-1, poi rigori 5-4",,Sì,byt7abR7
Coppa Italia,1/32 FINALE,16.08.2025,Como,Südtirol,3,1,,,,,3-1,,Sì,GOhXOr9L
Coppa Italia,1/32 FINALE,16.08.2025,Venezia,Mantova,4,0,,,,,4-0,,Sì,8MXBH01e
Coppa Italia,1/32 FINALE,15.08.2025,Genoa,L.R. Vicenza,3,0,,,,,3-0,,Sì,ILv0JCdD
Coppa Italia,1/32 FINALE,15.08.2025,Lecce,Juve Stabia,2,0,,,,,2-0,,Sì,hjy3FVyP
Coppa Italia,1/32 FINALE,15.08.2025,Sassuolo,Catanzaro,1,0,,,,,1-0,,Sì,OAqnJDx0
Coppa Italia,1/32 FINALE,15.08.2025,Empoli,Reggiana,1,1,,,3,0,"1-1, poi rigori 3-0",,Sì,GnyKFvW7
Coppa Italia,1/64 FINALE,10.08.2025,Audace Cerignola,Avellino,1,0,,,,,1-0,,No,6g1xUUjI
Coppa Italia,1/64 FINALE,10.08.2025,Pescara,Rimini,1,0,,,,,1-0,,No,SrjwLZ7m
Coppa Italia,1/64 FINALE,10.08.2025,Padova,L.R. Vicenza,0,2,,,,,0-2,,No,AR7TVjM5
Coppa Italia,1/64 FINALE,09.08.2025,Entella,Ternana,4,0,,,,,4-0,,No,v7apS8LU
