Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Popov Bogdan,Attaccante,Titolare,6.5,GnyKFvW7,0,0,0,0,1,0,0,0,0.1729,0.571429,8,14,0.444444,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,1.0,2,1,1,0.5,1,0.428571,7,3,9,0,0,0.052929,0.0237,0.0,1.1729,4,2,0,1,0,0.1729,0,0,0,0.0,0,0,85,0,0.625,16,10,0.5,8,4,0,0,1,1,0,0,0,0,1,0.0,0,0,4,25,1,0,0,85,2,0.0,0,2,0,0.8,4,5,1,0,0.0,1,0.0,0,0,4,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Busiello Danilo,Centrocampista,Subentrato,,GnyKFvW7,0,0,1,0,0,0,0,0,0.0381,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,1,0,1,0,0,0.0,0.0,0.0,0.0381,0,0,0,0,0,0.0381,0,0,0,0.0,0,0,6,0,0.0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0,5,0,0.0,0,0,0,0.0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Belardinelli Luca,Centrocampista,Titolare,6.8,GnyKFvW7,0,0,1,0,1,1,0,0,0.211,0.878378,65,74,0.571429,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,3,0,0,1.0,3,0.25,4,1,7,0,0,0.033785,0.0809,0.5415,1.211,2,0,0,1,0,0.211,2,0,0,0.75,4,3,90,0,0.88,75,66,0.823529,17,14,0,0,0,1,1,1,0,2,2,1.0,1,1,1,86,1,0,0,90,0,0.0,0,1,0,0.0,0,0,7,0,0.0,1,0.0,0,0,4,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Ceesay Joseph,Centrocampista,Subentrato,6.0,GnyKFvW7,0,0,0,0,1,0,0,0,0.0381,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0,0.0,2,0,3,0,0,0.000564,0.0,0.0,0.0381,1,0,0,0,0,0.0381,0,0,0,0.0,0,0,19,0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,7,0,0,0,18,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Moruzzi Brando,Esterno,Titolare,6.8,GnyKFvW7,0,0,0,0,2,0,0,0,0.1729,0.818182,9,11,0.333333,0,0,0,0,0,0,1,0,0,0,0,1,0.0,4,0,0.0,3,0,0,0.0,0,0.666667,3,2,6,0,0,0.06509,0.1263,0.0,1.1729,1,0,0,1,0,0.1729,0,0,0,0.0,0,0,72,1,0.818182,11,9,1.0,7,7,0,0,0,1,1,1,2,0,2,1.0,2,2,2,31,1,0,0,72,2,0.0,0,2,0,1.0,1,1,0,0,0.0,0,0.0,0,0,2,1,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Guarino Gabriele,Difensore centrale,Titolare,7.6,GnyKFvW7,0,0,0,0,1,0,0,0,0.211,0.916667,77,84,0.75,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0,0,0.0,5,0,0,1.0,5,0.571429,7,4,12,0,0,0.02002,0.0161,0.0,1.211,2,1,0,1,0,0.211,2,0,0,0.25,4,1,90,0,0.924731,93,86,0.555556,9,5,0,0,0,0,1,0,1,0,1,0.666667,3,2,0,111,1,0,0,90,1,0.0,0,2,0,0.0,0,0,7,0,0.0,2,0.0,0,0,9,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Ignacchiti Lorenzo,Centrocampista,Titolare,6.5,GnyKFvW7,0,0,0,0,0,0,0,0,0.211,0.666667,26,39,0.625,0,0,0,0,0,0,0,0,0,0,0,2,0.666667,3,2,0.5,1,2,1,0.0,0,0.714286,7,5,8,0,0,0.072827,0.1461,0.0,1.211,1,1,0,1,0,0.211,0,0,0,0.333333,3,1,90,0,0.666667,39,26,0.666667,15,10,0,0,0,1,0,0,1,0,1,0.333333,3,1,1,56,1,0,0,90,1,0.0,0,7,0,1.0,3,3,7,0,0.0,3,0.0,0,0,5,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Fulignati Andrea,Portiere,Titolare,7.3,GnyKFvW7,0,2,0,0,0,0,0,0,0.211,0.888889,24,27,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.001337,0.0,0.0,1.211,0,0,0,1,0,0.211,0,0,2,0.7,10,7,90,0,0.909091,33,30,0.0,1,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,39,3,0,0,90,1,0.0,0,0,0,0.0,0,0,1,0,0.0,4,0.0,0,0,0,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Shpendi Stiven,Attaccante,Titolare,5.4,GnyKFvW7,0,0,0,0,5,0,0,0,0.211,0.875,14,16,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.5,6,2,1,0.166667,1,0.2,10,2,16,0,0,0.013045,0.0462,0.0,1.211,4,1,0,1,0,0.211,1,0,0,0.0,0,0,90,0,0.875,16,14,0.8,5,4,0,0,1,2,0,0,1,0,2,0.0,0,0,3,31,1,0,0,90,0,0.0,0,0,0,0.6,3,5,0,0,0.0,1,0.0,0,0,3,0,0,0,0.0,0
Coppa Italia,1/32 finale,15.08.2025,Empoli,Reggiana,Casa,Empoli,Yepes Gerard,Centrocampista,Subentrato,,GnyKFvW7,0,0,0,0,0,0,0,0,0.0381,0.857143,6,7,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1,0,0,1.0,1,0.0,0,0,1,0,0,0.000779,0.0,0.0,0.0381,0,0,0,0,0,0.0381,0,0,0,1.0,1,1,6,0,0.857143,7,6,1.0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,9,0,0,0,5,0,0.0,0,0,0,1.0,2,2,1,0,0.0,0,0.0,0,0,1,0,0,0,0.0,0
