Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa di Francia,7° turno,14.11.2025,Olympique de Villefontaine,Grenoble,1 Tempo,22',Ospite,Gol,Djitte M.,0-1,Ac6vAcVs
Coppa di Francia,7° turno,14.11.2025,Olympique de Villefontaine,Grenoble,1 Tempo,36',Ospite,Gol,Djitte M.,0-2,Ac6vAcVs
Coppa di Francia,7° turno,14.11.2025,Olympique de Villefontaine,Grenoble,2 Tempo,61',Ospite,Gol,Djitte M.,0-3,Ac6vAcVs
Coppa di Francia,7° turno,14.11.2025,Cannes,Annecy,1 Tempo,5',Ospite,Gol,Casadei A.,0-1,QPU7FJ7K
Coppa di Francia,7° turno,14.11.2025,Cannes,Annecy,1 Tempo,35',Ospite,Gol,Drouhin A.,0-2,QPU7FJ7K
Coppa di Francia,7° turno,14.11.2025,Cannes,Annecy,1 Tempo,44',Casa,Gol,Boussaid M.,1-2,QPU7FJ7K
Coppa di Francia,7° turno,15.11.2025,Magenta,Mulhouse,2 Tempo,48',Ospite,Rigore Assegnato,Glaentzlin V.,0-1,OvB3zb6r
Coppa di Francia,7° turno,15.11.2025,Magenta,Mulhouse,2 Tempo,48',Ospite,Rigore,Glaentzlin V.,0-1,OvB3zb6r
Coppa di Francia,7° turno,15.11.2025,Magenta,Mulhouse,2 Tempo,62',Ospite,Gol,Amaouche K.,0-2,OvB3zb6r
Coppa di Francia,7° turno,15.11.2025,Magenta,Mulhouse,2 Tempo,90+4',Ospite,Gol,Diallo I.,0-3,OvB3zb6r
Coppa di Francia,7° turno,15.11.2025,ASPTT Dijon,Le Puy-en-Velay,1 Tempo,25',Ospite,Gol,Gromat J.,0-1,hnqFjypC
Coppa di Francia,7° turno,15.11.2025,Auby,Amiens,1 Tempo,23',Ospite,Gol,Chibozo A.,0-1,EZ27MI1L
Coppa di Francia,7° turno,15.11.2025,Auby,Amiens,1 Tempo,45+1',Ospite,Rigore Assegnato,Kaiboue K.,0-2,EZ27MI1L
Coppa di Francia,7° turno,15.11.2025,Auby,Amiens,1 Tempo,45+1',Ospite,Rigore,Kaiboue K.,0-2,EZ27MI1L
